,abstract,stemmed
592,sms utilized new opportunity applied improve current educational practices processes variety fields including distance education study indepth qualitative inquiry distance education students perception experience mobile learning via sms set interview questions used survey method gather primary data five students enrolling school distance education universiti sains malaysia findings revealed sms learning generally perceived positively respondents agreed sms learning convenient useful reminder relevant studies apart issues raised respondents agreed sms learning experiences great helpful generally satisfied system implications study shed lights potential sms learning effective innovative paradigm pedagogy particularly distance education environment,sms util new opportun appli improv current educ practic process varieti field includ distanc educ studi indepth qualit inquiri distanc educ student percept experi mobil learn via sms set interview question use survey method gather primari data five student enrol school distanc educ univers sain malaysia find reveal sms learn general perceiv posit respond agre sms learn conveni use remind relev studi apart issu rais respond agre sms learn experi great help general satisfi system implic studi shed light potenti sms learn effect innov paradigm pedagogi particular distanc educ environ
598,metaanalysis two aims address main effects social constructivist mobile learning environments learners knowledge acquisition academic achievements b address potential factors regarding design principles instructional methods successful social constructivist mobile environments blended learning context selected 24 articles meet inclusion criteria empirical studies implementing mobile learning blended environment using social constructivism approach selected studies identical terms instructional strategies tools devices period students expertise level factors lead variations magnitude effect sizes review reveals positive effect mobile learning knowledge acquisition learners achievements attitudes motivation despite high cognitive load shown combined effect size last remarkable finding related retention students environments fulfill academic tests remember less acquired knowledge retention period,metaanalysi two aim address main effect social constructivist mobil learn environ learner knowledg acquisit academ achiev b address potenti factor regard design principl instruct method success social constructivist mobil environ blend learn context select 24 articl meet inclus criteria empir studi implement mobil learn blend environ use social constructiv approach select studi ident term instruct strategi tool devic period student expertis level factor lead variat magnitud effect size review reveal posit effect mobil learn knowledg acquisit learner achiev attitud motiv despit high cognit load shown combin effect size last remark find relat retent student environ fulfil academ test rememb less acquir knowledg retent period
604,smart devices applications assist young children improving learning capabilities comprehension skills however learning applications built without taking consideration effective needs background arab users somehow incompatible local environment culture propose paper mobilebased educational system displays illustrations automatically characterize content children stories animal domain use intelligent technique answer users questions using educational ontology generation illustrations passes different phases include text processing extraction wordtoword relationships building accessing ontology using internet search engines retrieval complimentary information system used also instructors teach children nonconventional manner customize semantically structure questions determine answers displayed order customize questions answers defined semantic infrastructure define logic terms workflow answers aim system improve children educational skills grasp vocabulary grammar using multimedia portable smart device includes observation comprehension realization deduction children able continue learning outside limited time schools location,smart devic applic assist young children improv learn capabl comprehens skill howev learn applic built without take consider effect need background arab user somehow incompat local environ cultur propos paper mobilebas educ system display illustr automat character content children stori anim domain use intellig techniqu answer user question use educ ontolog generat illustr pass differ phase includ text process extract wordtoword relationship build access ontolog use internet search engin retriev complimentari inform system use also instructor teach children nonconvent manner custom semant structur question determin answer display order custom question answer defin semant infrastructur defin logic term workflow answer aim system improv children educ skill grasp vocabulari grammar use multimedia portabl smart devic includ observ comprehens realize deduct children abl continu learn outsid limit time school locat
618,teacher ability arrange learning environmet affect students interest learning well utilizing mobile technology purpose research develop mobile learning using cooperative learning approach especially jigsaw technique method research development research using addie analysis design development implementation evaluation model application validated experts technical aspects also students two different grades ie grade vii grade viii physics subject application acceptance responses result showed technically application acceptance good level means mobile cooperative learning application used enhance students learning interest,teacher abil arrang learn environmet affect student interest learn well util mobil technolog purpos research develop mobil learn use cooper learn approach especi jigsaw techniqu method research develop research use addi analysi design develop implement evalu model applic valid expert technic aspect also student two differ grade ie grade vii grade viii physic subject applic accept respons result show technic applic accept good level mean mobil cooper learn applic use enhanc student learn interest
629,potential mobile phones facilitate students science learning engaging group activities investigated minimize disciplinary issues emerged previous research mobile devices enhance quality learning set mobile phones connected private network used lesson planning implementation mobile phones facilitated web based application purposively selected group teachers developed three lessons integrating mobile phones private network learning activities lessons implemented real classroom settings paper based one lessons ‘waves characteristics implemented grade 11 students data collected observations using audio video field notes analyzed using thematic analysis technique help nvivo10 qualitative data analysis software based thematic analysis two assertions derived notably teachers appreciated support private network enhancing quality group learning activity minimizing students misuse mobile phones,potenti mobil phone facilit student scienc learn engag group activ investig minim disciplinari issu emerg previous research mobil devic enhanc qualiti learn set mobil phone connect privat network use lesson plan implement mobil phone facilit web base applic purpos select group teacher develop three lesson integr mobil phone privat network learn activ lesson implement real classroom set paper base one lesson wave characterist implement grade 11 student data collect observ use audio video field note analyz use themat analysi techniqu help nvivo10 qualit data analysi softwar base themat analysi two assert deriv notabl teacher appreci support privat network enhanc qualiti group learn activ minim student misus mobil phone
649,facing industrial era 40 instructional paradigm requires involvement technology use technology instructional sometimes regarded medium tool delivering information technology lecturers students without considering learning process students technology makes learning outcomes meaningful meanwhile instructional media mobile learning applications android type mobile learning change way students communicate interact use mobile learning applications android adjusted characteristics students learning needs industrial era 40 study resulted androidbased mobile learning application product effectiveness concept conceptual model mobile learning obtained industrial era 40 learning college research method used development research william w lee diana l owens results showed mobile learning application influenced student academic achievement conceptual model mobile learning obtained industrial era 40 learning college study concludes mobile learning applications encourage students fun learning activities place students main subject learning learning becomes meaningful,face industri era 40 instruct paradigm requir involv technolog use technolog instruct sometim regard medium tool deliv inform technolog lectur student without consid learn process student technolog make learn outcom meaning meanwhil instruct media mobil learn applic android type mobil learn chang way student communic interact use mobil learn applic android adjust characterist student learn need industri era 40 studi result androidbas mobil learn applic product effect concept conceptu model mobil learn obtain industri era 40 learn colleg research method use develop research william w lee diana l owen result show mobil learn applic influenc student academ achiev conceptu model mobil learn obtain industri era 40 learn colleg studi conclud mobil learn applic encourag student fun learn activ place student main subject learn learn becom meaning
683,web 30 semantic data gives machines ability understand process data resource description framework rdf liagna franca semantic web big data handles problematic storing processing massive data still provide support rdf data paper present new big data semantic web comprised classical big data system semantic layer proof concept approach use mobilelearning case study architecture propose composed two main parts knowledge server adaptation model knowledge server allows trainers business experts represent expertise using business rules ontology ensure heterogeneous knowledge mobility environment knowledge server makes possible take account constraints environment user constraints thanks rdf exchange format adaptation model based rdf graphs corresponds combinatorial optimization algorithms whose objective propose learner relevant combination learning object based contextual constraints solution guarantees scalability high data availability use principle replication results obtained system evaluation experiments large number servers show efficiency scalability robustness system amount data processed large,web 30 semant data give machin abil understand process data resourc descript framework rdf liagna franca semant web big data handl problemat store process massiv data still provid support rdf data paper present new big data semant web compris classic big data system semant layer proof concept approach use mobilelearn case studi architectur propos compos two main part knowledg server adapt model knowledg server allow trainer busi expert repres expertis use busi rule ontolog ensur heterogen knowledg mobil environ knowledg server make possibl take account constraint environ user constraint thank rdf exchang format adapt model base rdf graph correspond combinatori optim algorithm whose object propos learner relev combin learn object base contextu constraint solut guarante scalabl high data avail use principl replic result obtain system evalu experi larg number server show effici scalabl robust system amount data process larg
690,study aims determine effectiveness mobile learning based android learning vocabulary seventhgrade students smp batara gowa type research preexperimental research design used preexperimental design namely one group pretest posttest design populations study seventhgrade students smp batara gowa sample class vii1 experimental class chosen using purposive sampling results data analysis show mean score posttest 7055 higher mean score pretest 3465 result ttest 30117 ttable 2093 could indicated null hypothesis h0 rejected alternative hypothesis h1 accepted based effectiveness criteria generally using mobile learning based android effective learning vocabulary seventhgrade students smp batara gowa,studi aim determin effect mobil learn base android learn vocabulari seventhgrad student smp batara gowa type research preexperiment research design use preexperiment design name one group pretest posttest design popul studi seventhgrad student smp batara gowa sampl class vii1 experiment class chosen use purpos sampl result data analysi show mean score posttest 7055 higher mean score pretest 3465 result ttest 30117 ttabl 2093 could indic null hypothesi h0 reject altern hypothesi h1 accept base effect criteria general use mobil learn base android effect learn vocabulari seventhgrad student smp batara gowa
708,widespread use internet technology present times universities making investments mobile learning augment position face extensive competition also enhance students learning experience efficiency nonetheless mobile learning platform going successful students show acceptance adoption technology literature review indicates studies carried show university students accept employ mobile learning platform addition asserted behavioral models technology acceptance equally applied different cultures purpose study develop extension technology acceptance model tam including four constructs namely content quality service quality information quality quality system proposed make relevant developing countries like united arab emirates uae online survey carried obtain data total 221 students uae took part survey structural equation modeling used determine test measurement structural model data analysis carried showed ten total 12 hypotheses supported shows support applicability extended tam uae outcomes suggest mobile learning platform considered policymakers education developers technological solution also new elearning platform especially distance learning students,widespread use internet technolog present time univers make invest mobil learn augment posit face extens competit also enhanc student learn experi effici nonetheless mobil learn platform go success student show accept adopt technolog literatur review indic studi carri show univers student accept employ mobil learn platform addit assert behavior model technolog accept equal appli differ cultur purpos studi develop extens technolog accept model tam includ four construct name content qualiti servic qualiti inform qualiti qualiti system propos make relev develop countri like unit arab emir uae onlin survey carri obtain data total 221 student uae took part survey structur equat model use determin test measur structur model data analysi carri show ten total 12 hypothes support show support applic extend tam uae outcom suggest mobil learn platform consid policymak educ develop technolog solut also new elearn platform especi distanc learn student
715,research indicates mobile learning ml potential transform teaching learning despite benefits mobile learning adoption challenging process requires support facilitate integration focus article investigate factors could affect ml acceptance quantitative qualitative data collected surveys revealed additional information regarding pedagogical benefits obstacles mobile learning integration even though participants study reported late adopters technology maintained ml useful learning specifically ubiquitous learning teachers also noted mobile learning integration successful aligned local cultural norms mobile learning tools might culturally appropriate one context may always accepted another findings study provide several implications recommendations future research mobile learning implementation research could explore development utilization rubric specific criteria evaluating mobile learning applictations,research indic mobil learn ml potenti transform teach learn despit benefit mobil learn adopt challeng process requir support facilit integr focus articl investig factor could affect ml accept quantit qualit data collect survey reveal addit inform regard pedagog benefit obstacl mobil learn integr even though particip studi report late adopt technolog maintain ml use learn specif ubiquit learn teacher also note mobil learn integr success align local cultur norm mobil learn tool might cultur appropri one context may alway accept anoth find studi provid sever implic recommend futur research mobil learn implement research could explor develop util rubric specif criteria evalu mobil learn applict
727,welding introductory core subject taught every mechanical engineering programs polytechnics malaysia normally students learn theoretical concepts welding class followed instruction based training workshop however students difficulty follow everything taught class limited time welding dangerous beginners welding environments harmful injurious health paper introduce mobile arc welding learning mawl app new approach learning arc welding incorporates mobile technology enhanced augmented reality ar aim app enhance contents used arc welding learning materials used conventional learning visualizing information use text images videos 3d models mawl app covers topics related safety welding components welding steps welding students use app learn welding anytime anywhere potential using mawl app welding learning among polytechnic students investigated specifically focusing ease use learnability satisfaction usefulness motivation engagement results evaluation indicate users strongly agreed ease use learnability satisfaction usefulness motivation agreed engagement prove mawl app potential contribute students welding learning interactive accessible information satisfies,weld introductori core subject taught everi mechan engin program polytechn malaysia normal student learn theoret concept weld class follow instruct base train workshop howev student difficulti follow everyth taught class limit time weld danger beginn weld environ harm injuri health paper introduc mobil arc weld learn mawl app new approach learn arc weld incorpor mobil technolog enhanc augment realiti ar aim app enhanc content use arc weld learn materi use convent learn visual inform use text imag video 3d model mawl app cover topic relat safeti weld compon weld step weld student use app learn weld anytim anywher potenti use mawl app weld learn among polytechn student investig specif focus eas use learnabl satisfact use motiv engag result evalu indic user strong agre eas use learnabl satisfact use motiv agre engag prove mawl app potenti contribut student weld learn interact access inform satisfi
746,study undertaken address need modernize modes teaching learning pedagogy taking advantage proliferation electronic gadgets mobile devices since counted computers people world boren 2014 research found learning new platform could adopted teachers students addition tested different variables involved use mobile learning faculty students centro escolar university ceu determine factors made implementing technology success failureto attain set objectives study made use descriptive inferential method data gathered respondents via stratified random sampling specifically employed frequency mean standard deviation ttest analysis variance multiple linear regressions treatment data derived survey questionnaires complete triangulation approach consistency findings observation interview also conductedsubsequently order determine adoption mobile learning modified unified theory acceptance use technology utaut model employed model shows relationship moderating variables age gender voluntariness use experience independent variables like performance expectancy effort expectancy social influence facilitating conditions anxiety selfefficacy statistical treatments applied anxiety selfefficacy effort expectancy performance expectancy facilitating condition contribute success introduction technology organization social influence excluded reasons users adopt,studi undertaken address need modern mode teach learn pedagogi take advantag prolifer electron gadget mobil devic sinc count comput peopl world boren 2014 research found learn new platform could adopt teacher student addit test differ variabl involv use mobil learn faculti student centro escolar univers ceu determin factor made implement technolog success failureto attain set object studi made use descript inferenti method data gather respond via stratifi random sampl specif employ frequenc mean standard deviat ttest analysi varianc multipl linear regress treatment data deriv survey questionnair complet triangul approach consist find observ interview also conductedsubsequ order determin adopt mobil learn modifi unifi theori accept use technolog utaut model employ model show relationship moder variabl age gender voluntari use experi independ variabl like perform expect effort expect social influenc facilit condit anxieti selfefficaci statist treatment appli anxieti selfefficaci effort expect perform expect facilit condit contribut success introduct technolog organ social influenc exclud reason user adopt
750,including users design development interactive product crucial achieve high level usability content management systems two categories users content creators content consumers designers systems considers needs user groups design interactive learning systems special attention given process learning means functional accessible usable interface serve purpose knowledge acquisition designing mobile learning brings additional challenges due small screens mobile devices paper describes process utilization usercentred design development simple content management system learning called emasters aim emasters enable teachers easily create organize courses delivered students facilitate webbased mobile learning according usercentred design approach teachers students involved iterative process design implementation evaluation emasters evaluation study used complementary methods provided quantitative qualitative feedback usability score reached good level guidelines redesign system interface drown according obtained results proposed framework confirmed applicable usercentred design content management systems general addition directions adjustment framework specific cases provided,includ user design develop interact product crucial achiev high level usabl content manag system two categori user content creator content consum design system consid need user group design interact learn system special attent given process learn mean function access usabl interfac serv purpos knowledg acquisit design mobil learn bring addit challeng due small screen mobil devic paper describ process util usercentr design develop simpl content manag system learn call emast aim emast enabl teacher easili creat organ cours deliv student facilit webbas mobil learn accord usercentr design approach teacher student involv iter process design implement evalu emast evalu studi use complementari method provid quantit qualit feedback usabl score reach good level guidelin redesign system interfac drown accord obtain result propos framework confirm applic usercentr design content manag system general addit direct adjust framework specif case provid
817,use mobile devices language learning mobile assisted language learning mall found motivate children read digital print however parents need convinced benefits new technologyassisted learning method within multilingual learning context case study conducted propose mall framework educators parents created shared meaningful learning environment develop childrens emergent multilingual literacy skills using mobile devices installed interactive multilingual ebooks paper reports findings specifically parents attitude motivation towards reading multilingual ebooks children group 25 multiethnic families together 5yearold children participated study mixedmethod explanatory research design obtained parent's attitude motivation questionnaire interview feedback form results show high level parents acceptance toward reading ebook children parents attributed positive attitude motivation towards mall use multimedia multilingual mobile platform mall framework also found encourage parents adults scaffold childrens multilingual skills development however also setbacks toward use ebook parents expressed stronger preference printed books concerned health issues associated childrens ebook use areas improvements future research also made paper,use mobil devic languag learn mobil assist languag learn mall found motiv children read digit print howev parent need convinc benefit new technologyassist learn method within multilingu learn context case studi conduct propos mall framework educ parent creat share meaning learn environ develop children emerg multilingu literaci skill use mobil devic instal interact multilingu ebook paper report find specif parent attitud motiv toward read multilingu ebook children group 25 multiethn famili togeth 5yearold children particip studi mixedmethod explanatori research design obtain parent attitud motiv questionnair interview feedback form result show high level parent accept toward read ebook children parent attribut posit attitud motiv toward mall use multimedia multilingu mobil platform mall framework also found encourag parent adult scaffold children multilingu skill develop howev also setback toward use ebook parent express stronger prefer print book concern health issu associ children ebook use area improv futur research also made paper
9,rapid development science technology 21st century demands students school university hold sufficient skills including critical thinking problem solving compete globally educational systems responsible promoting skills teaching learning experiences including teaching material learning media applied class paper highlights development mobile appsbased digital comic media social learning integrated personalized online learning steps develop media applied gay's procedure digital comic media present interactive science knowledge platform form digital comic media enriched augmented reality technology media tested 20 students emerging covid19 pandemic showing good acceptance implies digital comic media value used applied online learning,rapid develop scienc technolog 21st centuri demand student school univers hold suffici skill includ critic think problem solv compet global educ system respons promot skill teach learn experi includ teach materi learn media appli class paper highlight develop mobil appsbas digit comic media social learn integr person onlin learn step develop media appli gay procedur digit comic media present interact scienc knowledg platform form digit comic media enrich augment realiti technolog media test 20 student emerg covid19 pandem show good accept impli digit comic media valu use appli onlin learn
23,development information communication technology affects learning methods media used augmented reality technology allows students experience learning objects seen person purpose study see students learned used metaverse app mobile augmented reality software science courses population group consists 92 students several schools cluster depok subdistrict sample taken using slovin formula obtained 75 samples grade 5 students study employs experimental research techniques single group pre posttest ttest used analysed collected data according findings using metaverse applications favourable impact students' learning outcomes students use metaverse app see better learning outcomes students also interested learning easily understand discover learned addition students find fun learn using metaverse app mobile augmented reality,develop inform communic technolog affect learn method media use augment realiti technolog allow student experi learn object seen person purpos studi see student learn use metavers app mobil augment realiti softwar scienc cours popul group consist 92 student sever school cluster depok subdistrict sampl taken use slovin formula obtain 75 sampl grade 5 student studi employ experiment research techniqu singl group pre posttest ttest use analys collect data accord find use metavers applic favour impact student learn outcom student use metavers app see better learn outcom student also interest learn easili understand discov learn addit student find fun learn use metavers app mobil augment realiti
32,research aims improve innovation hi world integrated ar testing level attraction hi world test level hi world's appropriateness covid19 patients research method rd involving expert covid19 digital media result research innovation hi world improved good level appropriateness score 90 level attraction book good score 95 hi world design choices suitable requirement covid19 patients needs,research aim improv innov hi world integr ar test level attract hi world test level hi world appropri covid19 patient research method rd involv expert covid19 digit media result research innov hi world improv good level appropri score 90 level attract book good score 95 hi world design choic suitabl requir covid19 patient need
38,schools source knowledge need facilitate 3d geometric thinking process involving series cognitive action therefore research investigates potential integrating augmented reality ar 6e instructional 3d geometric model 6e i3dgm exploratory research carried teacher 28 junior high school students indramayu district indonesia data collected observations interviews examined selected extracted coded based criteria determined data collected interpreted concluded descriptively analyzed using content analysis result showed learning integrates ar 6e i3dgm ability raise 3d geometric thinking processes dimensions representation spatial structuring measurement use ar characteristically help students represent construct nets visualize structure 3d shapes assist measuring surface area volume 3d geometry moreover also facilitates students constructing knowledge series 3d geometric thinking activities therefore use learning integrates ar 6e i3dgm potential alternative learning 3d geometry covid19 pandemic,school sourc knowledg need facilit 3d geometr think process involv seri cognit action therefor research investig potenti integr augment realiti ar 6e instruct 3d geometr model 6e i3dgm exploratori research carri teacher 28 junior high school student indramayu district indonesia data collect observ interview examin select extract code base criteria determin data collect interpret conclud descript analyz use content analysi result show learn integr ar 6e i3dgm abil rais 3d geometr think process dimens represent spatial structur measur use ar characterist help student repres construct net visual structur 3d shape assist measur surfac area volum 3d geometri moreov also facilit student construct knowledg seri 3d geometr think activ therefor use learn integr ar 6e i3dgm potenti altern learn 3d geometri covid19 pandem
50,regions chinese first language children backward chinese characters ability likely give reading subject content long texts affects learning long term study applies augmented reality ar develop remedial teaching model chinese radical recognition assesses effectiveness underachieved students elementary school based several chinese characters easy children confuse radicals ar app android developed installed tablet computers remedial teaching model involves students use ar app scan radical cards trigger animations introducing evolution radicals students practice chinese character writing tablet computer's screen multiple stimulus ar teacher lead students collaboratively complete worksheets assess students' learning outcomes quasiexperimental approach administrated 8 second grade students backward chinese literacy qualitative quantitative data collected results showed remedial teaching model improved disadvantaged students recognition accuracy chinese characters flips motivation toward chinese characters learning remedial teaching program use ar effective get students attentions impressions chinese radicals finally implications chinese characters teaching practices discussed,region chines first languag children backward chines charact abil like give read subject content long text affect learn long term studi appli augment realiti ar develop remedi teach model chines radic recognit assess effect underachiev student elementari school base sever chines charact easi children confus radic ar app android develop instal tablet comput remedi teach model involv student use ar app scan radic card trigger anim introduc evolut radic student practic chines charact write tablet comput screen multipl stimulus ar teacher lead student collabor complet worksheet assess student learn outcom quasiexperiment approach administr 8 second grade student backward chines literaci qualit quantit data collect result show remedi teach model improv disadvantag student recognit accuraci chines charact flip motiv toward chines charact learn remedi teach program use ar effect get student attent impress chines radic final implic chines charact teach practic discuss
54,constant increase computing power mobile devices tablets smartphones new prospects opened application particular trade industry medicine education etc field education mobile devices high potential properly integrated form new effective learning model article devoted development mobile application multilingual kazakh russian english educational platform distance learning physics higher secondary educational institutions using augmented reality technology,constant increas comput power mobil devic tablet smartphon new prospect open applic particular trade industri medicin educ etc field educ mobil devic high potenti proper integr form new effect learn model articl devot develop mobil applic multilingu kazakh russian english educ platform distanc learn physic higher secondari educ institut use augment realiti technolog
46,due covid19 pandemic world's population undergone different changes impact use internet stands daily aspects education commerce health among others made us highly dependent usage regard term internet things iot increasingly recognized contribution improving people's life quality objects integrated connected internet document aims introduce alternatives iotbased home automation making use nodemcu sinric pro smart voice assistants google home alexa proposals efficient terms easy implementation reduce electricity consumption around 30 document research helps families improve energy efficiency daily productivity iot,due covid19 pandem world popul undergon differ chang impact use internet stand daili aspect educ commerc health among other made us high depend usag regard term internet thing iot increas recogn contribut improv peopl life qualiti object integr connect internet document aim introduc altern iotbas home autom make use nodemcu sinric pro smart voic assist googl home alexa propos effici term easi implement reduc electr consumpt around 30 document research help famili improv energi effici daili product iot
51,rising incursions embed linked sensors cause construction internet things iot presenting wide access physical world support head data web things wot required framework permits achievement programs related sensors iot paper present conceptual model describes web things search engine wotseour wotse based artificial multi agent system modular architecture addressing key challenge scalable search rapidly changing content leveraging existing web infrastructure also model searching wot namely wotmas2e proposed experimentally evaluated using prototype,rise incurs emb link sensor caus construct internet thing iot present wide access physic world support head data web thing wot requir framework permit achiev program relat sensor iot paper present conceptu model describ web thing search engin wotseour wots base artifici multi agent system modular architectur address key challeng scalabl search rapid chang content leverag exist web infrastructur also model search wot name wotmas2 propos experiment evalu use prototyp
59,study aims explore factors influence preservice teachers' decisions use internet things iot classroom setting digital system enhance teaching learning achieve aim technology acceptance model tam used investigate effects using iot elearning environment preservice teachers perceived usefulness perceived ease use attitudes toward using iot influence attitudes students behavior fortyseven finalyear preservice teaching students selected participate purposeful sampling quantitative approach via regression analysis conducted analyze collected data results showed tamrelated factors perceived usefulness perceived ease use significantly contributed preservice teachers intentions use iot classrooms however intention use iot influenced attitude toward implications recommendations future work suggested result study,studi aim explor factor influenc preservic teacher decis use internet thing iot classroom set digit system enhanc teach learn achiev aim technolog accept model tam use investig effect use iot elearn environ preservic teacher perceiv use perceiv eas use attitud toward use iot influenc attitud student behavior fortyseven finalyear preservic teach student select particip purpos sampl quantit approach via regress analysi conduct analyz collect data result show tamrel factor perceiv use perceiv eas use signific contribut preservic teacher intent use iot classroom howev intent use iot influenc attitud toward implic recommend futur work suggest result studi
97,iot growing new approach defined global network devices machines capable reliably communicating without human intervention one essential technologies field medicine attracts great attention future applied several areas achieved success however power addition connected objects technology based fact objects establish several tasks communicate analyze process manage data parallel manner difficult terms energy consumption therefore problems related consumption slow considerably evolution fast deployment high technologytherefore necessary create new lightweight robust mechanism ensures minimization consumption objects makes objects efficient less costly adapted capacities objects technologiesthat paper aims address significant problem present role energy consumption essential deploying successful iot products services presenting iot categories applications first propose method minimizes energy consumption meets need three essential steps firstly study existing methods minimize energy consumption next based methods create new concept using data flows finally implement solution intelligent parking lot carry approach describe design steps conclude result study make interpretation summarizes work,iot grow new approach defin global network devic machin capabl reliabl communic without human intervent one essenti technolog field medicin attract great attent futur appli sever area achiev success howev power addit connect object technolog base fact object establish sever task communic analyz process manag data parallel manner difficult term energi consumpt therefor problem relat consumpt slow consider evolut fast deploy high technologytherefor necessari creat new lightweight robust mechan ensur minim consumpt object make object effici less cost adapt capac object technologiesthat paper aim address signific problem present role energi consumpt essenti deploy success iot product servic present iot categori applic first propos method minim energi consumpt meet need three essenti step first studi exist method minim energi consumpt next base method creat new concept use data flow final implement solut intellig park lot carri approach describ design step conclud result studi make interpret summar work
104,information security foremost concern iot internet things devices applications since advent iot applications devices experienced exponential increase numerous applications utilized nowadays people becoming smart started using smart devices like smartwatch smart tv smart home appliances devices part iot devices iot device differs widely capacity storage size computational power supply energy rapid increase iot devices different iot fields information security privacy addressed well iot devices constraints computational operational capabilities threat security privacy also prone cyberattacks study presents cia triadbased information security implementation fourlayer architecture iot devices overview layerwise threats iot devices finally suggest cia triadbased security techniques securing iot devices,inform secur foremost concern iot internet thing devic applic sinc advent iot applic devic experienc exponenti increas numer applic util nowaday peopl becom smart start use smart devic like smartwatch smart tv smart home applianc devic part iot devic iot devic differ wide capac storag size comput power suppli energi rapid increas iot devic differ iot field inform secur privaci address well iot devic constraint comput oper capabl threat secur privaci also prone cyberattack studi present cia triadbas inform secur implement fourlay architectur iot devic overview layerwis threat iot devic final suggest cia triadbas secur techniqu secur iot devic
70,coronavirus disease covid19 pandemic caused extreme disruption delivery instruction many educational institutions world however circumstance may challenge also opportunity foster learning exploration various technologies developed specifically course characterized strong skillsbased orientation physical education pe therefore aim set study develop mobile application movement competency training mct grounded usercentered design model descriptive mixedmethod research started preliminary needs assessment analysis participated 121 filipino students enrolled mct course 10 pe teachers results revealed skills require higher degree proficiency nonlocomotor skills locomotor mobility skills also majority respondents mobile phone users justified adoption mobile instruction development application mct moreover indicated research preference intended users terms design interface led development mobile application specified requirements based users' needs initial assessment developed application indicated highly acceptable level functional suitability usability portability studentrespondents field testing application may recommended determine effectiveness mastering skills mct independently,coronavirus diseas covid19 pandem caus extrem disrupt deliveri instruct mani educ institut world howev circumst may challeng also opportun foster learn explor various technolog develop specif cours character strong skillsbas orient physic educ pe therefor aim set studi develop mobil applic movement compet train mct ground usercent design model descript mixedmethod research start preliminari need assess analysi particip 121 filipino student enrol mct cours 10 pe teacher result reveal skill requir higher degre profici nonlocomotor skill locomotor mobil skill also major respond mobil phone user justifi adopt mobil instruct develop applic mct moreov indic research prefer intend user term design interfac led develop mobil applic specifi requir base user need initi assess develop applic indic high accept level function suitabl usabl portabl studentrespond field test applic may recommend determin effect master skill mct independ
80,study investigated relationship overall scientific performance pretest posttest impact application microb scientific performance theme microorganisms effects sample group consisted 30 year 5 pupils primary school johor bahru selected quantitative study purposeful sampling investigation pretest posttest used collect research data results show based four science constructs year 5 pupils acceptance “microb” mobile application high according survey results although relationship two overall performance tests impact found research found “microb” mobile application positive impact scientific performance year 5 pupils based construct scientific process skills understanding application knowledge results research make important contribution field education provide new options choosing microb mobile application educational tool strengthen science education general microb mobile application technology good educational tool scientific learning educators must organize lesson plans well deviate focus learning,studi investig relationship overal scientif perform pretest posttest impact applic microb scientif perform theme microorgan effect sampl group consist 30 year 5 pupil primari school johor bahru select quantit studi purpos sampl investig pretest posttest use collect research data result show base four scienc construct year 5 pupil accept “microb” mobil applic high accord survey result although relationship two overal perform test impact found research found “microb” mobil applic posit impact scientif perform year 5 pupil base construct scientif process skill understand applic knowledg result research make import contribut field educ provid new option choos microb mobil applic educ tool strengthen scienc educ general microb mobil applic technolog good educ tool scientif learn educ must organ lesson plan well deviat focus learn
