,article_title,abstract
598,Effects of Social Constructivist Mobile Learning Environments on Knowledge Acquisition: A Meta-Analysis,"This meta-analysis has two aims: a) to address the main effects of social constructivist mobile learning environments on learners knowledge acquisition and their academic achievements b) to address potential factors regarding design principles and instructional methods for successful social constructivist mobile environments in a blended learning context. We selected 24 articles that meet the inclusion criteria: empirical studies implementing mobile learning in a blended environment using social constructivism approach. The selected studies are not identical in terms of instructional strategies, tools and devices, period and students expertise level. These factors lead to variations in the magnitude of the effect sizes. The review reveals that there is a positive effect of mobile learning on the knowledge acquisition, learners achievements, attitudes and motivation despite the high cognitive load. This is shown through the combined effect size. A last remarkable finding related to retention is that students in such environments fulfill their academic tests, but remember less the acquired knowledge after a retention period."
604,An Educational Ontology-based M-Learning System,"Smart devices applications can assist young children in improving their learning capabilities and comprehension skills. However most of learning applications are built without taking into consideration the effective needs and background of Arab users. They are somehow incompatible with their local environment and culture. We propose in this paper a mobile-based educational system that displays illustrations automatically to characterize the content of children stories on animal domain, and we use some intelligent technique to answer users questions using an educational ontology. The generation of illustrations passes through different phases which include text processing, extraction of word-to-word relationships, building and accessing an ontology, and using Internet search engines for retrieval of complimentary information. The system can be used also by instructors to teach the children in a non-conventional manner. They can customize semantically the structure of the questions and determine how the answers will be displayed. In order to customize questions and answers, we have defined a semantic infrastructure to define the logic of terms, and the workflow of answers. The aim of our system is to improve the children educational skills to grasp vocabulary and grammar using multimedia with a portable smart device which includes observation, comprehension, realization, and deduction. Children will then be able to continue learning outside the limited time of their schools and from any location."
618,The Development of Mobile Learning Application using Jigsaw Technique,"Teacher ability to arrange learning environmet will affect the students interest in learning as well in utilizing mobile technology. The purpose of this research is to develop mobile learning using the cooperative learning approach especially Jigsaw technique. The method of this research is development research using ADDIE (Analysis, Design, Development, Implementation, and Evaluation) model. The application was validated by experts for technical aspects and also students from two different grades, i.e grade VII and grade VIII on physics subject for application acceptance responses. The result showed that both technically and application acceptance were in good level. It means that this mobile cooperative learning application can used to enhance students learning interest."
629,Support of Mobile Phones in a Private Network for Science Teaching,"The potential of mobile phones to facilitate students science learning, when they are engaging in group activities, was investigated. To minimize the disciplinary issues emerged from the previous research on mobile devices and to enhance the quality of learning, a set of mobile phones that are connected to a private network was used. The lesson planning and implementation through these mobile phones were facilitated by a web based Application. A purposively selected group of teachers developed three lessons while integrating mobile phones in a private network into learning activities. Then the lessons were implemented in real classroom settings. This paper is based on one of the lessons ‘Waves and their Characteristics that was implemented for Grade 11 students. The data were collected through observations using audio, video and field notes and were analyzed using thematic analysis technique with the help of NVivo10 qualitative data analysis software. Based on the thematic analysis, two assertions were derived. Notably teachers appreciated the support of the private network in enhancing the quality of group learning activity while minimizing the students misuse of mobile phones."
649,"Mobile Learning Design Models for State University of Jakarta, Indonesia","In facing the industrial era 4.0, the instructional paradigm requires the involvement of technology in it. The use of technology in instructional is sometimes regarded as a medium or tool for delivering information through technology from lecturers to students without considering the learning process of students with technology that makes learning outcomes more meaningful. Meanwhile, instructional media such as mobile learning applications through Android is a type of mobile learning that can change the way students communicate and interact. The use of mobile learning applications through Android is adjusted to the characteristics of students and learning needs in the industrial era 4.0. This study resulted in an Android-based mobile learning application so that through product effectiveness, the concept of the conceptual model of mobile learning was obtained in the industrial era 4.0 for learning in college. The research method used is the development research of William W. Lee and Diana L. Owens. The results showed that the mobile learning application influenced student academic achievement so that the conceptual model of mobile learning was obtained in the industrial era 4.0 for learning in college. This study concludes that mobile learning applications encourage students in fun learning activities and place students as the main subject in learning, so learning becomes meaningful.,"
683,Towards a New Scalable Big Data System Semantic Web Applied on Mobile Learning,"In Web 3.0, semantic data gives machines the ability to understand and process data. Resource Description Framework (RDF) is the liagna franca of Semantic Web. While Big Data handles the problematic of storing and processing massive data, it still does not provide a support for RDF data. In this paper, we present a new Big Data semantic web comprised of a classical Big Data system with a semantic layer. As a proof of concept of our approach, we use Mobile-learning as a case study. The architecture we propose is composed of two main parts: a knowledge server and an adaptation model. The knowledge server allows trainers and business experts to represent their expertise using business rules and ontology to ensure heterogeneous knowledge. Then, in a mobility environment, the knowledge server makes it possible to take into account the constraints of the environment and the user constraints thanks to the RDF exchange format. The adaptation model based on RDF graphs corresponds to combinatorial optimization algorithms, whose objective is to propose to the learner a relevant combination of Learning Object based on its contextual constraints. Our solution guarantees scalability, and high data availability through the use of the principle of replication. The results obtained in the system evaluation experiments, on a large number of servers show the efficiency, scalability, and robustness of our system if the amount of data processed is very large."
690,The Effectiveness of Mobile Learning Based Android in Learning English Vocabularies,"This study aims to determine the effectiveness of mobile learning based android in learning vocabulary at the seventh-grade students of SMP Batara Gowa. This type of research is pre-experimental. The research design used was pre-experimental design, namely one group pre-test post-test design. The populations in this study were all seventh-grade students of SMP Batara Gowa, and the sample was class VII.1 as the experimental class which was chosen by using purposive sampling. The results of the data analysis show that the mean score of post-test (70.55) was higher than the mean score of pre-test (34.65). The result of the t-test was 30.117 and t-table 2.093. It could be indicated that the null hypothesis (H0) was rejected and the alternative hypothesis (H1) was accepted. Based on the effectiveness criteria, generally using mobile learning based android was effective in learning vocabulary at the seventh-grade students of SMP Batara Gowa.,"
708,Understanding the Quality Determinants that Influence the Intention to Use the Mobile Learning Platforms: A Practical Study,"There is a widespread use of Internet technology in the present times, because of which universities are making investments in Mobile learning to augment their position in the face of extensive competition and also to enhance their students learning experience and efficiency. Nonetheless, Mobile Learning Platform are only going to be successful when students show acceptance and adoption of this technology. Our literature review indicates that very few studies have been carried out to show how university students accept and employ Mobile Learning Platform. In addition, it is asserted that behavioral models of technology acceptance are not equally applied in different cultures. The purpose of this study is to develop an extension of Technology Acceptance Model (TAM) by including four more constructs: namely, content quality, service quality, information quality and quality of the system. This is proposed to make it more relevant for the developing countries, like the United Arab Emirates (UAE). An online survey was carried out to obtain the data. A total of 221 students from the UAE took part in this survey. Structural equation modeling was used to determine and test the measurement and structural model. Data analysis was carried out, which showed that ten out of a total of 12 hypotheses are supported. This shows that there is support for the applicability of the extended TAM in the UAE. These outcomes suggest that Mobile Learning Platform should be considered by the policymakers and education developers as being not only a technological solution but also as being new e-learning platform especially for distance learning students.,"
715,Using Mobile Learning Tools in Higher Education: A UAE Case,"Research indicates that mobile learning (ML), has the potential to transform teaching and learning. Despite its benefits, mobile learning adoption is a challenging process which requires support to facilitate its integration. The focus of this article is to investigate the factors that could affect ML acceptance. The quantitative and qualitative data collected from the surveys revealed additional information regarding the pedagogical benefits of and obstacles to mobile learning integration. Even though participants in this study reported to be late adopters of technology, they  maintained that ML is useful for learning, specifically ubiquitous learning. Teachers also noted that mobile learning integration is more successful when aligned with local cultural norms.  Mobile learning tools that might be culturally appropriate in one context may not always be accepted in another.  Findings of this study provide several implications and recommendations for future research on mobile learning implementation. Further research could explore the development and utilization of a rubric with specific criteria for evaluating mobile learning applictations."
727,A Study of Students Motivation in Using the Mobile Arc Welding Learning App,"Welding is an introductory core subject that is taught in every mechanical engineering programs at all polytechnics in Malaysia. Normally students will learn the theoretical concepts of welding in the class followed by instruction based training in the workshop.   However, students have difficulty to follow everything that has been taught in the class in a limited time. Welding is dangerous for beginners and the welding environments are harmful and injurious to the health. In this paper, we introduce Mobile Arc Welding Learning (MAWL) app, a new approach for learning arc welding that incorporates mobile technology and enhanced with augmented reality (AR). The aim of this app is to enhance the contents used in arc welding learning materials used in the conventional learning by visualizing the information through the use of text, images, videos and 3D models. The MAWL app covers topics related to safety in welding, components of welding and steps in welding. The students can use the app to learn about welding on their own anytime and anywhere. The potential of using the MAWL app for welding learning among the polytechnic students has been investigated, specifically focusing on ease of use, learnability, satisfaction, usefulness, motivation and engagement. The results of the evaluation indicate that the users strongly agreed on ease of use, learnability, satisfaction, usefulness and motivation, while they agreed on engagement. These prove that the MAWL app has the potential to contribute to students welding learning through interactive and accessible information that satisfies them."
746,Diagnosing Adoption to Mobile Learning,"This study was undertaken to address the need to modernize the modes of teaching and learning pedagogy by taking advantage of the proliferation of electronic gadgets and mobile devices since, as counted there are more computers than the people in the world (Boren, 2014). This research found out how learning in the new platform could be adopted by teachers and students. In addition, it tested the different variables involved in the use of mobile in learning by faculty and students of Centro Escolar University (CEU) to determine factors that made implementing technology a success or a failure.To attain the set objectives, this study made use of descriptive and inferential method to the data gathered from respondents via stratified random sampling. Specifically, it employed frequency, mean, standard deviation, t-test, analysis of variance and multiple linear regressions for the treatment of data derived from the survey questionnaires. To complete the triangulation approach and for consistency of findings, observation and interview were also conducted.Subsequently, in order to determine adoption to mobile learning the modified Unified Theory of Acceptance and Use of Technology (UTAUT) model was employed. This model shows relationship of moderating variables which are age, gender, voluntariness of use and experience from independent variables like performance expectancy, effort expectancy, social influence, facilitating conditions, anxiety and self-efficacy. After all the statistical treatments were applied, Anxiety, Self-Efficacy, Effort Expectancy, Performance Expectancy and Facilitating Condition contribute to the success of the introduction of technology to the organization, while social influence was excluded as the reasons why users adopt it.,"
750,User-Centred Design in Content Management System Development: The Case of EMasters,"Including users in design and development of an interactive product is crucial to achieve high level of usability. Content management systems have two categories of users, content creators and content consumers, and designers of these systems have to considers the needs of both user groups. In design of interactive learning systems, special attention has to be given to the process of learning, which means that functional, accessible and usable interface has to serve the purpose of knowledge acquisition. Designing for mobile learning brings additional challenges due to the small screens of mobile devices. The paper describes the process of utilization of user-centred design in development of a simple content management system for learning called EMasters. The aim of the EMasters is to enable teachers to easily create and organize courses which will be delivered to students to facilitate web-based and mobile learning. According to the user-centred design approach, teachers and students are involved in iterative process of design, implementation and evaluation of EMasters. Evaluation study used complementary methods and provided quantitative and qualitative feedback. The usability score reached good level and the guidelines for redesign of the system interface are drown. According to the obtained results, proposed framework is confirmed to be applicable in user-centred design of content management systems in general. In addition, the directions for adjustment of the framework for specific cases are provided."
817,Motivation of Parents Towards Reading Multilingual eBooks To Pre-School Children,"The use of mobile devices for language learning, under the Mobile Assisted Language Learning (MALL) has been found to motivate children to read digital print. However, parents need to be convinced of the benefits of this new technology-assisted learning method within a multilingual learning context. A case study was conducted to propose a MALL framework in which educators and parents created a shared meaningful learning environment to develop the childrens emergent multilingual literacy skills, using mobile devices installed with interactive multilingual eBooks. This paper reports the findings, specifically on the parents attitude and motivation towards reading multilingual eBooks with their children. A group of 25 multi-ethnic families, together with their 5-year-old children participated in this study. A mixed-method explanatory research design obtained parent's attitude and motivation from a questionnaire, interview, and feedback form. The results show a high level of parents acceptance toward reading eBook with their children. Parents attributed their positive attitude and motivation towards MALL to the use of the multimedia, multilingual, and mobile platform. The MALL framework was also found to encourage parents and other adults to scaffold the childrens multilingual skills development. However, there were also setbacks toward the use of eBook as some parents expressed a stronger preference for printed books and were concerned with health issues associated with the childrens eBook use. Areas for improvements and future research are also made in this paper."
9,Digital Comic Media for Teaching Secondary School Science,"The rapid development of science and technology in the 21st Century demands students (both school and university) to hold sufficient skills, including critical thinking and problem solving, to compete globally. Educational systems are responsible for promoting the skills through the teaching and learning experiences, including teaching material and learning media applied in the class. This paper highlights the development of mobile apps-based digital comic media in social learning that can be integrated into personalized online learning. The steps to develop the media was applied the Gay's procedure. The digital comic media present an interactive science knowledge platform in the form of digital comic media enriched with Augmented reality technology. The media has been tested to 20 students during the emerging of the Covid-19 pandemic and showing good acceptance. This implies that digital comic media is of value to be used and applied in online learning.,"
23,Mobile Augmented Reality Learning Media with Metaverse to Improve Student Learning Outcomes in Science Class,"The development of information and communication technology affects the learning methods and media used. Augmented Reality technology allows students to experience learning with objects that can be seen in person. The purpose of the study was to see how students learned when they used the metaverse app, which is mobile augmented reality software for science courses. The population group consists of 92 students from several schools in cluster I, Depok Subdistrict. Then the sample was taken using the slovin formula until it obtained 75 samples of grade 5 students. This study employs experimental research techniques and a single group pre- and post-test. A t-test is used to analysed the collected data. According to the findings, using that metaverse applications has a favourable impact on students' learning outcomes. Students can use the Metaverse app to see better learning outcomes. Students are also more interested in learning and can easily understand and discover what is being learned. In addition, students find it more fun to learn using the Metaverse app, which is a mobile augmented reality."
32,Hi World: The Virtual Book Learning Integrated Augmented Reality to Increase Knowledge of Covid-19 Prevention in The Learning Process Post-Pandemic Era,"This research aims to Improve innovation Hi World integrated with AR, Testing The level of attraction of  Hi World, and test the level of Hi World's appropriateness for covid-19 patients. This research method is R&D involving the expert of Covid-19 and digital media. The result from this research are: Innovation of Hi World improved to have a good level of appropriateness with a score of  90%; Level of attraction with this book is good with a score of  95%, and Hi world have design choices that are suitable for the requirement that covid-19 patients needs"
38,Investigating the Potential of Integrating Augmented Reality into the 6E Instructional 3D Geometry Model in Fostering Students 3D Geometric Thinking Processes,"Schools as a source of knowledge need to facilitate the 3D geometric thinking process involving a series of cognitive action. Therefore, this research investigates the potential of integrating augmented reality (AR) into the 6E instructional 3D geometric model (6E I3DGM). This is an exploratory research carried out with a teacher and 28 junior high school students in Indramayu District, Indonesia. The data were collected through observations and interviews and examined, selected, extracted, and coded based on the criteria determined. The data collected were further interpreted and concluded, and descriptively analyzed using content analysis. The result showed that learning that integrates AR into 6E I3DGM has the ability to raise 3D geometric thinking processes in the dimensions of representation, spatial structuring, and measurement. This is because the use of AR can characteristically help students represent, construct nets, visualize the structure of 3D shapes, and assist in measuring the surface area and volume of 3D geometry. Moreover, it also facilitates students in constructing knowledge through a series of 3D geometric thinking activities. Therefore, the use of learning that integrates AR into 6E I3DGM has the potential to be an alternative for learning 3D geometry both during and after the COVID-19 pandemic.,"
50,Applying Augmented Reality to Chinese Radicals Learning: A Remedial Teaching Experiment in an Elementary School,"In the regions of Chinese as the first language, children with backward Chinese characters ability are more likely to give up reading the subject content of long texts, which affects their learning in the long term. This study applies augmented reality (AR) to develop a remedial teaching model for Chinese radical recognition and assesses its effectiveness on underachieved students at an elementary school. Based on several Chinese characters that were easy for children to confuse radicals, an AR app for Android was developed and installed in tablet computers. The remedial teaching model involves students to use AR app to scan radical cards and trigger animations introducing the evolution of radicals. Students can practice Chinese character writing on the tablet computer's screen. With the multiple stimulus of AR, the teacher lead students collaboratively complete the worksheets. To assess students' learning outcomes, a quasi-experimental approach was administrated to 8 second grade students who had backward Chinese literacy, in which qualitative and quantitative data were collected. Results showed this remedial teaching model improved the disadvantaged students recognition accuracy on Chinese characters and flips their motivation toward Chinese characters learning. During the remedial teaching program, use of AR was effective to get students more attentions and impressions on Chinese radicals. Finally, Implications for Chinese characters teaching practices are discussed"
54,Development of a Mobile e-Learning Platform on Physics Using Augmented Reality Technology,"With the constant increase of computing power in mobile devices (tablets, smartphones), new prospects have opened up for their application, in particular, in trade, industry, medicine, education, etc. In the field of education, mobile devices have a high potential, which, if properly integrated, can form a new effective learning model. This article is devoted to the development of a mobile application for a multilingual (Kazakh, Russian, English) educational platform for distance learning of physics in higher and secondary educational institutions using augmented reality technology.,"
46,Low-Cost and Energy-Efficient Alternatives for Home Automation using IoT,"Due to the COVID-19 pandemic, the world's population has undergone different changes in which an impact on the use of the internet stands out from daily aspects such as education, commerce, health, among others; which has made us highly dependent on its usage. In this regard, the term Internet of Things (IoT) has been increasingly recognized for its contribution to improving people's life quality, through objects that are integrated and connected to the Internet. This document aims to introduce alternatives for IoT-based home automation making use of NodeMCU, Sinric Pro, and smart voice assistants such as Google Home and Alexa. The proposals are efficient in terms of easy implementation and reduce electricity consumption by around 30%. This document is research that helps families improve their energy efficiency and daily productivity through IoT."
51,WoT Search Engine based on Multi Agent System: A Conceptual Framework,"The rising incursions with embed and linked sensors cause the construction of the Internet of Things (IoT). Its presenting a wide access to the physical world. We support that on head of this data, a Web of Things (WoT) is required. A framework that permits the achievement of programs related to sensors in the IoT. In this paper we present a conceptual model that describes Web of Things Search engine (WoTSE).Our WoTSE is based on artificial multi agent system with a modular architecture, addressing the key challenge of scalable search for rapidly changing content while leveraging existing Web infrastructure. Also, a model for searching in the WoT, namely WoTmAS2E, is proposed and experimentally evaluated using a prototype."
59,Critical Factors Influencing Pre-Service Teachers Use of the Internet of Things (IoT) in Classrooms,"This This study aims to explore the factors that influence pre-service teachers' decisions to use the Internet of Things (IoT) in a classroom setting as a digital system to enhance their teaching and learning. To achieve this aim, the technology acceptance model (TAM) is used to investigate the effects of using the IoT in an e-learning environment on pre-service teachers perceived usefulness, perceived ease of use, attitudes toward using IoT, and the influence of such attitudes on students behavior. Forty-seven final-year pre-service teaching students were selected to participate by purposeful sampling. A quantitative approach via regression analysis was conducted to analyze the collected data. The results showed that the TAM-related factors of perceived usefulness and perceived ease of use significantly contributed to pre-service teachers intentions to use the IoT in classrooms. However, their intention to use the IoT was not influenced by their attitude toward it. Implications and recommendations for future work are suggested as a result of this study."
97,Optimization of the Energy Consumption of Connected Objects,"The IoT is a growing new approach that has been defined as a global network of devices and machines capable of reliably communicating with each other without human intervention. It is one of the essential technologies in any field, such as medicine and attracts great attention in the future. It is applied in several areas that have achieved success. However, the power and the addition of connected objects to technology is based on the fact that its objects can establish several tasks: communicate, analyze, process and manage data in a parallel manner, which is very difficult in terms of energy consumption. Therefore, the problems related to consumption slow down considerably the evolution and the fast deployment of this high technology.Therefore, it is necessary to create a new lightweight and robust mechanism, which ensures the minimization of the consumption of the objects and makes these objects efficient and less costly while being adapted to the capacities of objects and technologies.That is why our paper aims to address this significant problem and present the role of energy consumption, which is essential in deploying successful IoT products and services and presenting the IoT categories for applications. First, we propose a method that minimizes energy consumption and meets our need through three essential steps: firstly, to study the existing methods to minimize energy consumption.  Next, based on these methods, we create a new concept using the data flows. Finally, we implement our solution in an intelligent parking lot to carry out our approach and describe our design steps and conclude with the result of our study and make an interpretation that summarizes our work.,"
104,IoT-based Application of Information Security Triad,"Information Security is the foremost concern for IoT (Internet of things) devices and applications. Since the advent of IoT, its applications and devices have experienced an exponential increase in numerous applications which are utilized. Nowadays we people are becoming smart because we started using smart devices like a smartwatch, smart TV, smart home appliances. These devices are part of the IoT devices. The IoT device differs widely in capacity storage, size, computational power, and supply of energy. With the rapid increase of IoT devices in different IoT fields, information security, and privacy are not addressed well. Most IoT devices having constraints in computational and operational capabilities are a threat to security and privacy, also prone to cyber-attacks. This study presents a CIA triad-based information security implementation for the four-layer architecture of the IoT devices. An overview of layer-wise threats to the IoT devices and finally suggest CIA triad-based security techniques for securing the IoT devices."
70,Towards the Development of a Mobile Application in Movement Competency Training Grounded on the User-Centered Design Model: The Case of a State University in the Philippines,"The corona-virus disease (COVID)-19 pandemic has caused extreme disruption in the delivery of instruction in many educational institutions all over the world. However, this circumstance may not only be a challenge but also an opportunity to foster learning through exploration of various technologies that can be developed, more specifically in a course characterized with a strong skills-based orientation such as physical education (PE). Therefore, the aim set in this study was to develop a mobile application for Movement Competency Training (MCT) grounded on the User-Centered Design Model. This descriptive mixed-method research started with a preliminary needs assessment analysis which was participated by 121 Filipino students enrolled in the MCT course and 10 PE teachers. Results revealed the skills that require a higher degree of proficiency such as non-locomotor skills, locomotor, and mobility skills. Also, the majority of the respondents are mobile phone users which justified the adoption of mobile instruction and the development of an application for MCT. Moreover, indicated in this research was the preference of the intended users in terms of design and interface that led to the development of the mobile application and had specified the requirements based on the users' needs. The initial assessment of the developed application indicated a highly acceptable level of functional suitability, usability, and portability by the student-respondents. A field testing of the application may be recommended to determine its effectiveness in mastering the skills in MCT independently.,"
80,The Effect of Using ‘Microb Mobile Application in Science Learning in Primary School,"The study investigated the relationship between the overall scientific performance of the pre-test and post-test and the impact of the application of ""Microb"" on scientific performance. The theme is ""microorganisms and their effects"". The sample group consisted of 30. Year 5 pupils from a primary school in Johor Bahru. They were selected for this quantitative study through purposeful sampling. Investigation, pre-test and post-test are used to collect research data. The results show that based on the four science constructs, year 5 pupils acceptance of the “Microb” mobile application is very high. According to the survey results, although there is no relationship between the two overall performance tests and no impact was found in the research, it was found that the “Microb” mobile application has a positive impact on the scientific performance of year 5 pupils, based on the construct of scientific process skills, understanding, application and knowledge. The results of this research will make an important contribution to the field of education and provide new options for choosing the ""Microb"" mobile application as an educational tool to strengthen science education. In general, the ""Microb"" mobile application in technology can be a good educational tool for scientific learning, but educators must organize lesson plans well and not deviate from the focus of learning"
529,The Development of Mobile Japanese Halal Gamification (MJHG),"There are projected to be over 200,000 Muslim tourists will visit Japan due to expected Tokyo Olympics 2020. But the previous study showed that the level of understanding about Muslim needs such as Halal terms still low among Japanese people. There is a technique and approach such as gamification that need by the Japanese people to fulfill this requirement. Gamification which integrating game thinking and games element has been proven to help in learning new knowledge. That is why the objective of this study discusses how to develop an application of MJHG in a smartphone-based on the android system. The MJHG was design based on a well known visual novel concept that combining with multimedia elements included audio,   animation,   graphics, and image to make it more attractive and alive. All of these elements blending with the gamification elements such as quiz, rewards, badges, and feedback to make it as gamified applications. Based on all of these capabilities of MJHG, it, therefore, can help the potential users not only Japanese people but also non-muslim to increase their level of understanding and awareness toward Halal terms.,"
601,Remote Experimentation with Thermo-Optical Plant via Mobile Application,The paper demonstrates remote control of thermo-optical plant via Android based mobile application. The user can run the experiment in an open or closed loop. The plant control is realized via predefined PID controller whose parameters can be changed. Another possibility is to use own customized controller whereby the control algorithm has to be defined using the syntax of SciLab environment that is running in background of the whole experiment.
732,Use of Integrated Mobile Application With Realistic Mathematics Education: A Study to Develop Elementary Students Creative Thinking Ability,"One of the abilities students must possess is Creative Thinking Ability (CTA) in order to succeed in their lives. Learning must facilitate students to develop CTA; one of them is by developing a mobile application based on Realistic Mathematics Education (RME). The purpose of this study is to determine the level of validity/feasibility, practicality, and effectiveness of mobile application based RME. This mobile application development used the ADDIE model development procedure. The subjects in this study were grade 4 elementary school students. The validation data collection techniques through validation sheets, practicality data through CTA tests. The results of the study show that the developed of mobile application integrated with realistic mathematics meets valid/proper requirements based on expert and practitioner assessments that are practical and easy if applied in mathematics learning and that is effective in improving students creative thinking ability."
737,Extended Study of Undergraduate Students Usage of Mobile Application for Individual Differentiation Learning Support of Lecture-based General Education Subjects,"This is an investigation in the development and assessment of a mobile application that was developed for differentiated (Individualized) learning in support of lecture-based general education subjects. The mobile phone application was developed as a learning aid as a substantial number of students were experiencing difficulty in successfully completing these courses. The researcher developed the mobile phone application that contains uploaded course  content from each course. This was used to create  a summary of the lecture content from each course, in the form of infographics and  linked ‘PDF files or soft copies of lecture materials. The researcher developed exercises that students could complete which later contributed to self-created content based on their understanding, skills, and interests. With use of the mobile application, 100% of the students successfully completed these courses. Moreover, the level of satisfaction in education among students was high with an average of 4.75. The standard deviation of 0.43 indicated that, concerning contemporary education, and the active learning atmosphere, effective learning can be achieved due to the development of learning innovation in the use of electronic devices, which give opportunities to students to use their creativity in problem solving, as based on their preferences, whilst demonstrating their understanding about lesson content."
17,Contextual Mobile Learning: A Step Further to Mastering Professional Appliances,"In this paper we describe our approach whose objective is to apply MOCOCO concepts to e-learning. After a short presentation of MOCOCO (Mobility, Cooperation, Contextualization) and IMERA (Mobile Interaction in the Augmented Real Environment) principles we will discuss their use in a project called HMTD (Help Me To Do) whose aim is to use wearable computer for a framework of activities of better use, maintenance and repairing of professional appliances. We will successively describe m-learning scope, contextualization and cooperation advantages as well as learning methods. A case study of configuration of wearable computer and its peripherals, taking into account context, in-situ storage, traceability and regulation in these activities finishes this paper."
1011,Model-Based Quality Assessment of Internet of Things Software Applications: A Systematic Mapping Study,"The Internet of things (IoT) is growing at a fast pace owing to its vast applications in varied fields such as medicine, society, economy, and even the military. This growth cannot continue without establishing high quality. Over the past decade, interest in research for the quality assurance of IoT has gradually grown. However, the discipline is still evolving, and further research is required to investigate the various quality-related aspects. Although assessing the entire system is impractical, to assure the quality of IoT applications, various assessment levels are required. A well-known and established approach to mitigate this difficulty is to model the entire system or a few parts of it for the sake of assessment, which is known as model-based testing. To determine what has been achieved thus far and what is lacking in this direction, this paper presents an extensive study on the use of the model-based approach to assure the quality of IoT applications. The study systematically reviews papers published from 2009 (early publications on IoT) to 2019 that reported the explicit use of models to assess the quality aspects of IoT applications. As a result of an extensive search process, the paper presents the results of scanning and reviewing 390 published papers. Thus far, out of these, 54 studies used the model-based approach to assess at least one quality aspect of an IoT application. In addition to the several relevant research questions that have been addressed in this study, this paper also presents several new insights and approaches for future research."
1084,Automatic Plants Watering System for Small Garden,"Background: Automation is starting to dominate the world today. We are enter-ing a new era of computing technology, the Internet of Things (IoT), which is experiencing rapid development. IoT is a worldwide neural network in the cloud that connects a mixture of things, aiming to maximise the benefits of internet con-nectivity in transferring and processing data. Using IoT, one can monitor and control a device remotely with a computer or smartphone. IoT can apply in vari-ous fields, one of which is the smart garden. Objective: This research aims to design an automatic plant's watering system used to small gardens in houses. Smart Garden is an electronic control and garden monitoring system for the pro-cess of watering plants so that it can help people care for plants. Method: This paper presents a design of the Internet of Things for small gardens inside houses using Wireless networks and sensors.  In automatic watering plants, information about soil moisture needed for plants. Sensors are devices used for smart agricul-ture. Arduino Uno will control all system operations as monitoring the plant wa-tering system. Result: The result of this paper is a Plants Watering System De-sign for Small Garden at Homes."
1085,IoT Enabled Wearable Device for COVID Safety and Emergencies,"The worldwide outbreak of COVID-19 has significantly changed the mindset of the people and over the period they started practicing healthy lifestyle to contain the spread of the virus. Despite this, increase in the number of cases and death rates across the globe are major cause of concern. In addition to maintaining the healthy lifestyle it is also essential to exploit the technological advancements in the field of Internet of Things (IoT) in designing a cost-effective wearable device which could possibly indicate the early stages of virus infection. In this work, a low cost IoT enabled wearable device is designed which generates alerts in case of any of the measured parameter goes out of the normal range besides sending notifications."
1092,Real Time System Monitoring and Analysis-Based Internet of Things (IoT) Technology in Measuring Outdoor Air Quality,"The presence of large peatland in Riau, Indonesia, could cause air pollution due to peatland fires which causes the presence of thick smoke every year in Riau,  dis-rupting human activities. In order to monitor the air quality, in this paper,  the main advantage of the  Internet of Things (IoT) is the ability to transfer data over the network without requiring human-to-human or human interaction to the com-puter   used. In this paper, we propose an air quality monitor that can display web-based information to show the temperature and air humidity, and detects CO, CO2 gases, and alcohol in real time with the help of DHT11 and MQ135 sensors, Arduino Uno and Raspberry Pie. The results show our proposed system can successfully show each parameter of the air quality on the website and make suggestions about the overall air quality level. With our proposed system, we hope the government can respond faster to mitigate the bad air quality level and give information to public about the air quality level in a faster and more accurate way."
