,abstract,stemmed
481,access to quality education is now a huge challenge in thailand with everincreasing inequality between rural and urban populations existing teaching and learning facilities are no longer adequate mobile learning has been suggested as a sustainable and appropriate delivery mechanism to reduce this ruralurban education gap students are supplied with their own mobile device at no cost to learners or their families opportunities offered through mobile learning to auto mechanic education in thailand were explored data from 384 auto mechanic students were collected and descriptive and multiple regression analyses were performed based on the unified theory of acceptance and use of technology 2 utaut2 model results showed that performance expectancy effort expectancy social influence facilitating conditions hedonic motivation and personal innovativeness were positively related to behavioral intention to use mobile learning furthermore effort expectancy hedonic motivation and personal innovativeness were the most significant predictors of behavioral intention to use mobile learning auto mechanic students in thailand had positive perceptions toward mobile learning and the effect of students effort expectancy provided a better explanation for the adoption of mobile learning in auto mechanic education,access to qualiti educ is now a huge challeng in thailand with everincreas inequ between rural and urban popul exist teach and learn facil are no longer adequ mobil learn has been suggest as a sustain and appropri deliveri mechan to reduc this ruralurban educ gap student are suppli with their own mobil devic at no cost to learner or their famili opportun offer through mobil learn to auto mechan educ in thailand were explor data from 384 auto mechan student were collect and descript and multipl regress analys were perform base on the unifi theori of accept and use of technolog 2 utaut2 model result show that perform expect effort expect social influenc facilit condit hedon motiv and person innov were posit relat to behavior intent to use mobil learn furthermor effort expect hedon motiv and person innov were the most signific predictor of behavior intent to use mobil learn auto mechan student in thailand had posit percept toward mobil learn and the effect of student effort expect provid a better explan for the adopt of mobil learn in auto mechan educ
501,mobile devices have proven to be an appropriate tool which expands the horizons of learning beyond the classroom through means of flexibility and portability throughout this study the authors have worked with a set of design guidelines which were derived from the literature the artifact developed considering these design guidelines has been evaluated among various user groups for better understanding of mlearning as a tool to support english language learning findings of these evaluations have been used to improve the design guidelines  the authors also identify the effectiveness of mobile learning as a supporting medium of learning and as a primary medium of learning among different learner groups which is another outcome of this study ,mobil devic have proven to be an appropri tool which expand the horizon of learn beyond the classroom through mean of flexibl and portabl throughout this studi the author have work with a set of design guidelin which were deriv from the literatur the artifact develop consid these design guidelin has been evalu among various user group for better understand of mlearn as a tool to support english languag learn find of these evalu have been use to improv the design guidelin  the author also identifi the effect of mobil learn as a support medium of learn and as a primari medium of learn among differ learner group which is anoth outcom of this study 
519,this study empirically analyzed a survey conducted on south korean undergraduate students to determine the factors that influence their decision to adopt mobile learning the consumer typology approach was applied based on their mobile technology readiness and identified three distinct consumer groups critical adopters protechnology and ambivalent critical adopters were the largest of the three groups indicating that a significant portion of university students in south korea might be critical adopters of mobile learning compatibility and observability positively influenced the intention to use mobile learning in all consumer groups in the critical adopter and ambivalent groups mobile learning resistance had the greatest effect on the intention to use mobile learning while in the protechnology group mobile learning selfefficacy had the greatest effect on this intention results identified significant differences across consumer groups in the antecedents and consequences of the intention to use mobile learning,this studi empir analyz a survey conduct on south korean undergradu student to determin the factor that influenc their decis to adopt mobil learn the consum typolog approach was appli base on their mobil technolog readi and identifi three distinct consum group critic adopt protechnolog and ambival critic adopt were the largest of the three group indic that a signific portion of univers student in south korea might be critic adopt of mobil learn compat and observ posit influenc the intent to use mobil learn in all consum group in the critic adopt and ambival group mobil learn resist had the greatest effect on the intent to use mobil learn while in the protechnolog group mobil learn selfefficaci had the greatest effect on this intent result identifi signific differ across consum group in the anteced and consequ of the intent to use mobil learn
523,indonesia is an archipelago country with a variety of local languages one of which is balinese mother tongue used by the balinese people in daily life and in certain ritual ceremonies in universitas pendidikan ganesha department of balinese language education students have been given anggahungguhing in speaking subjects where they are taught to understand the use of balinese language based on social strata  but in the process of learning the anggahungguhing there are some problems including 1 there is no media that supports learning of anggahungguhing vocabulary 2 the motivation of students when learning anggahungguhing by using books is low based upon the analysis on the problems and previous researches this study aims to 1 development of mobile dictionary to support the learning process angggah  ungguhing anywhere and anytime 2 measuring the level of students motivation are using mobile dictionary while learning vocabulary anggah  ungguhing the method used in this research is software development life cycle sdlc with waterfall based model based on the results of tests that have been done mobile dictionaries can be declared successfully developed based on user needs in this research has distributed about 60 questionnaires to measure the level of students motivation who use mobile dictionaries on learning anggah  ungguhing balinese language the result of the students motivation measurement shows that the motivation of the students that the learns anggah  ungguhing balinese languange using mobile dictionary is in the positive category,indonesia is an archipelago countri with a varieti of local languag one of which is balines mother tongu use by the balines peopl in daili life and in certain ritual ceremoni in universita pendidikan ganesha depart of balines languag educ student have been given anggahungguh in speak subject where they are taught to understand the use of balines languag base on social strata  but in the process of learn the anggahungguh there are some problem includ 1 there is no media that support learn of anggahungguh vocabulari 2 the motiv of student when learn anggahungguh by use book is low base upon the analysi on the problem and previous research this studi aim to 1 develop of mobil dictionari to support the learn process angggah  ungguh anywher and anytim 2 measur the level of student motiv are use mobil dictionari while learn vocabulari anggah  ungguh the method use in this research is softwar develop life cycl sdlc with waterfal base model base on the result of test that have been done mobil dictionari can be declar success develop base on user need in this research has distribut about 60 questionnair to measur the level of student motiv who use mobil dictionari on learn anggah  ungguh balines languag the result of the student motiv measur show that the motiv of the student that the learn anggah  ungguh balines languang use mobil dictionari is in the posit categori
581,this study was carried out to evaluate the effectiveness of mobile learning app based on collaborative learning in authentic environment known as akses and its impact on the preschool students basic scientific process skills competency namely observation classification and communication in addition the study also investigated competency patterns of the students skills this study was a quantitative study which used two sets of instruments which looked into akses application and marking rubrics of the students basic scientific process skills based on quasiexperimental study the duration of the study was seven weeks and six learning activities were implemented two rural preschools were selected based on quota sample selection and 25 students were in each controlled and treatment groups analysis of the survey data was carried out in the form of descriptive and inferential analysis involving mannwhitney u test the mannwhitney u test analysis found significant differences in competency patterns of basic scientific process skills in both groups meanwhile the competency patterns of basic scientific process skills indicated positive increase among all preschool students after the utilization of akses application in learning activities based on collaborative learning strategy in an authentic environment,this studi was carri out to evalu the effect of mobil learn app base on collabor learn in authent environ known as aks and it impact on the preschool student basic scientif process skill compet name observ classif and communic in addit the studi also investig compet pattern of the student skill this studi was a quantit studi which use two set of instrument which look into aks applic and mark rubric of the student basic scientif process skill base on quasiexperiment studi the durat of the studi was seven week and six learn activ were implement two rural preschool were select base on quota sampl select and 25 student were in each control and treatment group analysi of the survey data was carri out in the form of descript and inferenti analysi involv mannwhitney u test the mannwhitney u test analysi found signific differ in compet pattern of basic scientif process skill in both group meanwhil the compet pattern of basic scientif process skill indic posit increas among all preschool student after the util of aks applic in learn activ base on collabor learn strategi in an authent environ
592,sms can be utilized as a new opportunity that can be applied to improve current educational practices and processes in a variety of fields including distance education this study is an indepth qualitative inquiry into distance education students perception and experience in mobile learning via sms a set of interview questions was used as the survey method to gather primary data from five students enrolling in the school of distance education universiti sains malaysia the findings revealed that sms learning generally was perceived positively by the respondents they agreed that sms learning is convenient useful as reminder and relevant to their studies apart from few issues raised respondents agreed that their sms learning experiences were great helpful and they generally satisfied with the system  as implications the study shed lights on the potential of sms learning as an effective and innovative paradigm in pedagogy particularly in distance education environment,sms can be util as a new opportun that can be appli to improv current educ practic and process in a varieti of field includ distanc educ this studi is an indepth qualit inquiri into distanc educ student percept and experi in mobil learn via sms a set of interview question was use as the survey method to gather primari data from five student enrol in the school of distanc educ univers sain malaysia the find reveal that sms learn general was perceiv posit by the respond they agre that sms learn is conveni use as remind and relev to their studi apart from few issu rais respond agre that their sms learn experi were great help and they general satisfi with the system  as implic the studi shed light on the potenti of sms learn as an effect and innov paradigm in pedagogi particular in distanc educ environ
598,this metaanalysis has two aims a to address the main effects of social constructivist mobile learning environments on learners knowledge acquisition and their academic achievements b to address potential factors regarding design principles and instructional methods for successful social constructivist mobile environments in a blended learning context we selected 24 articles that meet the inclusion criteria empirical studies implementing mobile learning in a blended environment using social constructivism approach the selected studies are not identical in terms of instructional strategies tools and devices period and students expertise level these factors lead to variations in the magnitude of the effect sizes the review reveals that there is a positive effect of mobile learning on the knowledge acquisition learners achievements attitudes and motivation despite the high cognitive load this is shown through the combined effect size a last remarkable finding related to retention is that students in such environments fulfill their academic tests but remember less the acquired knowledge after a retention period,this metaanalysi has two aim a to address the main effect of social constructivist mobil learn environ on learner knowledg acquisit and their academ achiev b to address potenti factor regard design principl and instruct method for success social constructivist mobil environ in a blend learn context we select 24 articl that meet the inclus criteria empir studi implement mobil learn in a blend environ use social constructiv approach the select studi are not ident in term of instruct strategi tool and devic period and student expertis level these factor lead to variat in the magnitud of the effect size the review reveal that there is a posit effect of mobil learn on the knowledg acquisit learner achiev attitud and motiv despit the high cognit load this is shown through the combin effect size a last remark find relat to retent is that student in such environ fulfil their academ test but rememb less the acquir knowledg after a retent period
604,smart devices applications can assist young children in improving their learning capabilities and comprehension skills however most of learning applications are built without taking into consideration the effective needs and background of arab users they are somehow incompatible with their local environment and culture we propose in this paper a mobilebased educational system that displays illustrations automatically to characterize the content of children stories on animal domain and we use some intelligent technique to answer users questions using an educational ontology the generation of illustrations passes through different phases which include text processing extraction of wordtoword relationships building and accessing an ontology and using internet search engines for retrieval of complimentary information the system can be used also by instructors to teach the children in a nonconventional manner they can customize semantically the structure of the questions and determine how the answers will be displayed in order to customize questions and answers we have defined a semantic infrastructure to define the logic of terms and the workflow of answers the aim of our system is to improve the children educational skills to grasp vocabulary and grammar using multimedia with a portable smart device which includes observation comprehension realization and deduction children will then be able to continue learning outside the limited time of their schools and from any location,smart devic applic can assist young children in improv their learn capabl and comprehens skill howev most of learn applic are built without take into consider the effect need and background of arab user they are somehow incompat with their local environ and cultur we propos in this paper a mobilebas educ system that display illustr automat to character the content of children stori on anim domain and we use some intellig techniqu to answer user question use an educ ontolog the generat of illustr pass through differ phase which includ text process extract of wordtoword relationship build and access an ontolog and use internet search engin for retriev of complimentari inform the system can be use also by instructor to teach the children in a nonconvent manner they can custom semant the structur of the question and determin how the answer will be display in order to custom question and answer we have defin a semant infrastructur to defin the logic of term and the workflow of answer the aim of our system is to improv the children educ skill to grasp vocabulari and grammar use multimedia with a portabl smart devic which includ observ comprehens realize and deduct children will then be abl to continu learn outsid the limit time of their school and from ani locat
618,teacher ability to arrange learning environmet will affect the students interest in learning as well in utilizing mobile technology the purpose of this research is to develop mobile learning using the cooperative learning approach especially jigsaw technique the method of this research is development research using addie analysis design development implementation and evaluation model the application was validated by experts for technical aspects and also students from two different grades ie grade vii and grade viii on physics subject for application acceptance responses the result showed that both technically and application acceptance were in good level it means that this mobile cooperative learning application can used to enhance students learning interest,teacher abil to arrang learn environmet will affect the student interest in learn as well in util mobil technolog the purpos of this research is to develop mobil learn use the cooper learn approach especi jigsaw techniqu the method of this research is develop research use addi analysi design develop implement and evalu model the applic was valid by expert for technic aspect and also student from two differ grade ie grade vii and grade viii on physic subject for applic accept respons the result show that both technic and applic accept were in good level it mean that this mobil cooper learn applic can use to enhanc student learn interest
629,the potential of mobile phones to facilitate students science learning when they are engaging in group activities was investigated to minimize the disciplinary issues emerged from the previous research on mobile devices and to enhance the quality of learning a set of mobile phones that are connected to a private network was used the lesson planning and implementation through these mobile phones were facilitated by a web based application a purposively selected group of teachers developed three lessons while integrating mobile phones in a private network into learning activities then the lessons were implemented in real classroom settings this paper is based on one of the lessons ‘waves and their characteristics that was implemented for grade 11 students the data were collected through observations using audio video and field notes and were analyzed using thematic analysis technique with the help of nvivo10 qualitative data analysis software based on the thematic analysis two assertions were derived notably teachers appreciated the support of the private network in enhancing the quality of group learning activity while minimizing the students misuse of mobile phones,the potenti of mobil phone to facilit student scienc learn when they are engag in group activ was investig to minim the disciplinari issu emerg from the previous research on mobil devic and to enhanc the qualiti of learn a set of mobil phone that are connect to a privat network was use the lesson plan and implement through these mobil phone were facilit by a web base applic a purpos select group of teacher develop three lesson while integr mobil phone in a privat network into learn activ then the lesson were implement in real classroom set this paper is base on one of the lesson wave and their characterist that was implement for grade 11 student the data were collect through observ use audio video and field note and were analyz use themat analysi techniqu with the help of nvivo10 qualit data analysi softwar base on the themat analysi two assert were deriv notabl teacher appreci the support of the privat network in enhanc the qualiti of group learn activ while minim the student misus of mobil phone
649,in facing the industrial era 40 the instructional paradigm requires the involvement of technology in it the use of technology in instructional is sometimes regarded as a medium or tool for delivering information through technology from lecturers to students without considering the learning process of students with technology that makes learning outcomes more meaningful meanwhile instructional media such as mobile learning applications through android is a type of mobile learning that can change the way students communicate and interact the use of mobile learning applications through android is adjusted to the characteristics of students and learning needs in the industrial era 40 this study resulted in an androidbased mobile learning application so that through product effectiveness the concept of the conceptual model of mobile learning was obtained in the industrial era 40 for learning in college the research method used is the development research of william w lee and diana l owens the results showed that the mobile learning application influenced student academic achievement so that the conceptual model of mobile learning was obtained in the industrial era 40 for learning in college this study concludes that mobile learning applications encourage students in fun learning activities and place students as the main subject in learning so learning becomes meaningful,in face the industri era 40 the instruct paradigm requir the involv of technolog in it the use of technolog in instruct is sometim regard as a medium or tool for deliv inform through technolog from lectur to student without consid the learn process of student with technolog that make learn outcom more meaning meanwhil instruct media such as mobil learn applic through android is a type of mobil learn that can chang the way student communic and interact the use of mobil learn applic through android is adjust to the characterist of student and learn need in the industri era 40 this studi result in an androidbas mobil learn applic so that through product effect the concept of the conceptu model of mobil learn was obtain in the industri era 40 for learn in colleg the research method use is the develop research of william w lee and diana l owen the result show that the mobil learn applic influenc student academ achiev so that the conceptu model of mobil learn was obtain in the industri era 40 for learn in colleg this studi conclud that mobil learn applic encourag student in fun learn activ and place student as the main subject in learn so learn becom meaning
683,in web 30 semantic data gives machines the ability to understand and process data resource description framework rdf is the liagna franca of semantic web while big data handles the problematic of storing and processing massive data it still does not provide a support for rdf data in this paper we present a new big data semantic web comprised of a classical big data system with a semantic layer as a proof of concept of our approach we use mobilelearning as a case study the architecture we propose is composed of two main parts a knowledge server and an adaptation model the knowledge server allows trainers and business experts to represent their expertise using business rules and ontology to ensure heterogeneous knowledge then in a mobility environment the knowledge server makes it possible to take into account the constraints of the environment and the user constraints thanks to the rdf exchange format the adaptation model based on rdf graphs corresponds to combinatorial optimization algorithms whose objective is to propose to the learner a relevant combination of learning object based on its contextual constraints our solution guarantees scalability and high data availability through the use of the principle of replication the results obtained in the system evaluation experiments on a large number of servers show the efficiency scalability and robustness of our system if the amount of data processed is very large,in web 30 semant data give machin the abil to understand and process data resourc descript framework rdf is the liagna franca of semant web while big data handl the problemat of store and process massiv data it still doe not provid a support for rdf data in this paper we present a new big data semant web compris of a classic big data system with a semant layer as a proof of concept of our approach we use mobilelearn as a case studi the architectur we propos is compos of two main part a knowledg server and an adapt model the knowledg server allow trainer and busi expert to repres their expertis use busi rule and ontolog to ensur heterogen knowledg then in a mobil environ the knowledg server make it possibl to take into account the constraint of the environ and the user constraint thank to the rdf exchang format the adapt model base on rdf graph correspond to combinatori optim algorithm whose object is to propos to the learner a relev combin of learn object base on it contextu constraint our solut guarante scalabl and high data avail through the use of the principl of replic the result obtain in the system evalu experi on a larg number of server show the effici scalabl and robust of our system if the amount of data process is veri larg
690,this study aims to determine the effectiveness of mobile learning based android in learning vocabulary at the seventhgrade students of smp batara gowa this type of research is preexperimental the research design used was preexperimental design namely one group pretest posttest design the populations in this study were all seventhgrade students of smp batara gowa and the sample was class vii1 as the experimental class which was chosen by using purposive sampling the results of the data analysis show that the mean score of posttest 7055 was higher than the mean score of pretest 3465 the result of the ttest was 30117 and ttable 2093 it could be indicated that the null hypothesis h0 was rejected and the alternative hypothesis h1 was accepted based on the effectiveness criteria generally using mobile learning based android was effective in learning vocabulary at the seventhgrade students of smp batara gowa,this studi aim to determin the effect of mobil learn base android in learn vocabulari at the seventhgrad student of smp batara gowa this type of research is preexperiment the research design use was preexperiment design name one group pretest posttest design the popul in this studi were all seventhgrad student of smp batara gowa and the sampl was class vii1 as the experiment class which was chosen by use purpos sampl the result of the data analysi show that the mean score of posttest 7055 was higher than the mean score of pretest 3465 the result of the ttest was 30117 and ttabl 2093 it could be indic that the null hypothesi h0 was reject and the altern hypothesi h1 was accept base on the effect criteria general use mobil learn base android was effect in learn vocabulari at the seventhgrad student of smp batara gowa
708,there is a widespread use of internet technology in the present times because of which universities are making investments in mobile learning to augment their position in the face of extensive competition and also to enhance their students learning experience and efficiency nonetheless mobile learning platform are only going to be successful when students show acceptance and adoption of this technology our literature review indicates that very few studies have been carried out to show how university students accept and employ mobile learning platform in addition it is asserted that behavioral models of technology acceptance are not equally applied in different cultures the purpose of this study is to develop an extension of technology acceptance model tam by including four more constructs namely content quality service quality information quality and quality of the system this is proposed to make it more relevant for the developing countries like the united arab emirates uae an online survey was carried out to obtain the data a total of 221 students from the uae took part in this survey structural equation modeling was used to determine and test the measurement and structural model data analysis was carried out which showed that ten out of a total of 12 hypotheses are supported this shows that there is support for the applicability of the extended tam in the uae these outcomes suggest that mobile learning platform should be considered by the policymakers and education developers as being not only a technological solution but also as being new elearning platform especially for distance learning students,there is a widespread use of internet technolog in the present time becaus of which univers are make invest in mobil learn to augment their posit in the face of extens competit and also to enhanc their student learn experi and effici nonetheless mobil learn platform are onli go to be success when student show accept and adopt of this technolog our literatur review indic that veri few studi have been carri out to show how univers student accept and employ mobil learn platform in addit it is assert that behavior model of technolog accept are not equal appli in differ cultur the purpos of this studi is to develop an extens of technolog accept model tam by includ four more construct name content qualiti servic qualiti inform qualiti and qualiti of the system this is propos to make it more relev for the develop countri like the unit arab emir uae an onlin survey was carri out to obtain the data a total of 221 student from the uae took part in this survey structur equat model was use to determin and test the measur and structur model data analysi was carri out which show that ten out of a total of 12 hypothes are support this show that there is support for the applic of the extend tam in the uae these outcom suggest that mobil learn platform should be consid by the policymak and educ develop as be not onli a technolog solut but also as be new elearn platform especi for distanc learn student
715,research indicates that mobile learning ml has the potential to transform teaching and learning despite its benefits mobile learning adoption is a challenging process which requires support to facilitate its integration the focus of this article is to investigate the factors that could affect ml acceptance the quantitative and qualitative data collected from the surveys revealed additional information regarding the pedagogical benefits of and obstacles to mobile learning integration even though participants in this study reported to be late adopters of technology they  maintained that ml is useful for learning specifically ubiquitous learning teachers also noted that mobile learning integration is more successful when aligned with local cultural norms  mobile learning tools that might be culturally appropriate in one context may not always be accepted in another  findings of this study provide several implications and recommendations for future research on mobile learning implementation further research could explore the development and utilization of a rubric with specific criteria for evaluating mobile learning applictations,research indic that mobil learn ml has the potenti to transform teach and learn despit it benefit mobil learn adopt is a challeng process which requir support to facilit it integr the focus of this articl is to investig the factor that could affect ml accept the quantit and qualit data collect from the survey reveal addit inform regard the pedagog benefit of and obstacl to mobil learn integr even though particip in this studi report to be late adopt of technolog they  maintain that ml is use for learn specif ubiquit learn teacher also note that mobil learn integr is more success when align with local cultur norms  mobil learn tool that might be cultur appropri in one context may not alway be accept in another  find of this studi provid sever implic and recommend for futur research on mobil learn implement further research could explor the develop and util of a rubric with specif criteria for evalu mobil learn applict
727,welding is an introductory core subject that is taught in every mechanical engineering programs at all polytechnics in malaysia normally students will learn the theoretical concepts of welding in the class followed by instruction based training in the workshop   however students have difficulty to follow everything that has been taught in the class in a limited time welding is dangerous for beginners and the welding environments are harmful and injurious to the health in this paper we introduce mobile arc welding learning mawl app a new approach for learning arc welding that incorporates mobile technology and enhanced with augmented reality ar the aim of this app is to enhance the contents used in arc welding learning materials used in the conventional learning by visualizing the information through the use of text images videos and 3d models the mawl app covers topics related to safety in welding components of welding and steps in welding the students can use the app to learn about welding on their own anytime and anywhere the potential of using the mawl app for welding learning among the polytechnic students has been investigated specifically focusing on ease of use learnability satisfaction usefulness motivation and engagement the results of the evaluation indicate that the users strongly agreed on ease of use learnability satisfaction usefulness and motivation while they agreed on engagement these prove that the mawl app has the potential to contribute to students welding learning through interactive and accessible information that satisfies them,weld is an introductori core subject that is taught in everi mechan engin program at all polytechn in malaysia normal student will learn the theoret concept of weld in the class follow by instruct base train in the workshop   howev student have difficulti to follow everyth that has been taught in the class in a limit time weld is danger for beginn and the weld environ are harm and injuri to the health in this paper we introduc mobil arc weld learn mawl app a new approach for learn arc weld that incorpor mobil technolog and enhanc with augment realiti ar the aim of this app is to enhanc the content use in arc weld learn materi use in the convent learn by visual the inform through the use of text imag video and 3d model the mawl app cover topic relat to safeti in weld compon of weld and step in weld the student can use the app to learn about weld on their own anytim and anywher the potenti of use the mawl app for weld learn among the polytechn student has been investig specif focus on eas of use learnabl satisfact use motiv and engag the result of the evalu indic that the user strong agre on eas of use learnabl satisfact use and motiv while they agre on engag these prove that the mawl app has the potenti to contribut to student weld learn through interact and access inform that satisfi them
746,this study was undertaken to address the need to modernize the modes of teaching and learning pedagogy by taking advantage of the proliferation of electronic gadgets and mobile devices since as counted there are more computers than the people in the world boren 2014 this research found out how learning in the new platform could be adopted by teachers and students in addition it tested the different variables involved in the use of mobile in learning by faculty and students of centro escolar university ceu to determine factors that made implementing technology a success or a failureto attain the set objectives this study made use of descriptive and inferential method to the data gathered from respondents via stratified random sampling specifically it employed frequency mean standard deviation ttest analysis of variance and multiple linear regressions for the treatment of data derived from the survey questionnaires to complete the triangulation approach and for consistency of findings observation and interview were also conductedsubsequently in order to determine adoption to mobile learning the modified unified theory of acceptance and use of technology utaut model was employed this model shows relationship of moderating variables which are age gender voluntariness of use and experience from independent variables like performance expectancy effort expectancy social influence facilitating conditions anxiety and selfefficacy after all the statistical treatments were applied anxiety selfefficacy effort expectancy performance expectancy and facilitating condition contribute to the success of the introduction of technology to the organization while social influence was excluded as the reasons why users adopt it,this studi was undertaken to address the need to modern the mode of teach and learn pedagogi by take advantag of the prolifer of electron gadget and mobil devic sinc as count there are more comput than the peopl in the world boren 2014 this research found out how learn in the new platform could be adopt by teacher and student in addit it test the differ variabl involv in the use of mobil in learn by faculti and student of centro escolar univers ceu to determin factor that made implement technolog a success or a failureto attain the set object this studi made use of descript and inferenti method to the data gather from respond via stratifi random sampl specif it employ frequenc mean standard deviat ttest analysi of varianc and multipl linear regress for the treatment of data deriv from the survey questionnair to complet the triangul approach and for consist of find observ and interview were also conductedsubsequ in order to determin adopt to mobil learn the modifi unifi theori of accept and use of technolog utaut model was employ this model show relationship of moder variabl which are age gender voluntari of use and experi from independ variabl like perform expect effort expect social influenc facilit condit anxieti and selfefficacy aft all the statist treatment were appli anxieti selfefficaci effort expect perform expect and facilit condit contribut to the success of the introduct of technolog to the organ while social influenc was exclud as the reason whi user adopt it
750,including users in design and development of an interactive product is crucial to achieve high level of usability content management systems have two categories of users content creators and content consumers and designers of these systems have to considers the needs of both user groups in design of interactive learning systems special attention has to be given to the process of learning which means that functional accessible and usable interface has to serve the purpose of knowledge acquisition designing for mobile learning brings additional challenges due to the small screens of mobile devices the paper describes the process of utilization of usercentred design in development of a simple content management system for learning called emasters the aim of the emasters is to enable teachers to easily create and organize courses which will be delivered to students to facilitate webbased and mobile learning according to the usercentred design approach teachers and students are involved in iterative process of design implementation and evaluation of emasters evaluation study used complementary methods and provided quantitative and qualitative feedback the usability score reached good level and the guidelines for redesign of the system interface are drown according to the obtained results proposed framework is confirmed to be applicable in usercentred design of content management systems in general in addition the directions for adjustment of the framework for specific cases are provided,includ user in design and develop of an interact product is crucial to achiev high level of usabl content manag system have two categori of user content creator and content consum and design of these system have to consid the need of both user group in design of interact learn system special attent has to be given to the process of learn which mean that function access and usabl interfac has to serv the purpos of knowledg acquisit design for mobil learn bring addit challeng due to the small screen of mobil devic the paper describ the process of util of usercentr design in develop of a simpl content manag system for learn call emast the aim of the emast is to enabl teacher to easili creat and organ cours which will be deliv to student to facilit webbas and mobil learn accord to the usercentr design approach teacher and student are involv in iter process of design implement and evalu of emast evalu studi use complementari method and provid quantit and qualit feedback the usabl score reach good level and the guidelin for redesign of the system interfac are drown accord to the obtain result propos framework is confirm to be applic in usercentr design of content manag system in general in addit the direct for adjust of the framework for specif case are provid
817,the use of mobile devices for language learning under the mobile assisted language learning mall has been found to motivate children to read digital print however parents need to be convinced of the benefits of this new technologyassisted learning method within a multilingual learning context a case study was conducted to propose a mall framework in which educators and parents created a shared meaningful learning environment to develop the childrens emergent multilingual literacy skills using mobile devices installed with interactive multilingual ebooks this paper reports the findings specifically on the parents attitude and motivation towards reading multilingual ebooks with their children a group of 25 multiethnic families together with their 5yearold children participated in this study a mixedmethod explanatory research design obtained parent's attitude and motivation from a questionnaire interview and feedback form the results show a high level of parents acceptance toward reading ebook with their children parents attributed their positive attitude and motivation towards mall to the use of the multimedia multilingual and mobile platform the mall framework was also found to encourage parents and other adults to scaffold the childrens multilingual skills development however there were also setbacks toward the use of ebook as some parents expressed a stronger preference for printed books and were concerned with health issues associated with the childrens ebook use areas for improvements and future research are also made in this paper,the use of mobil devic for languag learn under the mobil assist languag learn mall has been found to motiv children to read digit print howev parent need to be convinc of the benefit of this new technologyassist learn method within a multilingu learn context a case studi was conduct to propos a mall framework in which educ and parent creat a share meaning learn environ to develop the children emerg multilingu literaci skill use mobil devic instal with interact multilingual ebook this paper report the find specif on the parent attitud and motiv toward read multilingual ebooks with their children a group of 25 multiethn famili togeth with their 5yearold children particip in this studi a mixedmethod explanatori research design obtain parent attitud and motiv from a questionnair interview and feedback form the result show a high level of parent accept toward read ebook with their children parent attribut their posit attitud and motiv toward mall to the use of the multimedia multilingu and mobil platform the mall framework was also found to encourag parent and other adult to scaffold the children multilingu skill develop howev there were also setback toward the use of ebook as some parent express a stronger prefer for print book and were concern with health issu associ with the children ebook use area for improv and futur research are also made in this paper
