,,0
304,4, ims ld
305,0,mobile laboratories
305,1, analog asic
305,2, data acquisition
305,3, labview
305,4, remote engineering
305,5, remote laboratories
305,6, tele-learning
305,7, virtual instruments
306,0,mobile learning
306,1, mobile devices and technology
306,2, education innovation
306,3, university eeducation
307,0,mobile devices market
307,1, mobile web
307,2, mobile applications development
307,3, m-learning.
307,4,
308,0,mobile computing
308,1, industrial applications
308,2, mobile measurement technologies
308,3, services for mobile networks
309,0,mental models
309,1, ubiquitous interactivity
309,2, visual tags
309,3, social computing
309,4, hci
309,5, evaluation
309,6, input devices
309,7, mobile interaction
310,0,mobile learning
310,1, remote labs
310,2, engineering education
310,3, j2me
311,0,celtel-nigeria
311,1, m-learning-nigeria
311,2, mobile service providers-nigeria
311,3, mtn-nigeria
312,0,education
312,1, mobile technology
312,2, handhelds
312,3, global connections
313,0,engineering education
313,1, e-portfolios
313,2, mobile learning
313,3, remote laboratories
313,4, tele-operated laboratories
314,0,mooc
314,1, mobiles for development
314,2, mooc consortia
314,3, mobile ecosystem
314,4, m-learning
315,0,mobile learning
315,1, attitudes
315,2, higher education
315,3, gulf region
316,0,computer aided instruction
316,1, computer aided assessment
316,2, electronic learning
317,0,congestion control
317,1, voip
317,2, captcha
317,3, fairness
317,4, convergence speed
318,0,mobile learning
318,1, mobile devices
318,2, scientific work
318,3, evernote
319,0,learning
319,1, autism
319,2, mobile-based application
319,3, smart mobile phones
319,4, non-verbal.
319,5,
320,0,context-aware computing
320,1, bluetooth
320,2, wi-fi
320,3, proximity
320,4, social networks
320,5, data mining.
320,6,
321,0,mms
321,1, mobile telemedicine system
321,2, multimedia message
321,3, streaming
322,0,real-time augmented reality
322,1, 4d augmented reality
322,2, real-time mobile geo-app
323,0,online learning videos
323,1, massive open online course
323,2, mooc
323,3, video production
323,4, e-learning
324,0,disaster training
324,1, smartphone applications
324,2, ict
325,0,mobile telecommunications
325,1, self-organizing map
325,2, customer segmentation
326,0,m-learning
326,1, mobile application
326,2, e-learning
326,3, social networking sites
327,0,mobile learning security
327,1, m-learning security
327,2, security threats
328,0,music performance
328,1, scales and acoustics
328,2, mobile devices
328,3, music informatics
329,0,location-based scavenger hunt
329,1, mobile learning
329,2, gamification
330,0,usability
330,1, user experience
330,2, user-centered design
330,3, mobile learning
331,0,m-learning
331,1, mobile technology
332,0,mobile learning
332,1, e-learning
332,2, multimedia
332,3, ebook
332,4, gamebook
332,5, ibooks
332,6, epub3
333,0,mathematics education
333,1, mobile applications
333,2, mobile learning
333,3, online applications
333,4, 
333,5,
334,0,app development
334,1, learning process
334,2, mobile documentation
334,3, mobile learning
334,4, sloyd
335,0,wireless internet
335,1, obstacles
335,2, students
335,3, learning
335,4, the university of jordan
336,0,esience
336,1, ilab
336,2, onlinelab
336,3, measurement
336,4, real time
336,5, online labs
336,6, fpga
336,7, elvis.
336,8,
337,0,online lab
337,1, pid controller
337,2, temperature system
338,0,didalab-toolkit
338,1, e-course
338,2, labview
338,3, moodle-platform
338,4, optoelectronic
338,5, remote laboratory
338,6, uc1-ilab
339,0,laboratory experiments
339,1, remote labs
339,2, reuse of remote labs
339,3, engineering education
340,0,elearning
340,1, isa
340,2, labview
340,3, oscillator experiment
340,4, remote laboratories.
340,5,
341,0,esience project
341,1, heat exchanger
341,2, maghreb
341,3, remote lab
341,4, 
341,5,
342,0,blended learning
342,1, mobile learning
342,2, technology adoption
343,0,mobile phone in classroom
343,1, multitasking
343,2, impact on students learning
343,3, mobile phone actions in classroom.
343,4,
344,0,mobile learning
344,1, mobile language learning
344,2, mobile learning application
345,0,agent assisted banking
345,1, electronic banking
345,2, mobile banking
345,3, secured banking
346,0,smartphones
346,1, addiction
346,2, human behavior
346,3, technology social factors.
346,4,
347,0,telehomecare
347,1, inter-agent communication
347,2, electronic medical record
347,3, information and communication technologies
347,4, 
347,5,
348,0,visually impared
348,1, educational
348,2, audio books
348,3, portal
348,4, vui
348,5, 
348,6,
349,0,genetic algorithm
349,1, crossover
349,2, mutation
349,3, tsp
350,0,java programming
350,1, mobile learning
350,2, mobile teaching
350,3, serious gaming
351,0,healthcare
351,1, individual factors
351,2, rural area
351,3, saudi arabia
351,4, smartphone
351,5, tam.
351,6,
352,0,mobile learning
352,1, english language
352,2, grammar
352,3, learning styles
352,4, fslsm
352,5, instructional system design
352,6, isd
352,7, addie
352,8, higher learning institutions
352,9, graduates
352,10, malaysia
353,0,computerized observation
353,1, data collection
353,2, observation systems
353,3, mobile devices
353,4, computer-assisted direct observation programs
354,0,wsns
354,1, network efficiency
354,2, power consumption
354,3, routing protocol
354,4, energy aware routing path
355,0,arabic speech recognition
355,1, automated speech recognition (asr)
355,2, mobile application
355,3, mobile learning
355,4, say quran
356,0,brand awareness
356,1, e-commerce
356,2, europe internet shopping
356,3, e-business.
356,4,
357,0,liquid spheres
357,1, operative systems
357,2, privacy
357,3, terms and conditions
357,4, smartphones
358,0,game-based learning
358,1, gamification
358,2, mobile learning
358,3, motivation
358,4, university education
359,0,augmented reality
359,1, mobile computing
359,2, human computer interaction
360,0,augmented reality
360,1, framework
360,2, android
360,3, software evaluation
361,0,mobile learning (m-learning)
361,1, electronic learning (e-learning)
361,2, mobile wireless
361,3, students perceptions.
361,4,
362,0,dijkstras shortest path algorithm
362,1, mobile devices
362,2, mobile user interface
362,3, small screen interface
362,4, user satisfaction
363,0,augmented reality
363,1, lean manufacturing
363,2, mobile device and muda (waste)
363,3,
364,0,orthogonal frequency division multiplexing
364,1, peak-to-average power ratio
364,2, discrete wavelet transform
364,3, entropy
364,4, multiple-input multiple-output
365,0,middle school
365,1, mobile phone
365,2, mathematics teachers
365,3, teachers' attitudes
365,4, teachers' decisions
366,0,educational programs
366,1, educational technology
366,2, physics education
366,3, sensors
366,4, 
366,5,
367,0,context engine
367,1, context-aware services
367,2, mobile computing
367,3, semantic computing
368,0,e-reader devices
368,1, amazon kindle
368,2, mobile assisted english language learning
368,3, m3 evaluation framework
369,0,computer network
369,1, dijkstras shortest path algorithm
369,2, mobile devices
369,3, perception
369,4, small screen interface
370,0,smartphone augmented reality
370,1, solar observation
370,2, solar diurnal motion
370,3, 3d content.
370,4,
371,0,mobile learning
371,1, attitudes
371,2, faculty
371,3, universities
372,0,environmental monitoring
372,1, mobile technology
372,2, apps
372,3, sensors
372,4, mobile phones
373,0,web technologies
373,1, field trip
373,2, pervasive environment
373,3, mobile learning scenario
373,4, collaborative process integration
373,5, geographic orchestration
373,6, emerging technologies
374,0,cooking recipe recommendation
374,1, food ingredients
374,2, object recognition
374,3, smartphone application
375,0,social networks
375,1, digital communication
375,2, emarketing.
375,3,
376,0,mobile media
376,1, mobile ecosystem
376,2, app
376,3, tourism
376,4, destination branding
377,0,conductive
377,1, elearning
377,2, game based learning
377,3, card
377,4, mobile learning
377,5, 
377,6,
378,0,mobile applications and services
378,1, m-learning
378,2, android os
378,3, educational services
378,4, web services
378,5, software development
379,0,usability
379,1, qt
379,2, engineering education
379,3, mobile learning
380,0,smartphone augmented reality
380,1, lunar observation
380,2, lunar phase
380,3, astronomy education
381,0,android application
381,1, fourier series expansions
381,2, undergraduate electrical engineering education
382,0,classroom response systems
382,1, audience response systems
382,2, live feedback
382,3, large audiences
383,0,m-learning
383,1, tablets
383,2, social constructive learning.
383,3,
384,0,sustainability
384,1, mobile learning
384,2, smartphones
384,3, outdoor learning
384,4, experiential learning
384,5, extramural learning
385,0,mobile services
385,1, personalization
385,2, privacy
385,3, user control
385,4, user model
386,0,deep learning
386,1, mobile devices
386,2, mobile learning
386,3, mobile lecturing
386,4, lecture vodcast
387,0,mobile web apps
387,1, native apps
387,2, html5
387,3, responsive web design
387,4, ict4d
388,0,domotic
388,1, home
388,2, automation
388,3, mobile
389,0,internet of things
389,1, mhealth
389,2, nfc
389,3, qr codes.
389,4,
390,0,mobile tagging
390,1, nfc
390,2, qr-code
390,3, technology enhanced learning
391,0,m-learning
391,1, inferential statistics
391,2, learning objects.
391,3,
392,0,high school
392,1, student engagement
392,2, mobile devices
392,3, teacher professional development
393,0,digital society
393,1, health awareness
393,2, ict for development
393,3, mobile application
394,0,situated simulation
394,1, reliability
394,2, media aesthetics
394,3, visualizing uncertainty
394,4, interpretation
394,5, digital reconstruction
395,0,the unified theory of acceptance and use of technology (utaut)
395,1, website-service quality
395,2, performance expectancy (pe)
395,3, effort expectancy (ee)
395,4, social influence (si) and facilitating condition (fc).
395,5,
396,0,virtual laboratory
396,1, wireless communications
396,2, sensor networks
397,0,collaborative planning
397,1, healthcare task modelling
397,2, mobile application
397,3, synchronous/asynchronous interaction
398,0,mimo
398,1, ofdm
398,2, peak-to-average power ratio
398,3, wavelet
398,4, eigen vectors component.
398,5,
399,0,decision support
399,1, e-learning
399,2, mobile
399,3, pda
399,4, smartphone
400,0,nfc
400,1, rfid
400,2, mifare
401,0,blended learning
401,1, handover
401,2, hand-off
401,3, hands-on laboratory
401,4, m-learning
401,5, 3g
401,6, gsm
402,0,cscw
402,1, mcscw
402,2, groupware
402,3, software development frameworks
402,4, mobile applications
403,0,mobile assisted language learning (mall)
403,1, mobile learning
403,2, m-learning
403,3, seamless learning
403,4, task-based learning
404,0,e-commerce
404,1, m-payment
404,2, transfer
404,3, money
404,4, m-wallet
404,5, mobile phone
405,0,adaptation
405,1, content
405,2, context
405,3, mobile learning
406,0,mobile phone
406,1, mobile phone usage
406,2, students' attitudes
406,3, 
406,4,
407,0,ber
407,1, demodulator
407,2, eye pattern
407,3, matlab
407,4, modulator
407,5, qpsk.
407,6,
408,0,mobile notification
408,1, social network service (sns)
408,2, field study
408,3, user experience
409,0,learning support ict devices
409,1, m-learning
409,2, ipad
409,3, iphone
409,4, ios
409,5, tablet pc
410,0,sign language
410,1, wireless j2me
410,2, java wireless communication technologies
410,3, jsf
410,4, jsp
410,5, jms
410,6, svg
410,7, j2se
410,8, client
410,9, server
410,10, handheld system
410,11, mobile system
410,12, tcp/ip
410,13, video streaming
410,14, adobe after effects
410,15, http connectivity
411,0,mobile portal
411,1, wap
411,2, pharmaceutical servies
411,3, smart-phones
412,0,apple
412,1, api
412,2, ruby on rails
412,3, objective c
413,0,remote lab
413,1, remote control
413,2, mobile technologies
413,3, solar boilers
414,0,mobile applications and services
414,1, computer networks
414,2, mobile telephony
414,3, educational applications
414,4, e-learning
414,5, m-learning.
414,6,
415,0,classroom
415,1, mobile
415,2, learning
415,3, persuasion
416,0,agent
416,1, mobile-government
416,2, content adaptation
416,3, e-government
416,4, mediation
417,0,e-learning
417,1, system flexibility
417,2, utaut
417,3, web based training.
417,4,
418,0,mobile technologies
418,1, mobile phones
418,2, informal learning
418,3, curriculum
419,0,driver riskometer
419,1, driver distraction
419,2, risk assessment
419,3, cell phones
419,4, motion classifier
420,0,nfc-based payment
420,1, transaction protocol
420,2, mobile payment
420,3, secure protocol
421,0,internet of things
421,1, internet of content
421,2, smart home
421,3, smart hospital
421,4, smart city
421,5, service interoperability
421,6, service connectivity
421,7, dependable services
422,0,mobile application
422,1, muscial application
423,0,open access lab
423,1, field measurements experiments
423,2, broadband wireless
423,3, wimax
423,4, path loss
423,5, propagation models
423,6, and throughput
424,0,social networks
424,1, mobile social networks
424,2, rdf
425,0,remote experimentation
425,1, education
425,2, mobile devices
425,3, moodle
425,4, 3d virtual environment
425,5, open source
425,6, open hardware
426,0,mobile learning design
426,1, mobile collaborative learning objects
426,2, collaborative learning
426,3, informal learning.
426,4,
427,0,mobile tracking
427,1, architecture
427,2, software algorithms
427,3, server performance study
427,4, pilot test
427,5, elderly feedback
428,0,augmented reality
428,1, situated simulations
428,2, situated learning
428,3, interdisciplinarity
429,0,wi-fi
429,1, proximity
429,2, context-aware
429,3, indoor positioning.
429,4,
430,0,multi-agent
430,1, multi-dimensional rating
430,2, pro-activity
430,3, recommender system
431,0,electronic learning
431,1, mobile computing
431,2, statistics.
431,3,
432,0,bandwidth
432,1, performance
432,2, wireless mesh network
432,3, control packet
432,4, cloud
433,0,constraints violation
433,1, mobile database
433,2, mobile database model
433,3, object data model
434,0,mobile media
434,1, mobile content
434,2, mobile applications
434,3, mobile news
434,4, mobile advertising
434,5, mobile books
434,6, mobile music
434,7, mobile television
434,8, mobile games
435,0,educational games
435,1, usability evaluation
435,2, user testing
435,3, chemistry
436,0,distributed information systems
436,1, computer applications
436,2, mobile communication and software
436,3, context-aware
437,0,activity's characteristics
437,1, mobile phone
437,2, technological environment
437,3, students' emotions
437,4, affect aspect
438,0,eaccessibility
438,1, mobile accessibility
438,2, assistive technology
438,3, e-accessibility standards
438,4, design for all
439,0,digital communication
439,1, digital marketing
439,2, on-line community
439,3, social media
440,0,m-learning
440,1, students of medicine
440,2, graduates of medicine
440,3, medical english
440,4, e-learning
441,0,multimedia message
441,1, message size
441,2, mms
441,3, client-server application
442,0,mobile collaborative learning (mcl)
442,1, mobile devices
442,2, server side architecture
442,3, client side  protocol
442,4, group application
442,5, cache server.
442,6,
443,0,accessibility
443,1, assistive technologies
443,2, scenarios
443,3, trends
444,0,mobile devices
444,1, science
444,2, information technology
444,3, development
445,0,mobile learning
445,1, mobile collaborative learning
445,2, usability test
445,3, usability factors
445,4, 
445,5,
446,0,mobile devices
446,1, game theory
446,2, gaming in education
446,3, vocabulary
447,0,m-learning
447,1, context-awareness
447,2, personalized learning
447,3, open learner modeling
448,0,higher education
448,1, mobile learning
448,2, perfomance-centered learning
448,3, technology enhanced learning.
448,4,
449,0,m-learning
449,1, bci
449,2, semiotic
450,0,electronic tourist guide
450,1, mobile tourist guide
450,2, semantic web technology
450,3, tourist information system
450,4, tourist application.
450,5,
451,0,braille
451,1, android
451,2, keyboard
451,3, mobile application
451,4, accessibility
451,5, blindness
451,6, visual impairment
452,0,mobile wireless sensor networks
452,1, unmanned aerial vehicles
452,2, sink platform
452,3, data analysis
453,0,google apps
453,1, impact
453,2, higher education
453,3, oman.
453,4,
454,0,aphasia
454,1, mobile tablet
454,2, recovery
454,3, stroke
455,0,cloud computing
455,1, mobile applications
455,2, cloud based applications
455,3, mobile learning and mobile commerce
456,0,internet of everything
456,1, emerging technologies
456,2, mobile technology
456,3, remote and virtual laboratories
457,0,educational application
457,1, english language learning
457,2, speaking skills
457,3, virsbud.
457,4,
458,0,email
458,1, spam detection
458,2, sender score
458,3, reputation system
458,4, blockchain
458,5, mobile application
458,6, marketing email
459,0,aes
459,1, md5
459,2, social media
459,3, chatting
459,4, end-to-end security
460,0,usability
460,1, mobile learning
460,2, culturally appropriate design
461,0,mobile application
461,1, culinary
461,2, gdss
461,3, topsis
462,0,iot solutions
462,1, rfid
462,2, classification
462,3, smart systems
462,4, platforms
462,5, middleware
462,6, data-flow
463,0,mobile apps
463,1, smart devices
463,2, learning activities
463,3, mobile supported education
464,0,fingerprint
464,1, authentication
464,2, sdk
464,3, interoperability
464,4, biometrics.
464,5,
465,0,internet of things (iot)
465,1, nodemcu
465,2, office automation
466,0,game-based learning
466,1, problem solving
467,0,m-learning
467,1, local wisdom
467,2, learning media
467,3, vector representation
467,4, diagram representation
468,0,internet of things
468,1, cloud computing
468,2, communication security
468,3, smart devices
468,4, wireless communications
469,0,deep learning
469,1, knowledge management
469,2, video classification
470,0,mobile technology
470,1, applications
470,2, autistic spectrum disorders
470,3, emotions
470,4, emotional intelligence
471,0,research
471,1, research activity
471,2, process
471,3, information and communication technology
471,4, learning and methodical complex
472,0,education
472,1, e-learning
472,2, facebook
472,3, social networks
472,4, web 2.0
472,5, learning management system (lms)
472,6, communication
473,0,usability
473,1, evaluation
473,2, force touch
473,3, touch based user interface
473,4, universal design
473,5, smartphones
474,0,informal learning
474,1, learning communities
474,2, mobile learning
474,3, smartphones
475,0,quality assessment
475,1, technical criteria
475,2, spoc
475,3, mobile app
475,4, iso standards.
475,5,
476,0,tablet
476,1, primary levels
476,2, thailand
477,0,mhealth
477,1, pregnancy
477,2, healthcare informatics
477,3, physical activity
477,4, wearable sensors
478,0,discriminant analysis
478,1, sms advertising
478,2, infotainment
479,0,digital learning
479,1, game-based learning
479,2, video games
479,3, mobile devices
479,4, degree of competence
479,5, flic buttons
480,0,students
480,1, mobile phone usage
480,2, m-learning readiness
480,3, m-learning adoption
481,0,mobile learning
481,1, technology readiness
481,2, auto mechanic education
482,0,adaptive learning
482,1, m-learning
482,2, learning style
482,3, shortest path
483,0,self-efficacy
483,1, online learning
483,2, theory of planned behaviour
483,3, smart-phone application
484,0,mobile banking
484,1, utaut2
484,2, mass media
484,3, effort expectancy
484,4, jordan
485,0,sequential pattern mining (spm)
485,1, video
485,2, learning
485,3, most important/difficult learning topics (midlt)
485,4, mobile
486,0,moodle
486,1, learning management system
486,2, scale development
486,3, validity
486,4, reliability
487,0,smartphone
487,1, pisa
487,2, science
487,3, reading
487,4, logical reasoning
488,0,social media
488,1, learning
488,2, teaching
488,3, methodology
488,4, multimedia
489,0,cloud computing (cc)
489,1, mobile application
489,2, artificial intelligence (ai)
489,3, machine learning (ml)
489,4, mobile learning
489,5, australian higher education sector
490,0,mobile internet
490,1, teacher candidates
490,2, special education
491,0,m-learning
491,1, english as a foreign language
491,2, mobile-assisted language learning (mall)
491,3, user experience (ux)
491,4, normalization
491,5, online test
491,6, design
492,0,foreign language learning
492,1, telecollaboration
492,2, e-tandem learning
492,3, social networks
492,4, voip
493,0,user involvement
493,1, occupational therapy
493,2, health information technology
493,3, mobile healthcare application
494,0,notification
494,1, android smartphone
494,2, academic
494,3, announcement
495,0,deaf
495,1, healthy phone
495,2, user-centered design
495,3, emergency call
495,4, the iconography interface
495,5, 
495,6,
496,0,mobile application
496,1, online transportation application
496,2, fraud mitigation
497,0,educational mobile game
497,1, serious game
497,2, motivation
497,3, disturbance factor
497,4, game design
497,5, fractions
498,0,color-blindness
498,1, protanopia
498,2, duteranopia
498,3, tritanopia
498,4, daltonization
498,5, lms detonaization
498,6, lab color
498,7, opencv
498,8, android.
498,9,
499,0,blended learning
499,1, skype media
499,2, academic writing
499,3, mobile
499,4, faculty member
500,0,mobile augmented reality
500,1, ar
500,2, mobile learning
500,3, systematic review
500,4, augmented reality
500,5, mobile devices
501,0,mobile learning
501,1, effectiveness
501,2, design guidelines
501,3, english language learning
502,0,m-learning
502,1, mobile processing
502,2, development approach
502,3, mcda
502,4, comparative study
503,0,mobile technology
503,1, secondary education
503,2, literacy
503,3, mental health
504,0,ubiquitous commerce
504,1, ubiquitous computing
504,2, mobile commerce
504,3, technology
504,4, user experience
505,0,communication board
505,1, usability
505,2, user-centered design
505,3, deaf people
506,0,context-aware mobile application
506,1, tourism application
506,2, user-centered design
506,3, emotions
506,4, emotional engagement
507,0,user experience
507,1, stroke
507,2, communication board
507,3, activity of daily living
507,4, user center design
508,0,mobile technology
508,1, secondary education
508,2, high order thinking skills
508,3, special education
508,4, 
508,5,
509,0,pre hospital
509,1, mobile based application
509,2, road traffic accidents victims care
510,0,mobile applications
510,1, health dss
510,2, behavioral intentions
510,3, nursing staff
510,4, tam.
510,5,
511,0,gesture recognition
511,1, image processing
511,2, sign language
511,3, video processing.
511,4,
512,0,stem
512,1, mobile learning
512,2, mobile devices
512,3, education
513,0,handwriting recognition
513,1, convolutional neural network
513,2, multiplication table
513,3, learning
513,4, children
513,5, mobile learning
514,0,arabic
514,1, mobile learning
514,2, distance learning
514,3, mutawwif
514,4, mobile gadget
515,0,cancer
515,1, early detection
515,2, mobile learning
516,0,augmented reality
516,1, learning media
516,2, aurasma
516,3, daily prayer
517,0,mobile android
517,1, entrepreneurial characteristic
517,2, psychometric test
517,3, gamification
518,0,culinary recommendation
518,1, mobile application
518,2, ahp
518,3, ahp topsis
518,4, fuzzy ahp
519,0,mobile learning
519,1, technology readiness
519,2, innovation characteristics
519,3, innovation resistance
519,4, status quo bias
520,0,mobile application
520,1, indoor positioning system
520,2, k-nearest neighbor
520,3, rss fingerprint
521,0,cloud-based data center networks
521,1, structures of data center networks
521,2, network management
521,3, routing in data center networks.
521,4,
522,0,augmented reality
522,1, gyroscope
522,2, dewata nawa sanga
522,3, 3d object
523,0,mobile learning
523,1, dictionary
523,2, anggah - ungguhing
523,3, balinese languages
523,4, mother tongue
523,5, android
523,6, waterfall model
523,7, student response
524,0,lung cancer
524,1, cad
524,2, artificial intelligence
524,3, k-means
524,4, cnn and ct scan.
524,5,
525,0,mrom
525,1, manemo
525,2, ro
525,3, multihomed
525,4, handoff.
525,5,
526,0,mobile augmented reality
526,1, learning motivation
526,2, science experiment
526,3, marpex
527,0,viva voce
527,1, virtual reality
527,2, virtual coaching
527,3, avatar
527,4, anxiety.
527,5,
528,0,flood management
528,1, flood early warning system
528,2, decision support system
528,3, multi attribute decision making
529,0,gamification
529,1, japanese
529,2, halal
529,3, awareness
529,4, mobile application.
529,5,
530,0,websitese-commerce platform
530,1, information quality
530,2, interview
530,3, halal
530,4, e-commerce.
530,5,
531,0,marhime conceptual model
531,1, hearing impaired
531,2, mobile augmented reality
531,3, engagement
531,4, museum.
531,5,
532,0,systematic literature review
532,1, engagement element
532,2, mobile augmented reality
532,3, mobile app
533,0,mobile online shopping
533,1, consumers believe
533,2, consumer attitude
533,3, m-services.
533,4,
534,0,citizens satisfaction
534,1, m-commerce
534,2, intention to use
534,3, trust
534,4, ease of use.
534,5,
535,0,roadside units
535,1, cyberattacks
535,2, aodv
535,3, vanet
535,4, spam.
535,5,
536,0,blockchain
536,1, transactions
536,2, decentralized architecture
536,3, fake drugs
536,4, smart contract
536,5, ethereum.
536,6,
537,0,artificial intelligence
537,1, smartphones
537,2, mobile computing
537,3, data security
538,0,social media
538,1, public communication
538,2, political communication
539,0,marketing strategies
539,1, mobile marketing
539,2, social networks
539,3, bloggers
539,4, storytelling
539,5, marketing trends
539,6, influencers
539,7, interactivity
539,8, interaction
540,0,m-learning
540,1, perception
540,2, education
540,3, egypt
540,4, survey
541,0, the use of smartphones
541,1, smartphones in teaching
541,2, effects of smartphones
542,0,chc
542,1, cognitive abilities
542,2, context awareness
542,3, mobile cloud computing
542,4, visual-spatial skills
542,5, visual ability
542,6, visual classiﬁcation
543,0,mobile health apps
543,1, mobile computing
543,2, smartphoness
544,0,ad hoc
544,1, manets
544,2, aodv
544,3, dsr
544,4, node count
544,5, simulation
544,6, ns2
544,7, topology.
544,8,
545,0,website usability
545,1, website interactivity
545,2, engagement
545,3, health information quality
545,4, human computer interaction
546,0,evaluation
546,1, instruction process
546,2, cse-ucla
546,3, mobile technology
547,0,design quality
547,1, housing quality
547,2, information technology
547,3, mobile application.
547,4,
548,0,e-learning course
548,1, indoor environmental comfort in buildings
548,2, moodle
548,3, virtual labs
549,0,augmented reality
549,1, cognitive processes
549,2, direct manipulation
549,3, hand tracking
550,0,internet of things
550,1, legacy systems
550,2, manufacturing systems
551,0,industry 4.0
551,1, cyber-physical systems
551,2, enterprise-resource-planning
551,3, manufacturing execution system
552,0,energy conversion in vehicles
552,1, data processing and display
552,2, labview application tool
552,3, software tool for road tests
553,0,technology
553,1, agriculture
553,2, robot
553,3, data mining
554,0,project based learning
554,1, engineering education
554,2, mechatronics
554,3, remote control
554,4, mobile interfaces
555,0,networking of higher education institutions
555,1, network of remote laboratories
555,2, sharing online resources
556,0,environmental monitoring
556,1, instrumentation
556,2, internet of things
556,3, wireless sensor network
557,0,remote laboratory
557,1, automation
557,2, control
557,3, e-learning
557,4, programmable logic controller
557,5, structured text language
558,0,online experimentation
558,1, sustainability
558,2, social impact
558,3, online learning
558,4, online training
559,0,mobile technology
559,1, e-evaluation
559,2, higher education
559,3, oman.
559,4,
560,0,privacy concerns
560,1, purchase intention
560,2, theory of planned behavior
561,0,google glass
561,1, colorblindness
561,2, color vision deficiency
561,3, color perception
562,0,mobile healthcare application
562,1, non-prescription drugs
562,2, satisfaction
562,3, performance
562,4, reliability
563,0,android programming
563,1, context awareness
563,2, fuzzy classification
563,3, mobile applications
564,0,computer skills
564,1, context awareness
564,2, intelligent tutoring systems
564,3, its
564,4, mobile applications
564,5, scaffolding
564,6, technical skills
565,0,blended learning
565,1, evaluation
565,2, cipp
566,0,data compression
566,1, lempel-ziv-welch
566,2, remote laboratory
566,3, websockets
567,0,innovative
567,1, e-therapy service
567,2, design of mobile application
567,3, higher education
568,0,around device interaction (adi)
568,1, human-computer interaction (hci)
568,2, mobile devices
568,3, sensor-based interaction
569,0,wireless network
569,1, security
569,2, routing
569,3, key exchange
569,4, asymmetric authentication
569,5, manet
570,0,m-learning
570,1, mobile pedagogy
570,2, education digital tools
570,3, learning design
570,4, personalized learning
570,5, augmented reality
570,6, virtual reality
570,7, standards based instruction
570,8, computer assisted instruction
570,9, intelligent tutoring systems
570,10, 
570,11,
571,0,medication
571,1, mobile application
571,2, pharmacy
572,0,mobile ad hoc network
572,1, gateway load balancing
572,2, integrated internet manet
572,3, wlb-aodv
572,4, adaptive gateway discovery
572,5, genetic algorithm
572,6, hybrid framework
573,0,mobile app
573,1, mobile learning
573,2, islamic banking
573,3, islamic finance
573,4, instructional design model
574,0,android
574,1, privacy
574,2, awareness
574,3, security
575,0,geofencing
575,1, geotagging
576,0,disaster management
576,1, location based service
576,2, smartphone
576,3, volunteers
577,0,bluemix
577,1, fuel efficiency
577,2, gas station location
577,3, iot
577,4, monitoring
578,0,android
578,1, head mounted display
578,2, accelerometer
578,3, sensor
579,0,m-learning
579,1, distance education
579,2, e-learning
579,3, interactive learning environments
579,4, modeling
580,0,adaptive learning
580,1, dotnetrdf
580,2, graphs
580,3, mlearning
580,4, ontology
580,5, rdf
580,6, semantic web
580,7, shortest path
580,8, turtle
580,9, user profile..
580,10,
581,0,mobile learning
581,1, authentic learning
581,2, collaborative learning
581,3, basic science process skills
582,0,autism spectrum disorder
582,1, communication skill
582,2, immersion
582,3, social performance
582,4, virtual reality
583,0,malware
583,1, security
583,2, cloud environment
584,0,cloud computing
584,1, security issues
584,2, malware
584,3, static binary search
584,4, bmh
584,5, hadoop
585,0,information extraction
585,1, arabic language processing
585,2, classified ads
585,3, attribute based searching.
585,4,
586,0,dna steganography
586,1, hiding capacity
586,2, data hiding
586,3, data storage
587,0,dna computing
587,1, quantum computation
587,2, biocomputer
587,3, molecular computation.
587,4,
588,0,sentiment analysis
588,1, opinion mining
588,2, instagram
588,3, social value
588,4, aesthetics
589,0,keywords extraction
589,1, multimedia
589,2, ontology
589,3, special education.
589,4,
590,0,big data
590,1, cloud computing
590,2, analytics
591,0,cloud data storage and processing security
591,1, document key print
591,2, homomorphic encryption
591,3, qr codes
592,0,mobile learning
592,1, sms
592,2, distance education
592,3, perception
592,4, experience
592,5, malaysia
593,0,wireless sensor network
593,1, ieee 802.15.4
593,2, coastal environment
593,3, ocean observing systems
593,4, performance
594,0,manet
594,1, multi-hop
594,2, position-based
594,3, routing
594,4, topology_based.
594,5,
595,0,manets
595,1, dsr protocol
595,2, multipath
595,3, threshold
595,4, cross layer
595,5, broadcasting
596,0,children
596,1, mobile application for children
596,2, software engineering
596,3, child-computer interaction (cci)
596,4, mobile learning.
596,5,
597,0,mobile telemonitoring system
597,1, healthcare
597,2, web-based framework
597,3, wireless and mobile computing
597,4, telehealth
598,0,mobile learning
598,1, instructional approaches
598,2, pedagogical activities
598,3, social constructivism
598,4, collaborative learning
598,5, blended learning
598,6, meta-analysis
599,0,ict
599,1, intervention
599,2, asd
599,3, developmental disabilities
599,4, augmentative and alternative communication (aac)
599,5, computer assisted learning (cal)
599,6, computer assisted instruction (cai)
599,7, mobile technology
599,8, ipad
599,9, ipod
599,10, iphone
599,11, tablet
599,12, smartphone
599,13, children with autism
599,14, 
599,15,
600,0,m-learning
600,1, survey
600,2, mobile device
600,3, framework
601,0,computer aided education
601,1, thermo-optical plant
601,2, remote control
601,3, mobile application
602,0,body sensor networks
602,1, medical services
602,2, pervasive computing
602,3, ubiquitous computing.
602,4,
603,0,preschool education
