,article_title,keywords,publishing_date,abstract
208,on the development of a web-based m-learning system for dual screen handheld game consoles,",-  mobile learning, ninntendo ds, handheld game console, interactive classroom",2011-03-30,"this paper presents our experience on the design and development of an m-learning web-based system for the nintendo dsi game console. the paper starts by addressing the difficulties that emerged from the lack of resources on design guidelines for dual screen devices also the absence of adequate techniques and methods to support the design decisions. then it explains how we overcame these challenges by adopting a design decision suitable for the screen requirements of the nintendo dsi console. finally, we present the components of our m-learning system and the results of a preliminary usability evaluation."
209,using concept mapping for needs analysis for a social support system in learning network,",concept mapping, learning network, social support system, software needs analysis",2010-12-21,"this paper describes the needs analysis of tool for connecting people in a learning network using group concept mapping method. we conducted an empirical study to identify the most relevant features of such a tool. there were 11 experts from 7 different countries with technical and non-technical background who participated in the study. each of the participants were invited by email and given a brief description about the scenario for the need of a tool in an online learning network to find people for help (social support system). this tool can be developed on mobile devices to search for peer learners. the participants generated 153 unique ideas about the need for social support system in learning network. these ideas were sorted and rated, and further analysis with concept mapping produced ten relevant clusters of interest. these clusters (concepts) suggest the features which are relevant for a tool that would support learners in connecting with others in a learning network. the concept mapping methodology described in this paper has also been applied in other projects; one of them is about the â??investigation of pedagogic areas in which mobile learning is an appropriate solution"
210,client-server and peer-to-peer ad-hoc network for a flexible learning environment,",peer-to-peer, client-server, network, mobile learning",2010-12-21,"peer-to-peer (p2p) networking in a mobile learning environment has become a popular topic of research. one of the new emerging research ideas is on the ability to combine p2p network with server-based network to form a strong efficient portable and compatible network infrastructure. this paper describes a unique mobile network architecture, which reflects the on-campus studentsâ?? need for a mobile learning environment. this can be achieved by combining two different networks, client-server and peer-to-peer ad-hoc to form a sold and secure network. this is accomplished by employing one peer within the ad-hoc network to act as an agent-peer to facilitate communication and information sharing between the two networks.  it can be implemented without any major changes to the current network technologies, and can combine any wireless protocols such as gprs, wi-fi, bluetooth, and 3g."
211,managing btss to solve handover problem in mobile network,",handover, bts, bsc, channel exchange, mobile network, ports allocation",2010-12-21,"handover is a key solution that improves the telecommunication services using gsm by assure the continual service delivery between two mobiles regardless of location's changes of the sender or receiver, and now gsm technology becomes applicable all over the world and the customers become more satisfied to the dealer's services delivery, but handover suffers from a major problem refers to the limitation of hardware capacity of the bts (base transfer station).this approach consists of three schemes, the first one based on reserve an extra ports for handover purposes by implementing a software solution that control bts ports. the second alternative scheme based on channel exchange between adjacent btss by shifting a chosen allocated signal to another adjacent free bts and then allocating the new signal to the new free port. the third schema depends on carrying the handover problem to another bts to solve it if it didn't solved in the second schema."
212,towards development of web-based assessment system based on semantic web technology,",e-learning, m-learning, semantic web, educational systems, evaluation systems, interactive applications.,",2010-12-21,"the assessment process in an educational system is an important and primordial part of its success to assure the correct way of knowledge transmission and to ensure that students are working correctly and succeed to acquire the needed knowledge. in this study, we aim to include semantic web technologies in the e-learning process, as new components. we use semantic web (sw) to: 1) support the evaluation of open questions in e-learning courses, 2) support the creation of questions and exams automatically, 3) support the evaluation of exams created by the system. these components should allow for measuring academic performance, providing feedback mechanisms, and improving participative and collaborative ideas. our goal is to use semantic web and wireless technologies to design and implement the assessment system that allows the students, to take: web-based tutorials, quizzes, free exercises, and exams, to download: course reviews, previous exams and their model answers, to access the system through the mobile and take quick quizzes and exercises. the system facilitates generation of automatic, balanced, and different exam sheets that contain different types of questions covering the entire curriculum, and display gradually from easiness to difficulty. the system provides the teachers and administrators with several services such as: store different types of questions, generate exams with specific criteria, and upload course assignments, exams, and reviews."
213,innovative secure mobile banking services,",customer relationship management, crm, electronic banking, e-banking, mobile banking, m-banking, security, ubiquitous",2010-12-21,"due to the widespread use of computer technologies in almost all aspects of life, organisations that are connected to the internet started extending their services to their customers to include new applications and services that satisfy their customersâ?? desires to make better businesses.  one of these emerging applications is mobile banking. the term mobile banking (or m-banking) describes the banking services that the user can perform via a mobile device ubiquitously at anytime and from anywhere.  in order for users to access their accounts, they need a mobile device and network connectivity.  therefore, sitting in front of a computer is not a requirement anymore; accessing accounts can occur while users are waiting their turn at the dentist clinic or relaxing at the beach!this paper explores the opportunities of using mobile technology in the electronic banking (e-banking) sector to enhance existing banking services by moving toward m-banking using mobile devices and wireless media that can provide opportunities for ubiquitous access to the banking services as mobile technologies can be used at anytime and from anywhere. the technical problems encountered while using the mobile devices presents some technical difficulties and challenges for the m-banking. in this paper we introduce a mobile system that demonstrates the flexibility gained out of this technology and covers the major aspects of such kind of applications. the proposed system covers two parts: the customer services (user interface) and the security aspects.  in the user interface part, banking facility is provided to the user through the mobile device to implement banking transactions. the model provides customers with the services: billing payments, transferring of funds, viewing of customerâ??s accounts and transactions, allowing the user to change his/her password and request a cheque book. the application takes into consideration security aspects, it satisfies the following security requirements: authentication, confidentiality and authorisation.this paper introduces the advantages and disadvantages of using mobility in the banking sector. furthermore, this paper also presents the security, suitability and feasibility aspects of using m-banking in terms of technology and usability."
214,laptops vs. desktops in a google groups environment: a study on collaborative learning,",comparing mobile with desktop, flow experience, mobile devices",2010-12-21,"current literature on m-learning refers to the lack of studies on real use of m-learning applications and how they can compete with current desktop counterparts. the study consists of an experiment involving one hundred and twelve students of higher education and a set of learning activities that they have to accomplish. this study has the main objective to validate if the students that use laptops or desktops are in the flow experience and which of them are more in the flow experience, when using google groups. the used approach is based on the flow experience introduced by [1].  it was possible to conclude that students have experienced the flow state both by students using laptops or desktops, but having the laptop students a more positive effect in the flow experience."
215,adobe flash lite â?? based online laboratory for mobile phones,",m-learning, laboratory education, flash lite, online laboratory",2010-09-29,"recently, development of ""microelectronics and vlsi engineering"" laboratory at iit kharagpur (http://lod.iitkgp.ernet.in/netlab), an innovative remote microelectronics device characterization and parameter extraction laboratory has been reported. the laboratory enables students to measure different semiconductor device characteristics and extract device parameters at any time and from anywhere using a java-enabled web browser. having pioneered the pc-based online laboratory to enhance microelectronics education, feasibility of use of mobile devices for hardware-based remote experimentation is explored. the work introduced in this paper is a prototype of the use of mobile devices in laboratory education."
216,an analog electronics mobile course with a competitive learning approach,",mobile learning, mobile devices, analog electronics course, competitive learning",2010-09-29,"in the last years several mobile learning courses have been experimented. the increasing popularity and additional features of mobile devices is one of the key reasons for mobile learning courses development. the superior portability and accessibility of those equipments makes them suitable for remote and interactive learning courses. in this context, this paper focuses on the implementation of a mobile learning framework for an analog electronics course. this course was designed as a complement to the classic analog electronics courses. this course consists of several interactive multimedia modules, at the end of which students have to answer several oriented questions. these give feedback about the learning process to the teacher, which receives sms messages with the results. a specific module is responsible for storing and managing the answers in a server, where all the results from students are processed in a competitive learning based methodology application."
217,"motivation, psychology and language effect on mobile learning in universiti sains malaysia",",mobile learning, motivation, psychology, sms language.,",2010-09-29,"the aim of this study was to examine the motivation, psychology and language effect on mobile learning in the school of distance education, universiti sains malaysia, penang. mobile learning or m-learning is a new learning phenomenon in the open and distance learning environments. moving from stationary to mobile learning allows informal collaboration and interaction between learners. therefore, there is a necessity to revise peopleâ??s psychological factors, process and mechanisms that underlie m-learning so that the practice can move from technology-centred implementation to human-centred effective learning processes.  the statistical package for social science (spss) version 12.0 and rasch model analysis was used to measure these items. the 5-point likert scale questionnaires (12 items) being sent to 105 distance education students from four courses including bachelor of science, bachelor of arts, bachelor of social science and bachelor of management which was distributed in tutorial sessions during the annual residential intensive course in the main campus of the universiti sains malaysia by their respective course managers. the finding shows that a positive response from the learners as they feel happy to use this additional learning tools (mobile learning). learnerâ??s feel supported and motivated to use the mobile application with the usability of simple language."
218,agent-based mobile event notification system,",mobile systems, agent-based systems, event notification systems, publish/subscribe model",2010-09-29,"in recent years, the noticeable move towards using mobile devices (mobile phones and pdas) and wireless technologies have made information available in the context of ""anytime, anywhere using any mobile device"" experience. delivering information to mobile devices needs some sort of communication means such as push, pull, or mixed (push and pull) technologies to deliver any chunk of information (events, ads, advisory tips, learning materials, etc.). events are the most important pieces of information that should be delivered timely wherever the user is. agent-based technology offers autonomous, flexible, adaptable, and reliable way of delivering events to any device, anywhere, and on time. publish/subscribe communication model is the basic infrastructure for event-based communication. in this paper, we define the need to mobilize the event notification process in educational environment and the possible categories of event notifications that students can receive from their educational institution. this paper also proposes a framework for agent-based mobile event notification system. the proposed framework is derived from the concept of pushâ??based publish/subscribe communication model but taking advantage from software agents to serve in the mobile environment. finally, the paper provides a detailed analysis for the proposed system."
219,building an e-commerce infrastructure in jordan: challenges and requirements,",e-commerce, network security, digital certificates, certification authority, e-business, pki, and digital signature.,",2010-09-29,"many countries around the world are trying to build and enhance their internet infrastructure and utilize services related to the internet such as e-commerce, information connectivity, accessibility, etc. however, studies indicated that network and hardware requirements are not always the major barrier for progressing in these goals. in some cases, cultural, legal or environmental factor may dominate the type of barriers for the expansion of internet related service in many countries around the world. this paper presents challenges and requirements for the enhancement of e-commerce services in particular for jordan."
220,mobiqiyas: a mobile learning standardized test preparation for saudi arabian students,",educational technology, mobile learning (mlearning), test preparation (test prep), standardized test, technology acceptance, user interfaces.,",2010-09-29,"a mobile learning system, called mobiqiyas, for preparing saudi arabian students for one of the standardized tests, given by the national center for assessment in higher education (ncahe), has been developed, using ready-made commercial products and tools. the learning material of mobiqiyas consists of practice questions with their answers, both provided by ncahe, to be loaded by the students into their own mobile phones; after installation, the students can interact with mobiqiyas any number of times, as desired, without incurring any additional cost, other than the initial airtime cost for downloading. from total number of students taken the test, 20,000 students were randomly selected to use mobiqiyas and information was collected from them to measure their attitudes and participation of mobiqiyas. it was found that 36.1% of students had actually downloaded mobiqiyas successfully. furthermore, a telephone survey was conducted, after the test period, on a class of 40 students in a secondary school in riyadh, taking the same test, to measure their acceptance of mobiqiyas, using a 9-item questionnaire based on a 5-point likert scale.  the responses of the 40 students reflected high acceptance and satisfaction levels of mobiqiyas as an effective test prep tool."
221,a review of the navigation hci research during the 2000â??s,",human factors, navigation, state of art, review",2010-07-01,"two of the common problems associated with navigation research in the field of human computer interaction (hci) systems, are the relatively narrow view that the display is able to provide for a large information space, and the impact that a diversity of contexts has on the usersâ?? divided attention. in recent years, much research has been focused on the development of navigation presentation techniques to address the first problem, and the development of capturing the context with multimodal interaction in order to address the second challenge. however, the growing number of new terminologies and techniques that has been developed has caused considerable confusion for hci researchers, consequently making the comparison of these techniques and the generalization of empirical results of experiments very difficult, if not impossible. this article provides a taxonomy of current navigation research, which describes clearly the navigation research on desktop and non-desktop environments; it also helps to identify research domains that afford and promote the direction of navigation research. this review reveals gaps where navigation research has identified challenges but has not yet explored them."
222,mobile learning via sms among distance learners:  does learning transfer occur?,",mobile learning, sms, distance education, learning transfer",2010-07-01,"the purpose of this study is to determine whether learners are willing to transfer learning in this mobile learning environment via sms.  the reason for this is to measure the effectiveness of the new method used in learning and education especially in distance education field.  for this reason, studentsâ?? responses are gathered which looked at three factors namely learner characteristic, learning design and learning environment. the data are gathered through a survey research design with questionnaires using five-point likert scale. the questionnaires was administered for 105 distance education students from four courses including bachelor of science, bachelor of arts, bachelor of social science and bachelor of management. the rasch model analysis was used to measure these dimensions. rasch model is a one-parameter logistic model within item response theory (irt) whereby the amount of a given latent trait in a person and the amount of that same latent trait reflected in various items can be estimated independently yet still compared explicitly to one another.  the result of the study showed that learning transfer occurred and being influenced most by learnerâ??s characteristics especially in term of their motivation as well as their perceive utility/value of the sms learning to their job and academic performances."
223,usability study of personalized learning in mobile learning environment,",mobile learning, context specific, learner centric, ontology, web service, usability study.,",2010-07-01,"in an effort to find out the best suitable application of mobile learning, several research works are undertaken till date. a review of related papers unveiled that mobile devices act better as a supporting media in teaching and learning scenario. the present worker has developed context specific learning modules i.e. personalized learning contents using an ontology based web service architecture and an experimantal exploration has been done with the target audience to justify the usability of such content in a real time environment. to ensure that the developed contents are acceptable and usable, usability aspects are carefully embedded during the analysis, design and development of the contents. in this paper, the steps to fulfill the usability aspects of the prepared contents are described, an architecture of the dissemination system has been designed and results of the study are presented."
224,a framework for building an interactive satellite tv based m-learning environment,",e-learning, satellite tv, iptv, e-learning strategy, interactive tv, video on demand (vod),",2010-07-01,"this paper presents a description of an interactive satellite tv based mobile learning (stv-ml) framework, in which a satellite tv station is used as an integral part of a comprehensive interactive mobile learning (m-learning) environment.  the proposed framework assists in building a reliable, efficient, and cost-effective environment to meet the growing demands of m-learning all over the world, especially in developing countries. it utilizes recent advances in satellite reception, broadcasting technologies, and interactive tv to facilitate the delivery of gigantic learning materials. this paper also proposed a simple and flexible three-phase implementation methodology which includes construction of earth station, expansion of broadcasting channels, and developing true user interactivity.  the proposed framework and implementation methodology ensure the construction of a true, reliable, and cost effective m-learning system that can be used efficiently and effectively by a wide range of users and educational institutions to deliver ubiquitous learning."
225,a framework for educational collaborative activities based on mobile devices: a support to the instructional design,",api library, collaborative learning, m-learning, framework, instructional design, process model",2010-07-01,"in this paper we present a framework (ca-mobile framework) for develop educational activities for collaborative learning based on mobile devices, this framework is composited by two main components: a documental reference and an api for develop mobile software, these components are described in this paper, included a process model for apply the framework as well as a evaluation of the documental reference. the results of this evaluation show that is possible replicate the procedure of describe and define activities based on mobile devices using the ca-mobile framework."
226,simplistic is the ingredient for mobile learning,",mobile learning, rasch model, sms, text message",2010-07-01,"this study explored the studentsâ?? acceptance of mobile learning via short message service (sms-learning) amongst distance learners in the universiti sains malaysia. this study aims to examine the studentâ??s acceptance towards the language use in sms-learning content, the cost of communicating and also the navigation of the system. the study employed the qualitative methodology where data were collected through questionnaire that was administered to 105 distance education students from bachelor of management, bachelor of science, bachelor of social science and bachelor of art. the survey responses were tabulated in a 5-point likert scale and analyzed using the rasch measurement model.  the results indicated that the simple language used in sms-learning was accepted by the respondents. by using the language precisely, it leads to high usability of sms-learning which will allow it to academically assist them in their study."
227,uses of internet and mobile technology in health systems for the elderly: a case  study of hong kong,",mobile device, elderly, health system, hong kong",2010-03-25,"to investigate the impact of training the elderly to use the internet and mobile computer devices in order to become more active in their health care. this study utilized semi-structured interviews and surveys. five themes emerged from the interviews that described participants' motivations and barriers they experienced when using the mobile devices and internet. survey data revealed that levels of computer anxiety decreased and levels of efficacy increasing after training. conclusion: training the elderly to use the internet lowered levels of computer anxiety. in addition, participants used the information retrieved from the internet to become more active in their own health care."
228,a novel concept of a cartoon-generator application on a mobile phone,",content generation, flash lite, multimedia authoring, mobile phones, interactive multimedia application",2010-03-25,in this work the development and deployment of a new concept of cartoon-generation on a mobile phone is presented. an interactive multimedia application was designed for a push-approach of sending short e-cartoons from a mobile phone to a central web server. the concept of a unique cartoon-generator will be discussed. the multimedia authoring environment flash was used for the interactive application design and implementation. the architecture and the design process of the interactive cartoon-generator application will be presented including storyboarding with final testing of the application on a nokia mobile phone.
229,mobile school service,",mobile learning, education, mobile phone",2010-03-25,"what is in common for the majority of young people? mobile phone.in epoch of rapid development of information technologies the time came in which only few people do not have mobiles, especially among young people in high schools. researches which we made in our school say that this percentage (rate) is really high 99,23% at this moment. the educational institutions should use this opportunity. in aim to improve the success of students the mobile service is developed, which will be described in this work. this is first result which provides a cognitive tool which is supporting the independent learning by applying mobile phones with wireless communication technology to extend learning outside of the classroom in serbia.the service was developed during times when we didnâ??t know anything about how much and in which way m-learning was being used in the world."
230,adoption of mobile learning among distance education students in universiti sains malaysia,",mobile learning, distance education, sms, ,",2010-03-25,"this study was carried out in order to investigate whether mobile learning using short message service (sms) was a method of learning adopted by the students enrolled in the school of distance education, universiti sains malaysia. as adult learners who are in vocation, time and isolation are the bane of self-study. since all the students own a mobile device that can receive sms, educational messages can be sent directly to their devices. this experimental study explored the impact of learnerâ??s characteristic, learning design and learning environment to their adoptability.  this study utilised two models of data analysis, the statistical package for social science (spss) version 12.0 and the rasch model analysis for measurement. the analysis was conducted on a sample of 105 students based on gender, age, ethnicity, programme of study and mobile device ownership. the students were from four different courses which are bachelors of science, bachelor of arts, bachelor of social science and bachelor of management. the questionnaire-answer session were administered by the respective course managers in their tutorial sessions during the annual residential intensive course in the main campus of the universiti sains malaysia. the result indicated that mobile learning has helped them to pace their studies. by using mobile learning, learners easily get any information that they need at anytime anywhere. learners would also like to take another mobile learning assisted course if the courses are relevant to their learning needs. furthermore, the sms educational content received through their hand phone are easily remembered."
231,towards for analyzing alternatives of interaction design based on verbal decision analysis of user experience,",human computer interaction, operational research, mobile digital television, verbal decision analysis, interaction design",2010-03-25,"in domains (as digital tv, smart home, and tangible interfaces) that represent a new paradigm of interactivity, the decision of the most appropriate interaction design solution is a challenge. hci researchers have promoted in their works the validation of design alternative solutions with users before producing the final solution. user experience with technology is a subject that has also gained ground in these works in order to analyze the appropriate solution(s). following this concept, a study was accomplished under the objective of finding a better interaction solution for an application of mobile tv. three executable applications of mobile tv prototypes were built. a verbal decision analysis model was applied on the investigations for the favorite characteristics in each prototype based on the userâ??s experience and their intentions of use. this model led a performance of a qualitative analysis which objectified the design of a new prototype."
232,acceptance on mobile learning via sms: a rasch model analysis,",mobile, learning, m-learning, sms, rasch model",2010-03-25,"this study investigated whether mobile learning via short message service (sms-learning) is accepted by the students enrolled in the distance learning academic programme in the universiti sains malaysia. this study explored the impact of perceived usefulness, perceived ease of use and usability of the system to their acceptability. the survey was constructed using a questionnaire consisting of statements regarding the participantsâ?? demographics, experiences in and perception of using mobile learning via sms, involving 105 students from management and sciences disciplines.  the rasch model analysis was used for measurement correspond to a 5 point likert. results indicated that the usability of the system contributed to be effectiveness in assisting the students with their study. respondents agree that sms-learning is easy, effective and useful to help them study. however, the results found that there has been a problem in mobile learning that less interaction with lecturers. it implies that the acceptability of students to this mode on communication and interaction is highly endorsed."
233,a tourism e-guide system using mobile integration,",e-services, mobile commerce, mobile technology, tourism, web-based information system, wireless mobile computing",2010-03-25,"this paper presents a tourism e-guide system via mobile integration using offloading while enjoying mobility. a user can search for new mobile services available on the website to use either remotely on the server where the services resides, or locally after downloading them to his/her mobile device and work offline without a mobile connection. jordan tourism e-guide system (jtegs) aims to help the user/tourist accessing the tourism information directly from his/her smart device, anytime and anywhere using offloading. jtegs is a web-based electronic guide that provides the user with appropriate tourism information about jordan and guides him/her to find the best places to party, eat out, and enjoy culture events. the system architecture and the main components of the proposed services were presented and discussed. the system has been prototyped and validated in a real-time mobile internet application scenario. the system also has been evaluated through simulations in mobile network environment. both experimental and simulation results demonstrated the effectiveness and efficiency of the proposed system."
234,a cost effective method for determining the position of mine haul road defects from the road edge,",rangefinder, gps, position measurement, road maintenance",2009-12-17,"this paper describes a simple method for estimating haul road defect positions from alongside  roads. it is a method that is cheap and easy to implement, needing only a minimal amount of field equipment and training. observers are required to estimate the bearing and distance to a defect, and to record their location using a gps receiver. all further processing is automated and can be done entirely within a spatially-enabled database management system such as microsoft sql server or postgresql."
235,investigating rfid enabled devices in smart electronic learning environments,",ple, mobile learning, rfid, smart spaces",2009-12-17,"for e-learning systems to be successful, proper understanding of the learner is crucial. this can be done with the use of learnersâ?? profiles. however, there is a need for the availability of such information for mobile learning environments to make it available when the learner roams between different spaces. this paper investigates the application of rfid technologies for this use. we suggest using new advancements in rfid technologies with smart tags to identify and extract learnersâ?? data/profile in the move. furthermore, the learner will be carrying this data for better learning interoperability in smart spaces. new interesting educational scenarios are becoming available to provide context-awareness for the educational process. the tradeoffs between the availability of further information and privacy are discussed."
236,an analytical framework for the assessment of the mobile ip overhead involved in the integrated internet-manet,",analytical model, integration strategy, mobile ad hoc network, relay path set",2009-12-17,"quite a few strategies have been proposed for integrating mobile ad hoc networks and the internet. a need has been felt for an analytical model that would facilitate a formal definition and comparison of different integration strategies without actually implementing them in a simulated environment. in this paper, we present an analytical framework based on the concept of a relay path set (rps). this model can be used to describe, compare the different strategies for integrating mobile ad hoc networks and the internet, propose new strategies and suggest improvements in the existing strategies at different module levels. the proposed model has been applied on a few of the existing integration strategies and performance comparison has also been made. we also discuss the future work that can be carried out using the proposed framework."
237,assessing the introduction of mobile banking in jordan using technology acceptance model,",keywords, mobile banking (mb), theory of planned behavior (tpb), technology acceptance model (tam), trust (tmb),",2009-12-17,"the continuously growing number of mobile users demonstrates that more and more users seek to benefit from the freedom afforded without the need for cables, time and place. the mobility is the driving force behind the new global economy, with mobile banking, banks offer a new revolutionize services and giving their consumers more options than ever before. this study aimed to: (1) investigate consumers' expectations and attitudes towards mobile banking in jordan. (2) identify the problems that organizations and consumers encounter while adopting or using mobile banking. (3) measure the level of consumersâ?? perceived usefulness (pu), perceived ease of use (peou), attitude towards using (atu), behavioral intention to use (bi), and the actual use (au) of mobile banking. data for this study have been collected using a questionnaire containing 44 questions. out of 325 questionnaires that have been distributed, 275 are returned (84.6%). as a result of this study it appeared that if consumers have positive attitudes towards mobile banking, they would rely on it to conduct their banking transactions. this study finds that jordanian consumers rely on wireless devices (mobile) for their banking transactions, which leads to the actual use of this new technology, taking into consideration trust as a factor that could affect the success of using mobile banking in jordan. this study gives quantified indicators about mobile banking and a model that might help in understanding the mobile banking environment in jordan."
238,advanced and effective learning in context aware and adaptive mobile learning scenarios,",collaboration, context, mobile learning, learning content.,",2009-12-17,the ability to support students/learners to learn on the move at any place and at any time is new task to be addressed by using the mobile devices of the learners. mobile technology support has given birth to the concept of mobile learning possessing a wide spectrum of applications and new teaching and learning techniques. this paper discusses a study conducted for undergraduate students on the effect of mobile technology usage in a learning process. the results showcased here indicate acceptance of the mobile devices into the learning process with a well appreciated enthusiasm from the learners.
239,"wireless ""questions-bank"" system to enhance m-learning in school education",",e-learning, m-learning, mobile technology, educational systems",2009-12-17,"abstract: through wireless devices and wireless applications, m-learning supports an integrated access to web content and services in education anytime and anywhere. this paper describes the analysis, design, and implementation of ""wireless questions-bank system"", that allows the students to take web-based quizzes, web-based free exercises, web-based exams (midterm, and final), to download course reviews, to download previous exams and their model answers, to access the system through the mobile and take quick quizzes and exercises. the system facilitates generation of automatic, balanced, and different exam sheets, that containing different types of questions, covering the entire curriculum, and displaying gradually from easiness to difficulty. the exam sheet produced by the system, takes into account the different levels of the students from excellent, good, to fair, and avoids any mistakes of language and non-clear terminologies"
240,resource optimization of mobile intelligent system with heart mpls network,",intelligent sensors, wireless sensor network, quality of service, diffserv and mpls.,",2009-10-27,"in this paper, we introduce the original mobile intelligent system (mis) in embeded fpga architecture. this node will allow the construction of autonomous mobile network units which can move in unknowns, inaccessible or hostile environnement for human being, in order to collect data by various sensors and transmits them by routing to a unit of distant process.in the sake of improving the performance of transmission, we propose a global schema of qos management using diffserv/mpls backbones. we provide an evaluation of several scenarios for combining qos ip networks with mis access network. we conclude with a study on interoperability between qos patterns in access and backbone networks."
241,dynamic resource management in mc-cdma based cellular wireless networks,",ber, tdd, mc-cdma, snr, delay",2009-10-27,"most of the multimedia and internet services today are asymmetric in nature, and require high data rate support. allocating equal band width in both uplink and downlink is not prudent solution, as most of the time user requirement is more either in uplink or downlink. the multi carrier code division multiple access (mc-cdma) system with time division duplex mode can easily met this requirement by dynamically declaring traffic direction in tdd slot, and adaptively allocating the sub channels. in this paper, we propose a adaptive slot and sub carrier allocation algorithm, that can be independently implemented in each cell of mobile communication network. our analytical model is generalization of two cell concept to represent a multi cell model. based on two cell concept four cases of interference pattern has been considered and simulated separately in presence of additive white gaussian noise (awgn) and rayleigh channel. the simulated result suggests the requirement of approximately 9db of signal to noise ratio (snr) to maintain bit error rate below 10-3. we also analyze the average delay incurred by the proposed algorithm in allocating resources."
242,envelope transaction mechanism for a cluster of peers,",envelope repository, envelope p-write protocol, expected and average expected cost, peer connected set.,",2009-10-27,"a new approach for mobile transaction processing is presented in a cluster of peers. a cluster is a dynamic collection of mobile hosts called peers and are clustered around a single mobile host called a centroid to form a temporary work group for processing and exchanging information. all peers are connected to the centroid using a short range wireless network. all peers and the centroid are members of a peer connected set. the centroid is chosen in such a way that it has a strong connection to the mobile support station. after collecting data from a server, the centroid is free to disconnect from the server and ready to create its own cluster of peers.  to process various transactions at the centroid, a dynamically configurable data processing space is created called the envelope repository. processed data is kept at a private work space of the centroid in an envelope and brought to the envelope repository whenever required. a peer initiates a jumping transaction to fetch data objects to the centroid. the jumping transaction initiates an envelope transaction to acquire the necessary locks on data objects at envelope repository. after getting the locks, intension transaction processes the data objects to give the result stored in an envelope. envelope intension write protocol is designed to make jumping transactions globally serialized."
243,computer-based wireless advertising communication system," computer, microcontroller, amplitude shift keying, transmitter, receiver, antenna.,",2009-10-28,"in this paper we developed a computer based wireless advertising communication system (cbwacs) that enables the user to advertise whatever he wants from his own office to the screen in front of the customer via wireless communication system. this system consists of two pic microcontrollers, transmitter, receiver, lcd, serial cable and antenna. the main advantages of the system are: the wireless structure and the system is less susceptible to noise and other interferences because it uses digital communication techniques."
244,using mobility to enhance the routing process in the mis system,",information systems embedded application, intelligent sensors, wireless sensor network, adhoc networks, olsr protocol, multipoint relays, node mobility and mobility quantification",2009-10-27,"in this paper, we introduce the original mobile intelligent system (mis) in embedded fpga architecture. this node will allow the construction of autonomous mobile network units which can move in unknowns, inaccessible or hostile environnement for human being, in order to collect data by various sensors and transmits them by routing to a unit of distant process. in the sake of improving the performance of routing unit, we propose a measure of mobility.  each node measure its own mobility in the network, based on the change of the links state in his neighboring. this measure of mobility has no unit, and it is calculated by quantification in regular time intervals."
245,a framework for caching relevant data items  for checking integrity constraints of mobile  database,",mobile database, integrity constraints, integrity tests, data caching.,",2009-10-27,"in a mobile environment, due to the various constraintsinherited from limitations of wireless communicationand mobile devices, checking for integrity constraints tomaintain the consistent state of mobile databases is an importantissue that needs to be addressed. hence, in this paperwe propose a framework for caching relevant data itemsneeded during the process of checking integrity constraintsof mobile databases. this is achieved by analyzing the relationshipsamong the integrity tests (simplified form of integrityconstraints) to be evaluated for a given update operation.this improves the checking mechanism by preventingdelays during the process of checking constraints and performingthe update. hence, our model speeds up the checkingprocess."
246,robotic mobile system's performance-based  mimo-ofdm technology,",neural network, ldpc codes, robot, mimo, and ofdm",2009-10-27,"in this paper, a predistortion neural network (pdnn) architecture has been imposed to the sniffer mobile robot (snfrbot) that is based on spatial multiplexed wireless orthogonal frequency division multiplexing (ofdm) transmission technology. this proposal is used to improve the system performance by combating one of the main drawbacks that is encountered by ofdm technology; peak-to-average power ratio (papr).  simulation results show that using pdnn resulted in better papr performance than the previously published work that is based on linear coding, such as low density parity check (ldpc) codes and turbo encoding whether using flat fading channel or a doppler spread channel."
