paper_name,keywords_name,publishing_date,abstract,abstract2
"
			Mobile Application to Detect Covid-19 Pandemic by Using Classification Techniques: Proposed System
					",",											COVID-19, 											Fuzzy C-Mean (FCM), 											Propagation (BP) classification, 											Information Gain (IG), 											Mobil Application									,","2021-08-23,","Various mobile applications such as Mobile Health (mHealth) have been developed and spread across the world which has played an important role in mitigating the Coronavirus pandemic (COVID-19). As the COVID-19 pandemic spreads, several people have drawn parallels to influenza. While both viruses cause respiratory infections, they propagate in very different ways. This has a major impact on the public health measures that can be used to fight each virus. These viruses are pandemic-causing in the same way. That is, they both cause respiratory disease, and can present themselves in several ways, ranging from asymptomatic to severe and deadly. A proposal is presented in this paper that uses two algorithms to define and classify these pandemics, they are: The Back Propagation (BP) classification algorithm and the Fuzzy C-Mean (FCM) clustering algorithm. Two stages are implemented in the proposed system: in the first step, the FCM algorithm is used to find out the type of virus, and this algorithm is capable of handling ambiguous features of viruses. In the second step, a BP neural network is used as a classifier to detect the pandemic class. The proposed system was trained and tested using a well-known dataset (covid-19 vs influenza). Information Gain (IG) is used to optimize the related features that affect the classification process to improve speed and accuracy.  The proposed mobile application is developed to support users easily detecting the COVID-19 infection by inputting the medical tests as significant features to the proposed system. The proposed system's accuracy is up to (89%), the framework was created using the Matlab programming environment and an Android Studio for Mobil application designing.,",",					,,,					,,,				,"
"
			The Development of POTENSIA; The Android-Based Psychological Application for Mapping and Assessments of Student Mental Health During the COVID-19 Pandemic
					",",											Android-based applocation, 											mental health, 											college student, 											COVID-19 pandemic									,","2021-08-23,",,",					,,,					Students experience various essential changes related to their psychological conditions during their education in college. Students' adaptability to the demands of these changes will give birth to new skills for the next stage of psychological development. However, academic stress, social problems, career, and personal-emotional problems can hinder the productivity and development of students in terms of mental health. This issue increased with the new-normal life during the COVID-19 pandemic, which also impacted the education process. For this reason, it is necessary to have a mobile-based online psychological assessment to map the mental health conditions of students during the pandemic. This study aims to develop and validate an Android-based online psychological assessment application to map students' mental health conditions. This study involved ten experts in counseling and software development, five counselors, and 638 users of the POTENSIA application. According to application development needs, data analysis using Aiken's V coefficient test, Confirmatory Factor Analysis (CFA), and Rasch Model Analysis. The results of the study prove that the application is considered valid and practical to use. The effectiveness of the application is considered very good in mapping the mental health conditions of students.,,				,"
"
			Intelligent Mobile Coronavirus Recognition Centre Based on IEEE 802.15.4
					",",											Artificial intelligence, 											COVID-19, 											Decision tree algorithm, 											Detection system.									,","2021-08-23,","The novel coronavirus (COVID-19) has become widespread around the world. It started in Wuhan, China, and has since spread rapidly among people living in other countries. Hence, the World Health Organization has considered COVID-19 as a pandemic that threatens millions of people’s lives. Due to the high number of infected people, many hospitals have been facing critical issues in providing the required medical services. For instance, some clinical centers have been unable to provide one of the most important medical services, namely blood tests to determine whether an individual is infected with COVID-19. Therefore, it is important to present an alternative diagnosis option to prevent the further spread of COVID-19. In this paper, a proposed intelligent detection communication system (IDCS) is configured for distributed mobile clinical centers to control the pandemic. In addition, the intelligent system is integrated with the Zigbee communication protocol to build a mobile COVID-19 detection system. The proposed system was trained on X-ray COVID-19 lung images used to identify infected people. The Zigbee protocol and decision tree algorithm were used to design the IDCS. The results of the proposed system show high accuracy 94.69% and accept results according to the performance measurements.,",",					,,,					,,,				,"
"
			The Challenges and Prerequisites of Data Stream Processing in Fog Environment for Digital Twin in Smart Industry
					",,"2021-08-11,","Smart industry systems are based on integrating historical and current data from sensors with physical and digital systems to control product states. For example, Digital Twin (DT) system predicts the future state of physical assets using live simulation and controls the current state through real-time feedback. These systems rely on the ability to process big data stream to provide real-time responses. For, example it is estimated that one autonomous vehicle (AV) could produce 30 terabytes of data per day. AV will not be on the road before using an effective way to managing its big data and solve latency challenges. Cloud computing failed in the latency challenge, while Fog computing addresses it by moving parts of the computations from the Cloud to the edge of the network near the asset to reduce the latency. This work studies the challenges in data stream processing for DT in a fog environment. The challenges include fog architecture, the necessity of loosely-coupling design, the used virtual machine versus container, the stateful versus stateless operations, the stream processing tools, and live migration between fog nodes. The work also proposes a fog computing architecture and provides a vision of the prerequisites to meet the challenges.,",",					,,,					,,,				,"
"
			Survey on 3D Content Encryption
					",",											3D Content, 											Chaotic system, 											3D model.									,","2021-08-11,","The rapidly growing 3D content exchange over the internet makes securing 3D content became a very important issue. The solution for this issue is to encrypting data of 3D content, which included two main parts texture map and 3D models. The standard encryption methods such as AES and DES are not a suitable solution for 3D applications due to the structure of 3D content, which must maintain dimensionality and spatial stability. So, these problems are overcome by using chaotic maps in cryptography, which provide confusion and diffusion by providing uncorrelated numbers and randomness. Various works have been applied in the field of 3D content-encryption based on the chaotic system. This survey will attempt to review the approaches and aspects of the structure used for 3D content encryption methods for different papers. It found the methods that used chaotic maps with large keyspace are more robust to various attacks than other methods that used encryption schemes without chaotic maps. The methods that encrypting texture, polygon, and vertices for 3D content provide full protection than another method that provides partial protection.,",",					,,,					,,,				,"
"
			3D Polygon Mesh Encryption Based on 3D Lorenz Chaotic Map
					",",											3D Polygon Mesh Model, 											vertices, 											3D Lorenz Chaotic map									,","2021-08-11,","The multimedia application developments in recent years lead to the widespread of 3D model applications. It becomes more popular in various fields as well as exchanging it over the internet. The security of the 3D models is a very important issue now a day, so the scheme for encrypting the 3D model will be proposed in this work. In this proposed scheme, the 3D polygon mesh model will be protected through the encrypting process based on a 3D Lorenz Chaotic map where the vertices value of the 3D polygon mesh model will be modified using 3D keys generated by 3D Lorenz Chaotic Map, which has excellent property and provides a good diffusion. The proposed scheme was implemented on various 3D models, which have a different number of vertices and faces. The experimental results show that the proposed scheme has good encryption results, which were noted through completely deforming and changing the whole shape of the 3D models. The Hausdorff Distance (HD) and histogram metrics are adopted to calculate the matching degree between the original and extracted model. The results show that the original and extracted model are identical through the values of HD, where they are approximately zero, and the histogram visually is identical.    ,",",					,,,					,,,				,"
"
			Exploiting Cloud Computing and Web Services to Achieve Data Consistency, Availability, and Partition Tolerance in the Large-Scale Pervasive Systems
					",",											CAP properties, 											cloud computing, 											data replication, 											distributed systems, 											pervasive information systems, 											web services									,","2021-08-11,",,",					,,,					This article presents a new comprehensive approach to realize a sufficient trade-off between the CAP properties (i.e., consistency, availability, and partition tolerance) in the large-scale pervasive information systems. To achieve these critical properties, the capabilities of both cloud computing and web services were exploited in developing the components of the proposed approach. These components include a cloud-based replication architecture for ensuring high data availability and achieving partition tolerance, a web services-based middleware for maintaining the eventual consistency, and a data caching scheme to enable the mobile computing elements to conduct  update transactions during the disconnection periods.  The evaluation of the performance aspects revealed that the proposed approach is able to achieve a load balance, lower propagation delay, and higher cache hit ratio, as compared to other baseline approaches.,,				,"
"
			Password Strength Metre Application
					",",											access control, 											authentication, 											password, 											password strength									,","2021-08-11,",,",					,,,					Passwords are considered the most commonly used method of authentication.  Unfortunately, weak passwords are known to be the main cause of many cyber attacks.  With stronger passwords, it is believed that this first line of defence would be able to reduce the risk of cyber attacks, trespass and information exposure.   A password strength metre application was, therefore, developed so that users can try out the passwords of their choice before actually deciding to register them.  Although the application contains such information as password entropy, password quality index and password complexity index, the data is presented in a user-friendly way so that it is intuitive to any users.,,				,"
"
			Examining Users’ Concerns while Using Mobile Learning Apps
					",",											mobile learning, 											mobile apps, 											sentiment analysis, 											topic modeling, 											user re-views									,","2021-08-11,","Mobile learning applications (apps) are increasingly and widely adopted for learning purposes and educational content delivery globally, especially with the massive means of accessing the internet done majorly on mobile handheld devices. Users often submit their feedback on use, experience and general satisfaction via the reviews and ratings given in the digital distribution platforms. With this massive information given through the reviews, it presents an opportunity to derives valuable insights which can be utilized for various reasons and by different stakeholders of these mobile learning apps. This large volume of online reviews creates significant information overload which presents a time-consuming task to read through all reviews. By combining text mining techniques of topic modeling using Latent Dirichlet Algorithm (LDA) and sentiment analysis using Linguistic Inquiry Word Count (LIWC), we analyze these user reviews. These techniques identify inherent topics in the reviews and identifies variables of user satisfaction of mobile learning apps. The thematic analysis done reveals different keywords which guide classification into the topics identified. Conclusively, the topics derived are important to app stakeholders for further modifications and evolution tasks.,",",					,,,					,,,				,"
"
			Influence of Design Elements of Mobile Push Notifications on Mobile App User Interactions
					",",											Push Notifications, 											Mobile Apps, 											Mobile Push Notifications, 											Design Elements, 											Cramer’s V									,","2021-08-11,","With the increasing relevance of mobile apps for companies, push notifications to address app users are also becoming more important. While the acceptance factors of push notifications have already been extensively researched, the effect of the different design elements on user interaction by opening the mobile app is still completely unexplored. Based on existing scientific findings from related fields, especially banner advertising and e-mail marketing, the authors first develop hypotheses on the effect of title, button and image on user interaction with push notifications. In several experiments the hypotheses are tested using the example of a mobile shopping app. The results are evaluated using Chi-square test and Cramer's V. While the use of a title seems to have a positive effect on interaction rates, the hypotheses on the positive effect of buttons and images on interaction rates have to be rejected.,",",					,,,					,,,				,"
"
			Using M-Learning Technology in Teaching Foreign Languages: A Panacea during COVID-19 Pandemic Era
					",",											Foreign Languages, 											English as a Foreign Language (EFL), 											Graduate Education, 											Mobile Assisted Language Learning (MALL), 											MALL technology, 											Mobile Learning (m-learning), 											Smartphone Application									,","2021-08-11,","The higher education system around the world is being rapidly developed towards digitalization – from computers to laptops, from laptops to tablets and smartphones. Accordingly, traditional delivery of instruction is being shifted towards blended learning that is being gradually replaced with distance learning, i.e. higher education is moving forward with mobile learning (m-learning) technologies. The introduction of mobile learning became the most topical event in 2020 in the context of the COVID-19 pandemic, due to which many countries had to completely move to distance learning in higher education. The purpose of the study is to analyze the prospects for the widespread use of mobile applications in teaching English as a foreign language (EFL) in Russia to Russian and Arab learners. In the course of the study, an online survey based on a questionnaire consisting of four open and closed questions was conducted. An empirical method was applied to collect the research data.  The survey was conducted at the Department of Foreign Languages of the Engineering Academy of the Peoples' Friendship University of Russia (EA PFUR). The total research sample included 200 participants and consisted of: 50 potential employers, 50 Russian and Arab students of the Peoples' Friendship University of Russia studying Linguistics (training program code 035700), 50 faculty members, namely teachers of the Peoples' Friendship University of Russia, the Institute of Foreign Languages of the Moscow State Pedagogical University and the Moscow Institute of Physics and Technology, as well as 50 administrative staff of the Peoples' Friendship University of Russia. The purpose of the survey was to collect information about the use of mobile applications (Smartphone Apps) and the introduction of mobile learning technology (m-learning) in the process of teaching EFL to students. According to the results of the survey, instructors are actively using mobile technologies in their professional activities and all participants in the learning process are receptive to their introduction in education. At the same time, respondents believe that technical challenges are the major obstacle to the adoption of mobile applications; these problems must be overcome in order to enable more productive use of mobile applications. In this regard, the study of mobile applications that are suitable for specific aspects of learning a foreign language, such as spoken language, reading comprehension, listening or writing, can be considered a promising research area.,",",					,,,					,,,				,"
"
			A Conceptual Framework to Aid Attribute Selection in Machine Learning Student Performance Prediction Models
					",",											Learning analytics, 											Student performance prediction, 											Academic analytics, 											Machine learning									,","2021-08-11,",,",					,,,					One of the important key applications of learning analytics is offering an opportunity to the institutions to track the student’s academic activities and provide them with real-time adaptive consultations if the student academic performance diverts towards the inadequate outcome. Still, numerous barriers exist while developing and implementing such kind of learning analytics applications. Machine learning algorithms emerge as useful tools to endorse learning analytics by building models capable of forecasting the final outcome of students based on their available attributes. The machine learning algorithm’s performance demotes with using the entire attributes and thus a vigilant selection of predicting attributes boosts the performance of the produced model. Though, several constructive techniques facilitate to identify the subset of productive attributes, however, the challenging task is to evaluate if the prediction attributes are meaningful, explicit, and controllable by the students. This paper reviews the existing literature to come up with the student’s attributes used in developing prediction models. We propose a conceptual framework which demonstrates the classification of attributes as either latent or dynamic. The latent attributes may appear significant but the student is not able to control these attribute, on the other hand, the student has command to restrain the dynamic attributes. Each of the major class is further categorized to present an opportunity to the researchers to pick constructive attributes for model development.,,				,"
"
			Developing an Android-Based City Tour App using Evolutionary Algorithm
					",",											Brute force, 											City tour, 											Genetic algorithm, 											Mobile application									,","2021-07-28,",,",					,,,					Traveling around a city and making transit in certain areas is called a city tour. Furthermore, determining the optimal city tour route can be considered as a traveling salesman problem. There are many kinds of algorithms to solve this, one of which is the Genetic Algorithm (GA). In developing the City Tour application, a platform is needed to be taken to various places anywhere and anytime. Finally, we developed an application that runs on mobile devices. This application is built on the Android platform so that its use can be more efficient. Furthermore, it can be concluded that the GA applied to the Android-based City Tour Application is reliable to determine city tour routes; this is evidenced by comparing GA with the brute force method, where GA provides optimum results with less running time.,,				,"
"
			Reviewing the Global Smartphone Industry Strategic Implication in Response to COVID-19 Situation
					",",											Competitive approach, 											COVID-19 impact, 											global mobile brand, 											pandemic situation, 											smartphone industry, 											strategic implication									,","2021-07-28,","The global smartphone brands were progressing aggressively over time. A sudden unexpected turbulent situation known as a global pandemic declared by the World Health Organization (WHO) about a century later in the history of human civilization stops this progress. It makes the industry bound to fall behind. This study aims to review and analyze the impact of the present pandemic situation due to Coronavirus Disease 2019 (COVID-19) on the global smartphone industry. It shows its competitive scenarios focusing on smartphone demand and supply. Thus, the study suggest a strategic approach to combat this situation. It is done by reviewing the latest literature published explicitly in 2020. The findings of this study reveal a significant negative impact of COVID-19 on global smartphone brands, primarily especially in the big markets of this industry, namely China, India, USA, Europe. Conversely, it can also positively impact the industry, especially in some developing countries. The positivity is seen due to the expanded demand for smartphones in some sectors like education, business, and entertainment media shifted online, triggering the user’s need to purchase a new smart device. Lastly, based on the understanding of the current scenario, some strategic approaches are discussed, and appropriate solutions are given for the industry to cope up with the pandemic crisis and, at the same time, how to attain success. The strategic directions given at the end can be applied to the industry’s sustainability and growth.,",",					,,,					,,,				,"
"
			A Study on the Impact of Nodes Density on the Energy Consumption of LoRa
					",",											IoT, 											LoRa, 											LoRaWAN, 											energy efficiency, 											node density									,","2021-07-28,",,",					,,,					LoRaWAN is one of the leading Low power wide area network (LPWAN) LPWAN technologies that compete for the formation of big scale Internet of Things (IoT). It uses LoRa protocol to achieve long range, low bit rate and low power communication. Large scale LoRaWAN based IoT deployments can consist of battery powered sensor nodes. Therefore, the energy consumption and efficiency of these nodes are crucial factors that can influence the lifetime of the network. However, there is no coherent experimental based research which identifies the factors that influence the LoRa energy efficiency at various nodes density. In this paper, results on measuring the packet delivery ratio, packet loss, data rate and energy consumption ratio ECR to gauge the energy efficiency of LoRa devices at various nodes density are presented. It is shown that the ECR of LoRa is inversely proportional to the nodes density and that the ECR of the network is smaller at higher traffic indicating better network energy efficiency. It is also demonstrated that at high node density, spreading factor SF of 7 and 9 can improve the energy efficiency of the network by 5 and 3 times, respectively, compare to SF 11.,,				,"
"
			Visual Emotion-Aware Cloud Localization User Experience Framework Based on Mobile Location Services
					",",											Emotion Recognition, 											User Experience, 											Cloud Localization, 											Mobile Application, 											Location-Based Services.									,","2021-07-28,","Recently, the study of emotional recognition models has increased in the human-computer interaction field. With high recognition accuracy of emotions’ data, we could get immediate feedback from mobile users, get a better perception of human behavior while interacting with mobile apps, and thus make the user experience design more adaptable and intelligent. The harnessing of emotional recognition in mobile apps can dramatically enhance users’ experience. Therefore, in this paper, we propose a visual emotion-aware cloud localization user experience framework based on mobile location services. An important feature of our proposed framework is to provide a personalized mobile app based on the user’s visual emotional changes. The framework captures the emotion-aware data, process them in the cloud server, and analyze them for an immediate localization process. The first stage in the framework builds a correlation between the application’s default language and the user’s visual emotional feedback. In the second stage, the localization model loads the appropriate application’s resources and adjusts the screen features based on the real-time user’s emotion obtained in the first stage and according to the location data that the app collected from the mobile device. Our experiments demonstrate the effectiveness of the proposed framework. The results show that our proposed framework can provide a high-quality application experience in terms of a user’s emotional levels and deliver an excellent level of usability that was before not possible.,",",					,,,					,,,				,"
"
			Improved TCP Prediction Congestion in Mobile Ad Hoc Network Based on Cross-Layer and Fuzzy Logic
					",",											MANET, 											TCP, 											AODV, 											DSDV, 											OLSR, 											Fuzzy Logic, 											congestion, 											Cross-layer.									,","2021-07-28,",,",					,,,					Mobile ad hoc network (MANET) is among the networks which do not require any infrastructure to put nodes in communication. Due to its own nature, it is used by several applications. Even though it's a network that is extremely challenging and mostly when TCP is applied. In this paper, we have proposed a new improvement in the TCP algorithm that employed fuzzy logic to predict packet loss and avoid congestion. Specifically, we have used tree metrics such as stability, energy, and signal strength to use in fuzzy logic systems. To accomplish our approach, we have established some modifications based on a cross-layer. The results of the relevant simulation performed by NS3 demonstrated that our approach globally improves the performance of TCP in MANET. Precisely reduce the packet overhead and energy consumption also enhance throughput.,,				,"
"
			Integration of 4G LTE and DSRC (IEEE 802.11p) for Enhancing Vehicular Network Performance in IoV Using Optimal Cluster-Based Data Forwarding (OCDF) Protocol
					",",											Internet of Vehicles (IoV), 											4G/LTE, 											DSRC, 											IoT, 											Vehicular Networks									,","2021-07-28,","IoV is a known platform for exchanging data between vehicles and distinct networks through diverse communication media. Embedded technologies like IoT and Intelligent Transportation, are aimed to build smart networks for IoV to support diverse automated applications such as smart vehicle control, intelligent traffic control, and dynamic data services. However, in the smart domain, implementation of IoV has unresolved challenges. Synchronization of vehicles and humans is a crucial issue in making decisions. Therefore, proper understanding of the pertinent issues about IoV implementation that can improve the VNs performance are essential. DSRC and cellular networks are considered as potential alternatives for endorsing V2X communications. DSRC is employed for intelligent and automotive transportation applications through short-range data exchange between DSRC-components. Although spectrum assigned to DSRC alone will not be appropriate to satisfy huge information traffic needs for internet access in vehicles. Cellular networks offer potential solutions, attributing extensive range of cell coverage, broadly deployed infrastructure and greater capacity. Nevertheless, centralized characteristics of these networks limit the ability to handle low-latency communications that can challenge the efficacy of several safety applications. This paper reviews potential DSRC and wireless integrated solutions for efficient vehicular communications. In methodology, first we reviewed existing technologies that integrate DSRC with other wireless technologies and secondly, the study is carried out to highlight the limitations for each supporting vehicular communications. Thereby, the paper embeds a brief comparative analysis. Finally, an algorithm is proposed to integrate DSRC and 4G-LTE with a novel Optimal Clustering based Data Forwarding Protocol for efficient data transmission to attain better performance in IoV. The performance of the proposed algorithm is compared with the existing approaches using the NS-3 simulation tool. The obtained results demonstrate that the proposed algorithm outperforms over the existing approaches in terms of End to End Delay and throughput. ,",",					,,,					,,,				,"
"
			Violence Detection over Online Social Networks: An Arabic Sentiment Analysis Approach
					",",											Violence Detection, 											Social Networks, 											Sentiment Analysis, 											Arabic Lexicon, 											Feature Extraction									,","2021-07-28,","Today, the influence of the social media on different aspects of our lives is increasing, many scholars from various disciplines and majors looking at the social media networks as the ongoing revolution. In Social media networks, many bonds and connections can be established whether being direct or indirect ties. In fact, Social networks are used not only by people but also by companies. People usually create their own profiles and join communities to discuss different common issues that they have interest in. On the other hand, companies also can create their virtual presence on the social media networks to benefit from this media to understand the customers and gather richer information about them. With all of the benefits and advantages of social media networks, they should not always be seen as a safe place for communicating, sharing information and ideas, and establishing virtual communities. These information and ideas could carry with them hatred speeches that must be detected to avoid raising violence. Therefore, web content mining can be used to handle this issue. Web content mining is gaining more concern because of its importance for many businesses and institutions.  Sentiment Analysis (SA) is an important sub-area of web content mining.  The purpose of SA is to determine the overall sentiment attitude of writer towards a specific entity and classify these opinions automatically. There are two main approaches to build systems of sentiment analysis: the machine learning approach and the lexicon-based approach. This research presents the design and implementation for violence detection over social media using machine learning approach. Our system works on Jordanian Arabic dialect instead of Modern Standard Arabic (MSA). The data was collected from two popular social media websites (Facebook, Twitter) and has used native speakers to annotate the data. Moreover, different preprocessing techniques have been used to show their effect on our model accuracy. The Arabic lexicon was used for generating feature vectors and separate them to features set. Here, we have three well known machine learning algorithms: Support Vector Machine (SVM), Naive Bayes (NB) and k-Nearest Neighbors (KNN). Building on this view, Information Science Research Institute’s (ISRI) stemming and stop word file as a result of preprocessing were used to extract the features. Indeed, several features have been extracted; however, using the SVM classifier reveals that unigram and features extracted from lexicon are characterized by the highest accuracy to detect violence.,",",					,,,					,,,				,"
"
			Adaptive Smart Traffic Accidents Management System
					",",											Clustering, 											Cupcarbon, 											IoT, 											WSN, 											5G									,","2021-07-28,","The proliferation of smart devices, IoT applications and wireless communication technologies contribute in countries development, society’s security, cost reduction, and customer services satisfactions; since they are used in different aspects of our life. Traffic congestion and accidents are increased recently and reached critical limits, so these contribute in initiating sever problems for researchers, governments and industry over the last few decades. Traffic accidents have many defects relating to increase number of death, infrastructure distribution, and health injuries; therefore, there is a crucial need to develop and modify an approach that utilizes the new technology to limit and prevent the traffic accidents.  Wireless sensors networks are developed to support smart solutions in smart cities like smart traffic, smart grid and others. In this research we developed a comprehensive approach to achieve the following three important goals in smart accident elimination. The first goal is to minimize the number of exchange information packets between sensors to save the battery life through developing and adapting clustering schema to minimize the number of exchanges information packets. The second goal is to calculate and determine the optimum route from accident location to the nearest rescue location by developing a dynamic routing schema   that is calculated by the control station depending on a cost heuristics function. The third goal is to predicate the accident causes and minimize the probability of accidents occur using a warning message schema and drawing some obstacles on some routing paths. Cupcarbon simulator and MATLAB software tool are developed to simulate different scenarios in order to proof the research goals.,",",					,,,					,,,				,"
"
			How Effectively Can Students’ Personal Smartphones be Used as Tools in Physics Labs?
					",",											Smartphone Sensors, 											School Lab, 											BYOD, 											Physics Experiments									,","2021-07-28,",,",					,,,					This study seeks to answer the question of how effectively students can use their smartphones as tools for measuring and processing data when they perform physics experiments. The research was conducted in a local secondary school in Athens, Greece. The sample consisted of fifty-two 16-year-old students (10th grade). The students formed 26 pairs, and were asked to perform an experiment using their smartphones for measuring, processing and saving data, and then to email the data file to the researchers. During the implementation, students of each pair completed the steps on a worksheet. Two researchers monitored each pair individually and recorded scores and comments on evaluation sheets. The worksheets, the evaluation sheets, and the experimental data emailed by each pair constituted the data of the present study. The findings of the study show that the integration of students' smart mobile devices in the performance of physics experiments in the classroom or in the school lab is possible without posing particular problems. However, this integration presupposes the proper planning by the teacher and the dedication of appropriate time both for the preparation of the students for the activity, and for the installation of the necessary applications in the devices.,,				,"
"
			Design and Evaluation Study of Performance of Optical Wireless Sensors Network for Achieving High Data Rate and Power Saving
					",,"2021-07-28,","One of the major global issues today is the growing requirements for high-speed data transmission, energy consumption, and the huge volume of data utilized by a variety of multimedia applications such as video streaming, monitoring systems, and gaming. In this research, an analysis is carried out to study the design and evaluation of performance underwater OWC systems (UOWC) through medium communication link ranges to overcome absorption and scattering and to meet the requirements of a wide variety of optical wireless applications. Two modulation schemes of technology have been proposed in the UOWC system which is Differential Phase Shift Keying (DPSK) modulation with Direct Detection (DD) and the DPSK modulation with Coherent Detection (CD), both of them used Optical Orthogonal Frequency Division Multiplexing (OFDM) based on different configurations of multi-input multi-output technology (MIMO).  The mathematical model has been proposed to calculate optimal beacon period (BI) and listen to the interval (LI) for preventing overlapping time between the signals and the required power is reduced. By using different types of water the simulation results are displayed the best performance of the UOWC system from link rang and receiver sensitivity. The simulation result of BER is equal 10,,, BI equal to 85ms, and LI equal to 108ms.,",",					,,,					,,,				,"
"
			Innovative Delegation Application in Thai National Digital Identity Platform
					",",											Digital delegation application, 											Digital identity delegation, 											Thai National Digital Identity.									,","2021-07-28,",,",					,,,					The national digital identity platform is a robust scheme that enables individuals and entities to prove who they are to digitally access critical information or services. However, current digital identity systems do not sufficiently consider delegation between entities from the viewpoint of dynamic authorizers and permissions. This study aims to understand the pain points and expectations of end-users and service providers in the Thai national digital identity platform, to design a dynamic delegation model and develop an innovative delegation application to test user acceptance. The research utilizes semi-structured interviews with 3 digital identity experts, two focus groups, one with 6 service providers, and the other one with 6 end-users. Based on results from the data analysis and conceptual prototype design, validated by experts, the proposed prototype is practical and suitable for developing a digital delegation mobile web application that is convenient, safe, secure, and reliable utilizing blockchain technology under the Thai national digital identity platform. The technology acceptance model was used to test the application acceptance with 42 participants. The result reveals that both person and businesses intend to adopt the digital delegation mobile web application. Use cases of the application include users give their power to trusted entities and Government Agency to provide services to the citizens via the authorized delegatee.,,				,"
"
			Smart-Hadir – Mobile Based Attendance Management System
					",",											Attendance Management System, 											Attendance Records, 											Registration, 											NFC, 											QR Code, 											beacon, 											Smart-Hadir App, 											Mobile App Development									,","2021-07-28,",,",					,,,					Manual time and attendance systems are still being practiced within a considerable number of universities, colleges, government departments and companies. This traditional system requires the user to fill in their timesheets or sign on the attendance sheet manually. The practice inefficient and ineffective for university’s student attendance recording due to,  i) lecturer may lose the attendance sheet, ii) student may sign for their friends, iii) student may forget to sign on the attendance sheet, and iv) challenging to monitor attendance rate and analysis. Thus, there is a necessity to change these traditional attendance recording methods to a more efficient one. The attendance rate is significant because students are more likely to succeed in academics when they attend classes consistently. As such, a mobile app, namely Smart-Hadir, is designed to overcome problems as mentioned above. Smart-Hadir is a smartphone application developed by UMS aimed to record student attendance digitally during a class session. The technology used is slightly different from the existing applications, where Smart-Hadir is not using RFID technology but rather covers NFC, QR code, and beacon technologies. Attendance could be taken either using NFC or QR code displayed on the wall using a projector or scan the available beacon. Lecturers can create class session using the Smart-Hadir anywhere and anytime. Students are then required to take their attendance either scan the QR code, search the beacon, or swiped their student card on the lecturer’s phone. The students’ attendance will be immediately captured and saved into the database. Lecturers will be able to view the statistic report, identify and e-mail absentees, as well as monitor students’ attendance behaviour. A statistical report can be generated. It shows the percentages of students’ attendance rate, absent rate, and status. The Smart-Hadir is advantageous as it can be used to capture meeting or event attendance record as well.,,				,"
"
			Applying the MCMSI for Online Educational Systems Using the Two-Factor Authentication
					",,"2021-07-13,"," ,,This paper researches the evolution process of what is called two-factor authentication technique and its adaptation related to the educational system through the Internet. This technique is a measure of security employed, particularly in scopes which have valuable information like bank services. It witnesses developments so far as today, in parallel with the developments occurring in technology. Since this technique consists of two phases, the security is going to be developed. Today, bank services, devices using the Internet of things, tickets of public transportation and lots of other scopes are utilized. In the information field, the researchers and scientists always update the techniques of two-factor authentication to resist the attacks related to security. Last years, the researchers studied novel technologies like behavioral biometric or biometrics. The training through the Internet may become much more useful than going to someplace to study a specific course. Mostly, the participants in the trainings through the Internet get many certificates for success, participation, etc. The principal problem is how to certify the truthiness of the participant who desires to get the certification. In this paper, and by researching the techniques of two-factor authentication, the Mimic Control Method with Sound Intensity (MCMSI) is proposed to be used for the training through the Internet.,",",					,,,					,,,				,"
"
			Implementing M-Learning System for Learning Mathematics Through Computer Games and Applying Neural Networks for Content Similarity Analysis of an Integrated Social Network
					",",											m-learning, 											e-learning, 											game based learning, 											Mathematics, 											neural networks, 											social network analysis									,","2021-07-13,",,",					,,,					In order to make e-learning systems more readily available for use, the majority of new systems are being developed in a form suitable for mobile learning, i.e. m-learning. The paper puts focus on the parts of the implementation of an e-learning system which is not restricted to desktop platforms, but works equally well on smartphones and tablets in the form of m-learning. The implemented system uses educational computer games for learning Mathematics in primary schools and has an integrated social network, which is used for communication and publishing of the content related to the game. Besides analysing the platforms used for accessing the system (desktop/mobile), since students are given a choice, the paper also questions how to interpret messages when they contain concepts in student jargon or generally unknown to teachers, and shows that these messages can be interpreted by applying neural networks.,,				,"
"
			The Design and Evaluation of A New Smartwatch User Interface
					",",											Smartwatches, 											User Interfaces, 											Interaction, 											Usability, 											Universal design, 											prototype									,","2021-07-13,","This paper discusses and presents a new prototype design for a smartwatch user interface. The user interface was designed aiming to adhere to some of the main universal design principles and be a more usable design. The prototype user interface was then compared with a Samsung Gear S3 smartwatch user interface. The comparison was done via an experiment and a series of realistic tasks. The aspects being investigated were task times, errors and subjective user satisfaction. The data collected were statistically analysed. The overall results showed that the prototype user interface fostered faster task times, fewer errors and more user satisfaction.,",",					,,,					,,,				,"
