,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
310,mobilelearning,remotelabs,engineeringeducation,j2me,,,,,,,,,,,,
311,celtelnigeria,mlearningnigeria,mobileserviceprovidersnigeria,mtnnigeria,,,,,,,,,,,,
312,education,mobiletechnology,handhelds,globalconnections,,,,,,,,,,,,
313,engineeringeducation,eportfolios,mobilelearning,remotelaboratories,teleoperatedlaboratories,,,,,,,,,,,
314,mooc,mobilesfordevelopment,moocconsortia,mobileecosystem,mlearning,,,,,,,,,,,
315,mobilelearning,attitudes,highereducation,gulfregion,,,,,,,,,,,,
316,computeraidedinstruction,computeraidedassessment,electroniclearning,,,,,,,,,,,,,
317,congestioncontrol,voip,captcha,fairness,convergencespeed,,,,,,,,,,,
318,mobilelearning,mobiledevices,scientificwork,evernote,,,,,,,,,,,,
319,learning,autism,mobilebasedapplication,smartmobilephones,nonverbal,,,,,,,,,,,
320,contextawarecomputing,bluetooth,wifi,proximity,socialnetworks,datamining,,,,,,,,,,
321,mms,mobiletelemedicinesystem,multimediamessage,streaming,,,,,,,,,,,,
322,realtimeaugmentedreality,4daugmentedreality,realtimemobilegeoapp,,,,,,,,,,,,,
323,onlinelearningvideos,massiveopenonlinecourse,mooc,videoproduction,elearning,,,,,,,,,,,
324,disastertraining,smartphoneapplications,ict,,,,,,,,,,,,,
325,mobiletelecommunications,selforganizingmap,customersegmentation,,,,,,,,,,,,,
326,mlearning,mobileapplication,elearning,socialnetworkingsites,,,,,,,,,,,,
327,mobilelearningsecurity,mlearningsecurity,securitythreats,,,,,,,,,,,,,
328,musicperformance,scalesandacoustics,mobiledevices,musicinformatics,,,,,,,,,,,,
329,locationbasedscavengerhunt,mobilelearning,gamification,,,,,,,,,,,,,
330,usability,userexperience,usercentereddesign,mobilelearning,,,,,,,,,,,,
331,mlearning,mobiletechnology,,,,,,,,,,,,,,
332,mobilelearning,elearning,multimedia,ebook,gamebook,ibooks,epub3,,,,,,,,,
333,mathematicseducation,mobileapplications,mobilelearning,onlineapplications,,,,,,,,,,,,
334,appdevelopment,learningprocess,mobiledocumentation,mobilelearning,sloyd,,,,,,,,,,,
335,wirelessinternet,obstacles,students,learning,theuniversityofjordan,,,,,,,,,,,
336,esience,ilab,onlinelab,measurement,realtime,onlinelabs,fpga,elvis,,,,,,,,
337,onlinelab,pidcontroller,temperaturesystem,,,,,,,,,,,,,
338,didalabtoolkit,ecourse,labview,moodleplatform,optoelectronic,remotelaboratory,uc1ilab,,,,,,,,,
339,laboratoryexperiments,remotelabs,reuseofremotelabs,engineeringeducation,,,,,,,,,,,,
340,elearning,isa,labview,oscillatorexperiment,remotelaboratories,,,,,,,,,,,
341,esienceproject,heatexchanger,maghreb,remotelab,,,,,,,,,,,,
342,blendedlearning,mobilelearning,technologyadoption,,,,,,,,,,,,,
343,mobilephoneinclassroom,multitasking,impactonstudentslearning,mobilephoneactionsinclassroom,,,,,,,,,,,,
344,mobilelearning,mobilelanguagelearning,mobilelearningapplication,,,,,,,,,,,,,
345,agentassistedbanking,electronicbanking,mobilebanking,securedbanking,,,,,,,,,,,,
346,smartphones,addiction,humanbehavior,technologysocialfactors,,,,,,,,,,,,
347,telehomecare,interagentcommunication,electronicmedicalrecord,informationandcommunicationtechnologies,,,,,,,,,,,,
348,visuallyimpared,educational,audiobooks,portal,vui,,,,,,,,,,,
349,geneticalgorithm,crossover,mutation,tsp,,,,,,,,,,,,
350,javaprogramming,mobilelearning,mobileteaching,seriousgaming,,,,,,,,,,,,
351,healthcare,individualfactors,ruralarea,saudiarabia,smartphone,tam,,,,,,,,,,
352,mobilelearning,englishlanguage,grammar,learningstyles,fslsm,instructionalsystemdesign,isd,addie,higherlearninginstitutions,graduates,malaysia,,,,,
353,computerizedobservation,datacollection,observationsystems,mobiledevices,computerassisteddirectobservationprograms,,,,,,,,,,,
354,wsns,networkefficiency,powerconsumption,routingprotocol,energyawareroutingpath,,,,,,,,,,,
355,arabicspeechrecognition,automatedspeechrecognitionasr,mobileapplication,mobilelearning,sayquran,,,,,,,,,,,
356,brandawareness,ecommerce,europeinternetshopping,ebusiness,,,,,,,,,,,,
357,liquidspheres,operativesystems,privacy,termsandconditions,smartphones,,,,,,,,,,,
358,gamebasedlearning,gamification,mobilelearning,motivation,universityeducation,,,,,,,,,,,
359,augmentedreality,mobilecomputing,humancomputerinteraction,,,,,,,,,,,,,
360,augmentedreality,framework,android,softwareevaluation,,,,,,,,,,,,
361,mobilelearningmlearning,electroniclearningelearning,mobilewireless,studentsperceptions,,,,,,,,,,,,
362,dijkstrasshortestpathalgorithm,mobiledevices,mobileuserinterface,smallscreeninterface,usersatisfaction,,,,,,,,,,,
363,augmentedreality,leanmanufacturing,mobiledeviceandmudawaste,,,,,,,,,,,,,
364,orthogonalfrequencydivisionmultiplexing,peaktoaveragepowerratio,discretewavelettransform,entropy,multipleinputmultipleoutput,,,,,,,,,,,
365,middleschool,mobilephone,mathematicsteachers,teachersattitudes,teachersdecisions,,,,,,,,,,,
366,educationalprograms,educationaltechnology,physicseducation,sensors,,,,,,,,,,,,
367,contextengine,contextawareservices,mobilecomputing,semanticcomputing,,,,,,,,,,,,
368,ereaderdevices,amazonkindle,mobileassistedenglishlanguagelearning,m3evaluationframework,,,,,,,,,,,,
369,computernetwork,dijkstrasshortestpathalgorithm,mobiledevices,perception,smallscreeninterface,,,,,,,,,,,
370,smartphoneaugmentedreality,solarobservation,solardiurnalmotion,3dcontent,,,,,,,,,,,,
371,mobilelearning,attitudes,faculty,universities,,,,,,,,,,,,
372,environmentalmonitoring,mobiletechnology,apps,sensors,mobilephones,,,,,,,,,,,
373,webtechnologies,fieldtrip,pervasiveenvironment,mobilelearningscenario,collaborativeprocessintegration,geographicorchestration,emergingtechnologies,,,,,,,,,
374,cookingreciperecommendation,foodingredients,objectrecognition,smartphoneapplication,,,,,,,,,,,,
375,socialnetworks,digitalcommunication,emarketing,,,,,,,,,,,,,
376,mobilemedia,mobileecosystem,app,tourism,destinationbranding,,,,,,,,,,,
377,conductive,elearning,gamebasedlearning,card,mobilelearning,,,,,,,,,,,
378,mobileapplicationsandservices,mlearning,androidos,educationalservices,webservices,softwaredevelopment,,,,,,,,,,
379,usability,qt,engineeringeducation,mobilelearning,,,,,,,,,,,,
380,smartphoneaugmentedreality,lunarobservation,lunarphase,astronomyeducation,,,,,,,,,,,,
381,androidapplication,fourierseriesexpansions,undergraduateelectricalengineeringeducation,,,,,,,,,,,,,
382,classroomresponsesystems,audienceresponsesystems,livefeedback,largeaudiences,,,,,,,,,,,,
383,mlearning,tablets,socialconstructivelearning,,,,,,,,,,,,,
384,sustainability,mobilelearning,smartphones,outdoorlearning,experientiallearning,extramurallearning,,,,,,,,,,
385,mobileservices,personalization,privacy,usercontrol,usermodel,,,,,,,,,,,
386,deeplearning,mobiledevices,mobilelearning,mobilelecturing,lecturevodcast,,,,,,,,,,,
387,mobilewebapps,nativeapps,html5,responsivewebdesign,ict4d,,,,,,,,,,,
388,domotic,home,automation,mobile,,,,,,,,,,,,
389,internetofthings,mhealth,nfc,qrcodes,,,,,,,,,,,,
390,mobiletagging,nfc,qrcode,technologyenhancedlearning,,,,,,,,,,,,
391,mlearning,inferentialstatistics,learningobjects,,,,,,,,,,,,,
392,highschool,studentengagement,mobiledevices,teacherprofessionaldevelopment,,,,,,,,,,,,
393,digitalsociety,healthawareness,ictfordevelopment,mobileapplication,,,,,,,,,,,,
394,situatedsimulation,reliability,mediaaesthetics,visualizinguncertainty,interpretation,digitalreconstruction,,,,,,,,,,
395,theunifiedtheoryofacceptanceanduseoftechnologyutaut,websiteservicequality,performanceexpectancype,effortexpectancyee,socialinfluencesiandfacilitatingconditionfc,,,,,,,,,,,
396,virtuallaboratory,wirelesscommunications,sensornetworks,,,,,,,,,,,,,
397,collaborativeplanning,healthcaretaskmodelling,mobileapplication,synchronousasynchronousinteraction,,,,,,,,,,,,
398,mimo,ofdm,peaktoaveragepowerratio,wavelet,eigenvectorscomponent,,,,,,,,,,,
399,decisionsupport,elearning,mobile,pda,smartphone,,,,,,,,,,,
400,nfc,rfid,mifare,,,,,,,,,,,,,
401,blendedlearning,handover,handoff,handsonlaboratory,mlearning,3g,gsm,,,,,,,,,
402,cscw,mcscw,groupware,softwaredevelopmentframeworks,mobileapplications,,,,,,,,,,,
403,mobileassistedlanguagelearningmall,mobilelearning,mlearning,seamlesslearning,taskbasedlearning,,,,,,,,,,,
404,ecommerce,mpayment,transfer,money,mwallet,mobilephone,,,,,,,,,,
405,adaptation,content,context,mobilelearning,,,,,,,,,,,,
406,mobilephone,mobilephoneusage,studentsattitudes,,,,,,,,,,,,,
407,ber,demodulator,eyepattern,matlab,modulator,qpsk,,,,,,,,,,
408,mobilenotification,socialnetworkservicesns,fieldstudy,userexperience,,,,,,,,,,,,
409,learningsupportictdevices,mlearning,ipad,iphone,ios,tabletpc,,,,,,,,,,
410,signlanguage,wirelessj2me,javawirelesscommunicationtechnologies,jsf,jsp,jms,svg,j2se,client,server,handheldsystem,mobilesystem,tcpip,videostreaming,adobeaftereffects,httpconnectivity
411,mobileportal,wap,pharmaceuticalservies,smartphones,,,,,,,,,,,,
412,apple,api,rubyonrails,objectivec,,,,,,,,,,,,
413,remotelab,remotecontrol,mobiletechnologies,solarboilers,,,,,,,,,,,,
414,mobileapplicationsandservices,computernetworks,mobiletelephony,educationalapplications,elearning,mlearning,,,,,,,,,,
415,classroom,mobile,learning,persuasion,,,,,,,,,,,,
416,agent,mobilegovernment,contentadaptation,egovernment,mediation,,,,,,,,,,,
417,elearning,systemflexibility,utaut,webbasedtraining,,,,,,,,,,,,
418,mobiletechnologies,mobilephones,informallearning,curriculum,,,,,,,,,,,,
419,driverriskometer,driverdistraction,riskassessment,cellphones,motionclassifier,,,,,,,,,,,
420,nfcbasedpayment,transactionprotocol,mobilepayment,secureprotocol,,,,,,,,,,,,
421,internetofthings,internetofcontent,smarthome,smarthospital,smartcity,serviceinteroperability,serviceconnectivity,dependableservices,,,,,,,,
422,mobileapplication,muscialapplication,,,,,,,,,,,,,,
423,openaccesslab,fieldmeasurementsexperiments,broadbandwireless,wimax,pathloss,propagationmodels,andthroughput,,,,,,,,,
424,socialnetworks,mobilesocialnetworks,rdf,,,,,,,,,,,,,
425,remoteexperimentation,education,mobiledevices,moodle,3dvirtualenvironment,opensource,openhardware,,,,,,,,,
426,mobilelearningdesign,mobilecollaborativelearningobjects,collaborativelearning,informallearning,,,,,,,,,,,,
427,mobiletracking,architecture,softwarealgorithms,serverperformancestudy,pilottest,elderlyfeedback,,,,,,,,,,
428,augmentedreality,situatedsimulations,situatedlearning,interdisciplinarity,,,,,,,,,,,,
429,wifi,proximity,contextaware,indoorpositioning,,,,,,,,,,,,
430,multiagent,multidimensionalrating,proactivity,recommendersystem,,,,,,,,,,,,
431,electroniclearning,mobilecomputing,statistics,,,,,,,,,,,,,
432,bandwidth,performance,wirelessmeshnetwork,controlpacket,cloud,,,,,,,,,,,
433,constraintsviolation,mobiledatabase,mobiledatabasemodel,objectdatamodel,,,,,,,,,,,,
434,mobilemedia,mobilecontent,mobileapplications,mobilenews,mobileadvertising,mobilebooks,mobilemusic,mobiletelevision,mobilegames,,,,,,,
435,educationalgames,usabilityevaluation,usertesting,chemistry,,,,,,,,,,,,
436,distributedinformationsystems,computerapplications,mobilecommunicationandsoftware,contextaware,,,,,,,,,,,,
437,activityscharacteristics,mobilephone,technologicalenvironment,studentsemotions,affectaspect,,,,,,,,,,,
438,eaccessibility,mobileaccessibility,assistivetechnology,eaccessibilitystandards,designforall,,,,,,,,,,,
439,digitalcommunication,digitalmarketing,onlinecommunity,socialmedia,,,,,,,,,,,,
440,mlearning,studentsofmedicine,graduatesofmedicine,medicalenglish,elearning,,,,,,,,,,,
441,multimediamessage,messagesize,mms,clientserverapplication,,,,,,,,,,,,
442,mobilecollaborativelearningmcl,mobiledevices,serversidearchitecture,clientsideprotocol,groupapplication,cacheserver,,,,,,,,,,
443,accessibility,assistivetechnologies,scenarios,trends,,,,,,,,,,,,
444,mobiledevices,science,informationtechnology,development,,,,,,,,,,,,
445,mobilelearning,mobilecollaborativelearning,usabilitytest,usabilityfactors,,,,,,,,,,,,
446,mobiledevices,gametheory,gamingineducation,vocabulary,,,,,,,,,,,,
447,mlearning,contextawareness,personalizedlearning,openlearnermodeling,,,,,,,,,,,,
448,highereducation,mobilelearning,perfomancecenteredlearning,technologyenhancedlearning,,,,,,,,,,,,
449,mlearning,bci,semiotic,,,,,,,,,,,,,
450,electronictouristguide,mobiletouristguide,semanticwebtechnology,touristinformationsystem,touristapplication,,,,,,,,,,,
451,braille,android,keyboard,mobileapplication,accessibility,blindness,visualimpairment,,,,,,,,,
452,mobilewirelesssensornetworks,unmannedaerialvehicles,sinkplatform,dataanalysis,,,,,,,,,,,,
453,googleapps,impact,highereducation,oman,,,,,,,,,,,,
454,aphasia,mobiletablet,recovery,stroke,,,,,,,,,,,,
455,cloudcomputing,mobileapplications,cloudbasedapplications,mobilelearningandmobilecommerce,,,,,,,,,,,,
456,internetofeverything,emergingtechnologies,mobiletechnology,remoteandvirtuallaboratories,,,,,,,,,,,,
457,educationalapplication,englishlanguagelearning,speakingskills,virsbud,,,,,,,,,,,,
458,email,spamdetection,senderscore,reputationsystem,blockchain,mobileapplication,marketingemail,,,,,,,,,
459,aes,md5,socialmedia,chatting,endtoendsecurity,,,,,,,,,,,
460,usability,mobilelearning,culturallyappropriatedesign,,,,,,,,,,,,,
461,mobileapplication,culinary,gdss,topsis,,,,,,,,,,,,
462,iotsolutions,rfid,classification,smartsystems,platforms,middleware,dataflow,,,,,,,,,
463,mobileapps,smartdevices,learningactivities,mobilesupportededucation,,,,,,,,,,,,
464,fingerprint,authentication,sdk,interoperability,biometrics,,,,,,,,,,,
465,internetofthingsiot,nodemcu,officeautomation,,,,,,,,,,,,,
466,gamebasedlearning,problemsolving,,,,,,,,,,,,,,
467,mlearning,localwisdom,learningmedia,vectorrepresentation,diagramrepresentation,,,,,,,,,,,
468,internetofthings,cloudcomputing,communicationsecurity,smartdevices,wirelesscommunications,,,,,,,,,,,
469,deeplearning,knowledgemanagement,videoclassification,,,,,,,,,,,,,
470,mobiletechnology,applications,autisticspectrumdisorders,emotions,emotionalintelligence,,,,,,,,,,,
471,research,researchactivity,process,informationandcommunicationtechnology,learningandmethodicalcomplex,,,,,,,,,,,
472,education,elearning,facebook,socialnetworks,web20,learningmanagementsystemlms,communication,,,,,,,,,
473,usability,evaluation,forcetouch,touchbaseduserinterface,universaldesign,smartphones,,,,,,,,,,
474,informallearning,learningcommunities,mobilelearning,smartphones,,,,,,,,,,,,
475,qualityassessment,technicalcriteria,spoc,mobileapp,isostandards,,,,,,,,,,,
476,tablet,primarylevels,thailand,,,,,,,,,,,,,
477,mhealth,pregnancy,healthcareinformatics,physicalactivity,wearablesensors,,,,,,,,,,,
478,discriminantanalysis,smsadvertising,infotainment,,,,,,,,,,,,,
479,digitallearning,gamebasedlearning,videogames,mobiledevices,degreeofcompetence,flicbuttons,,,,,,,,,,
480,students,mobilephoneusage,mlearningreadiness,mlearningadoption,,,,,,,,,,,,
481,mobilelearning,technologyreadiness,automechaniceducation,,,,,,,,,,,,,
482,adaptivelearning,mlearning,learningstyle,shortestpath,,,,,,,,,,,,
483,selfefficacy,onlinelearning,theoryofplannedbehaviour,smartphoneapplication,,,,,,,,,,,,
484,mobilebanking,utaut2,massmedia,effortexpectancy,jordan,,,,,,,,,,,
485,sequentialpatternminingspm,video,learning,mostimportantdifficultlearningtopicsmidlt,mobile,,,,,,,,,,,
486,moodle,learningmanagementsystem,scaledevelopment,validity,reliability,,,,,,,,,,,
487,smartphone,pisa,science,reading,logicalreasoning,,,,,,,,,,,
488,socialmedia,learning,teaching,methodology,multimedia,,,,,,,,,,,
489,cloudcomputingcc,mobileapplication,artificialintelligenceai,machinelearningml,mobilelearning,australianhighereducationsector,,,,,,,,,,
490,mobileinternet,teachercandidates,specialeducation,,,,,,,,,,,,,
491,mlearning,englishasaforeignlanguage,mobileassistedlanguagelearningmall,userexperienceux,normalization,onlinetest,design,,,,,,,,,
492,foreignlanguagelearning,telecollaboration,etandemlearning,socialnetworks,voip,,,,,,,,,,,
493,userinvolvement,occupationaltherapy,healthinformationtechnology,mobilehealthcareapplication,,,,,,,,,,,,
494,notification,androidsmartphone,academic,announcement,,,,,,,,,,,,
495,deaf,healthyphone,usercentereddesign,emergencycall,theiconographyinterface,,,,,,,,,,,
496,mobileapplication,onlinetransportationapplication,fraudmitigation,,,,,,,,,,,,,
497,educationalmobilegame,seriousgame,motivation,disturbancefactor,gamedesign,fractions,,,,,,,,,,
498,colorblindness,protanopia,duteranopia,tritanopia,daltonization,lmsdetonaization,labcolor,opencv,android,,,,,,,
499,blendedlearning,skypemedia,academicwriting,mobile,facultymember,,,,,,,,,,,
500,mobileaugmentedreality,ar,mobilelearning,systematicreview,augmentedreality,mobiledevices,,,,,,,,,,
501,mobilelearning,effectiveness,designguidelines,englishlanguagelearning,,,,,,,,,,,,
502,mlearning,mobileprocessing,developmentapproach,mcda,comparativestudy,,,,,,,,,,,
503,mobiletechnology,secondaryeducation,literacy,mentalhealth,,,,,,,,,,,,
504,ubiquitouscommerce,ubiquitouscomputing,mobilecommerce,technology,userexperience,,,,,,,,,,,
505,communicationboard,usability,usercentereddesign,deafpeople,,,,,,,,,,,,
506,contextawaremobileapplication,tourismapplication,usercentereddesign,emotions,emotionalengagement,,,,,,,,,,,
507,userexperience,stroke,communicationboard,activityofdailyliving,usercenterdesign,,,,,,,,,,,
508,mobiletechnology,secondaryeducation,highorderthinkingskills,specialeducation,,,,,,,,,,,,
509,prehospital,mobilebasedapplication,roadtrafficaccidentsvictimscare,,,,,,,,,,,,,
510,mobileapplications,healthdss,behavioralintentions,nursingstaff,tam,,,,,,,,,,,
511,gesturerecognition,imageprocessing,signlanguage,videoprocessing,,,,,,,,,,,,
512,stem,mobilelearning,mobiledevices,education,,,,,,,,,,,,
513,handwritingrecognition,convolutionalneuralnetwork,multiplicationtable,learning,children,mobilelearning,,,,,,,,,,
514,arabic,mobilelearning,distancelearning,mutawwif,mobilegadget,,,,,,,,,,,
515,cancer,earlydetection,mobilelearning,,,,,,,,,,,,,
516,augmentedreality,learningmedia,aurasma,dailyprayer,,,,,,,,,,,,
517,mobileandroid,entrepreneurialcharacteristic,psychometrictest,gamification,,,,,,,,,,,,
518,culinaryrecommendation,mobileapplication,ahp,ahptopsis,fuzzyahp,,,,,,,,,,,
519,mobilelearning,technologyreadiness,innovationcharacteristics,innovationresistance,statusquobias,,,,,,,,,,,
520,mobileapplication,indoorpositioningsystem,knearestneighbor,rssfingerprint,,,,,,,,,,,,
521,cloudbaseddatacenternetworks,structuresofdatacenternetworks,networkmanagement,routingindatacenternetworks,,,,,,,,,,,,
522,augmentedreality,gyroscope,dewatanawasanga,3dobject,,,,,,,,,,,,
523,mobilelearning,dictionary,anggahungguhing,balineselanguages,mothertongue,android,waterfallmodel,studentresponse,,,,,,,,
524,lungcancer,cad,artificialintelligence,kmeans,cnnandctscan,,,,,,,,,,,
525,mrom,manemo,ro,multihomed,handoff,,,,,,,,,,,
526,mobileaugmentedreality,learningmotivation,scienceexperiment,marpex,,,,,,,,,,,,
527,vivavoce,virtualreality,virtualcoaching,avatar,anxiety,,,,,,,,,,,
528,floodmanagement,floodearlywarningsystem,decisionsupportsystem,multiattributedecisionmaking,,,,,,,,,,,,
529,gamification,japanese,halal,awareness,mobileapplication,,,,,,,,,,,
530,websitesecommerceplatform,informationquality,interview,halal,ecommerce,,,,,,,,,,,
531,marhimeconceptualmodel,hearingimpaired,mobileaugmentedreality,engagement,museum,,,,,,,,,,,
532,systematicliteraturereview,engagementelement,mobileaugmentedreality,mobileapp,,,,,,,,,,,,
533,mobileonlineshopping,consumersbelieve,consumerattitude,mservices,,,,,,,,,,,,
534,citizenssatisfaction,mcommerce,intentiontouse,trust,easeofuse,,,,,,,,,,,
535,roadsideunits,cyberattacks,aodv,vanet,spam,,,,,,,,,,,
536,blockchain,transactions,decentralizedarchitecture,fakedrugs,smartcontract,ethereum,,,,,,,,,,
537,artificialintelligence,smartphones,mobilecomputing,datasecurity,,,,,,,,,,,,
538,socialmedia,publiccommunication,politicalcommunication,,,,,,,,,,,,,
539,marketingstrategies,mobilemarketing,socialnetworks,bloggers,storytelling,marketingtrends,influencers,interactivity,interaction,,,,,,,
540,mlearning,perception,education,egypt,survey,,,,,,,,,,,
541,theuseofsmartphones,smartphonesinteaching,effectsofsmartphones,,,,,,,,,,,,,
542,chc,cognitiveabilities,contextawareness,mobilecloudcomputing,visualspatialskills,visualability,visualclassiﬁcation,,,,,,,,,
543,mobilehealthapps,mobilecomputing,smartphoness,,,,,,,,,,,,,
544,adhoc,manets,aodv,dsr,nodecount,simulation,ns2,topology,,,,,,,,
545,websiteusability,websiteinteractivity,engagement,healthinformationquality,humancomputerinteraction,,,,,,,,,,,
546,evaluation,instructionprocess,cseucla,mobiletechnology,,,,,,,,,,,,
547,designquality,housingquality,informationtechnology,mobileapplication,,,,,,,,,,,,
548,elearningcourse,indoorenvironmentalcomfortinbuildings,moodle,virtuallabs,,,,,,,,,,,,
549,augmentedreality,cognitiveprocesses,directmanipulation,handtracking,,,,,,,,,,,,
550,internetofthings,legacysystems,manufacturingsystems,,,,,,,,,,,,,
551,industry40,cyberphysicalsystems,enterpriseresourceplanning,manufacturingexecutionsystem,,,,,,,,,,,,
552,energyconversioninvehicles,dataprocessinganddisplay,labviewapplicationtool,softwaretoolforroadtests,,,,,,,,,,,,
553,technology,agriculture,robot,datamining,,,,,,,,,,,,
554,projectbasedlearning,engineeringeducation,mechatronics,remotecontrol,mobileinterfaces,,,,,,,,,,,
555,networkingofhighereducationinstitutions,networkofremotelaboratories,sharingonlineresources,,,,,,,,,,,,,
556,environmentalmonitoring,instrumentation,internetofthings,wirelesssensornetwork,,,,,,,,,,,,
557,remotelaboratory,automation,control,elearning,programmablelogiccontroller,structuredtextlanguage,,,,,,,,,,
558,onlineexperimentation,sustainability,socialimpact,onlinelearning,onlinetraining,,,,,,,,,,,
559,mobiletechnology,eevaluation,highereducation,oman,,,,,,,,,,,,
560,privacyconcerns,purchaseintention,theoryofplannedbehavior,,,,,,,,,,,,,
561,googleglass,colorblindness,colorvisiondeficiency,colorperception,,,,,,,,,,,,
562,mobilehealthcareapplication,nonprescriptiondrugs,satisfaction,performance,reliability,,,,,,,,,,,
563,androidprogramming,contextawareness,fuzzyclassification,mobileapplications,,,,,,,,,,,,
564,computerskills,contextawareness,intelligenttutoringsystems,its,mobileapplications,scaffolding,technicalskills,,,,,,,,,
565,blendedlearning,evaluation,cipp,,,,,,,,,,,,,
566,datacompression,lempelzivwelch,remotelaboratory,websockets,,,,,,,,,,,,
567,innovative,etherapyservice,designofmobileapplication,highereducation,,,,,,,,,,,,
568,arounddeviceinteractionadi,humancomputerinteractionhci,mobiledevices,sensorbasedinteraction,,,,,,,,,,,,
569,wirelessnetwork,security,routing,keyexchange,asymmetricauthentication,manet,,,,,,,,,,
570,mlearning,mobilepedagogy,educationdigitaltools,learningdesign,personalizedlearning,augmentedreality,virtualreality,standardsbasedinstruction,computerassistedinstruction,intelligenttutoringsystems,,,,,,
571,medication,mobileapplication,pharmacy,,,,,,,,,,,,,
572,mobileadhocnetwork,gatewayloadbalancing,integratedinternetmanet,wlbaodv,adaptivegatewaydiscovery,geneticalgorithm,hybridframework,,,,,,,,,
573,mobileapp,mobilelearning,islamicbanking,islamicfinance,instructionaldesignmodel,,,,,,,,,,,
574,android,privacy,awareness,security,,,,,,,,,,,,
575,geofencing,geotagging,,,,,,,,,,,,,,
576,disastermanagement,locationbasedservice,smartphone,volunteers,,,,,,,,,,,,
577,bluemix,fuelefficiency,gasstationlocation,iot,monitoring,,,,,,,,,,,
578,android,headmounteddisplay,accelerometer,sensor,,,,,,,,,,,,
579,mlearning,distanceeducation,elearning,interactivelearningenvironments,modeling,,,,,,,,,,,
580,adaptivelearning,dotnetrdf,graphs,mlearning,ontology,rdf,semanticweb,shortestpath,turtle,userprofile,,,,,,
581,mobilelearning,authenticlearning,collaborativelearning,basicscienceprocessskills,,,,,,,,,,,,
582,autismspectrumdisorder,communicationskill,immersion,socialperformance,virtualreality,,,,,,,,,,,
583,malware,security,cloudenvironment,,,,,,,,,,,,,
584,cloudcomputing,securityissues,malware,staticbinarysearch,bmh,hadoop,,,,,,,,,,
585,informationextraction,arabiclanguageprocessing,classifiedads,attributebasedsearching,,,,,,,,,,,,
586,dnasteganography,hidingcapacity,datahiding,datastorage,,,,,,,,,,,,
587,dnacomputing,quantumcomputation,biocomputer,molecularcomputation,,,,,,,,,,,,
588,sentimentanalysis,opinionmining,instagram,socialvalue,aesthetics,,,,,,,,,,,
589,keywordsextraction,multimedia,ontology,specialeducation,,,,,,,,,,,,
590,bigdata,cloudcomputing,analytics,,,,,,,,,,,,,
591,clouddatastorageandprocessingsecurity,documentkeyprint,homomorphicencryption,qrcodes,,,,,,,,,,,,
592,mobilelearning,sms,distanceeducation,perception,experience,malaysia,,,,,,,,,,
593,wirelesssensornetwork,ieee802154,coastalenvironment,oceanobservingsystems,performance,,,,,,,,,,,
594,manet,multihop,positionbased,routing,topologybased,,,,,,,,,,,
595,manets,dsrprotocol,multipath,threshold,crosslayer,broadcasting,,,,,,,,,,
596,children,mobileapplicationforchildren,softwareengineering,childcomputerinteractioncci,mobilelearning,,,,,,,,,,,
597,mobiletelemonitoringsystem,healthcare,webbasedframework,wirelessandmobilecomputing,telehealth,,,,,,,,,,,
598,mobilelearning,instructionalapproaches,pedagogicalactivities,socialconstructivism,collaborativelearning,blendedlearning,metaanalysis,,,,,,,,,
599,ict,intervention,asd,developmentaldisabilities,augmentativeandalternativecommunicationaac,computerassistedlearningcal,computerassistedinstructioncai,mobiletechnology,ipad,ipod,iphone,tablet,smartphone,childrenwithautism,,
600,mlearning,survey,mobiledevice,framework,,,,,,,,,,,,
601,computeraidededucation,thermoopticalplant,remotecontrol,mobileapplication,,,,,,,,,,,,
602,bodysensornetworks,medicalservices,pervasivecomputing,ubiquitouscomputing,,,,,,,,,,,,
603,preschooleducation,mobilelearning,,,,,,,,,,,,,,
604,mobilelearning,questionanswering,educationalontology,multimedia,education,,,,,,,,,,,
605,android,balinesetraditionalfood,recursivealgorithm,treestructure,,,,,,,,,,,,
606,application,android,maliciousactivity,nbs,securityapi,smartphone,,,,,,,,,,
607,hearingimpairedandblind,communication,mobileapplication,texttospeech,android,,,,,,,,,,,
608,crossplatformdevelopment,android,windowsphone7,mdaapproach,ios,,,,,,,,,,,
609,mobilebasedassessment,mobilelearning,motivation,technologyacceptancemodel,,,,,,,,,,,,
610,skiingingjuries,mobileapps,skipatroller,,,,,,,,,,,,,
611,mobilegameapplication,autismspectrumdisorder,interactive,science,,,,,,,,,,,,
612,mobileapplications,mobilecommerce,retailing,smartphones,,,,,,,,,,,,
613,elearning,mobilebasedevaluationsystems,interactiveeducationalapplications,coursemanagementsystem,mlearning,semanticweb,,,,,,,,,,
614,mobilecloudcomputing,mlearning,dlearning,elearning,xml,,,,,,,,,,,
615,mobileservices,androidsystems,pushnotifications,realtimeinformation,,,,,,,,,,,,
616,headmounteddisplay,accelerometer,headmotionestimation,humancomputerinteraction,naturaluserinterface,,,,,,,,,,,
617,awareness,highereducation,malaysia,mobilelearning,readiness,,,,,,,,,,,
618,mobilelearning,cooperativelearning,jigsaw,education,mobiletechnology,,,,,,,,,,,
619,3dmap,graphicalprocessingunit,supportvectormachineincorerendering,outofcorerendering,,,,,,,,,,,,
620,businessdataprocessing,cloudcomputing,mobilecomputing,organizations,usability,,,,,,,,,,,
